小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
华发全运首府（和硕园）,2022.02.11 成交,75.0,9061.0,79.0,19,0,1,0,253,2室1厅1厨1卫,高楼层 (共33层),82㎡,平层,暂无数据,板塔结合,南 北,2020,其他,钢混结构,集中供暖,一梯两户,有,商品房,2022-01-23,普通住宅,暂无数据,非共有,"123.403615,41.674364",浑南,新南站,沈阳
福欣园,2022.02.27 成交,112.0,11665.0,112.0,62,3,2,6,1356,2室1厅1厨1卫,中楼层 (共16层),95.59㎡,平层,暂无数据,板塔结合,南 北,未知,其他,钢混结构,集中供暖,两梯四户,有,商品房,2021-12-28,普通住宅,满两年,非共有,"117.498632,38.862516",滨海新区,大港,天津
雯君庭,2021.02.22 成交,114.0,23467.0,116.0,123,3,19,35,4298,1室1厅1厨1卫,高楼层 (共32层),48.58㎡,平层,暂无数据,板塔结合,南,2010,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-10-23,普通住宅,满五年,非共有,"121.531974,38.868002",高新园区,中海,大连
锦绣暖山,2021.03.20 成交,138.0,17404.0,139.8,92,2,5,1,1653,2室1厅1厨1卫,低楼层 (共17层),79.18㎡,平层,暂无数据,板楼,东南,2010,简装,钢混结构,集中供暖,一梯三户,有,商品房,2020-12-19,普通住宅,暂无数据,非共有,"121.549221,38.925182",甘井子,叠翠,大连
双和园,2021.01.24 成交,395.0,54416.0,400.0,126,1,31,23,4975,2室2厅1厨1卫,中楼层 (共18层),72.59㎡,暂无数据,暂无数据,板塔结合,东 南,2005,简装,钢混结构,暂无数据,两梯四户,有,商品房,2020-09-20,普通住宅,暂无数据,共有,"118.72964,31.987717",建邺,奥体,南京
盛嘉新城,2021.04.16 成交,33.0,8444.0,35.0,503,5,6,39,2654,1室1厅1厨1卫,中楼层 (共16层),38.61㎡,平层,暂无数据,板塔结合,南,2008,其他,钢混结构,暂无数据,两梯十四户,有,商品房,2019-11-30,普通住宅,暂无数据,非共有,"125.308481,43.899514",朝阳区,人民广场西,长春
紫枫雅苑,2021.11.17 成交,71.0,7431.0,73.0,75,1,13,13,1537,3室2厅1厨1卫,中楼层 (共6层),95.55㎡,平层,85.14㎡,板楼,南 北,未知,毛坯,钢混结构,暂无数据,一梯两户,无,商品房,2021-09-04,普通住宅,满五年,非共有,"119.037556,31.700566",溧水,溧水城北,南京
美的蝴蝶海三期,2021.07.11 成交,107.0,10138.0,110.0,434,8,3,4,1819,3室2厅1厨2卫,中楼层 (共26层),104.86㎡,平层,暂无数据,板塔结合,南 北,2016,毛坯,钢混结构,暂无数据,两梯四户,有,商品房,2020-05-03,普通住宅,满两年,非共有,"121.978903,29.789918",北仑区,梅山岛,宁波
国安宜居,2021.09.21 成交,155.0,20096.0,164.0,98,2,13,10,1456,2室1厅1厨1卫,低楼层 (共15层),77.13㎡,平层,暂无数据,板楼,南 北,2014,精装,框架结构,集中供暖,一梯三户,有,商品房,2021-06-16,普通住宅,满两年,共有,"121.517071,38.939708",甘井子,西山湖,大连
翰林世家,2021.01.26 成交,116.0,13544.0,120.0,58,1,41,5,1455,2室1厅1厨1卫,中楼层 (共30层),85.5㎡,平层,暂无数据,板楼,西 北,2009,简装,钢混结构,集中供暖,三梯十四户,有,商品房,2020-11-30,普通住宅,暂无数据,非共有,"113.648974,34.746832",二七,老郑大,郑州
花园路70号,2021.03.21 成交,200.0,30903.0,200.0,251,2,24,10,3541,2室1厅1厨1卫,低楼层 (共6层),64.72㎡,平层,暂无数据,板塔结合,南,1994,精装,钢混结构,暂无数据,一梯两户,无,商品房,2020-07-13,普通住宅,暂无数据,非共有,"118.826474,32.089148",玄武,锁金村,南京
海逸,2021.05.01 成交,241.0,27315.0,243.0,22,1,23,26,3559,3室2厅1厨1卫,中楼层 (共33层),88.23㎡,平层,暂无数据,板楼,南 北,2015,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-04-10,普通住宅,满五年,非共有,"121.520359,38.866365",高新园区,中海,大连
南郡凤凰湾,2021.04.22 成交,180.0,12500.0,220.0,320,1,2,2,1903,3室2厅1厨2卫,低楼层 (共32层),144㎡,平层,暂无数据,板楼,南 北,2011,精装,钢混结构,暂无数据,一梯两户,有,商品房,2020-06-06,普通住宅,暂无数据,非共有,"126.654312,45.719839",香坊,动力区,哈尔滨
永和居易花园,2021.05.01 成交,182.0,38799.0,185.0,69,4,6,1,331,1室1厅1厨1卫,中楼层 (共16层),46.78㎡,平层,暂无数据,塔楼,南 西,2010,精装,钢混结构,暂无数据,一梯十户,无,商品房,2021-02-21,普通住宅,暂无数据,非共有,"121.5333,29.895931",海曙区,望春,宁波
仙鹤街,2021.01.14 成交,155.0,29158.0,160.0,484,1,72,283,5792,2室1厅1厨1卫,中楼层 (共8层),53.16㎡,平层,暂无数据,板楼,东南,1990,精装,混合结构,暂无数据,一梯三户,无,商品房,2019-09-18,普通住宅,暂无数据,非共有,"118.7814669139,32.025809242608",秦淮,来凤里,南京
翰林国际城桃李园小区,2021.03.14 成交,118.0,13271.0,122.0,73,0,3,8,1045,2室2厅1厨1卫,高楼层 (共33层),88.92㎡,平层,暂无数据,板楼,南,2016,简装,钢混结构,集中供暖,两梯三户,有,商品房,2020-12-31,普通住宅,暂无数据,非共有,"113.554113,34.832241",高新,新郑大,郑州
三才小区,2021.01.31 成交,144.0,11404.0,150.0,367,3,1,0,1856,3室2厅1厨2卫,中楼层 (共6层),126.28㎡,平层,暂无数据,板楼,南,2008,其他,混合结构,集中供暖,一梯两户,无,商品房,2020-01-31,普通住宅,满五年,非共有,"114.56447180815,38.152891821667",正定,正定县,石家庄
