小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
雍福龙庭,2021.04.28 成交,356.0,31229.0,375.0,216,1,13,16,4677,3室1厅1厨1卫,中楼层 (共18层),114㎡,平层,暂无数据,板塔结合,南,2017,其他,钢混结构,暂无数据,两梯三户,有,商品房,2020-09-24,普通住宅,暂无数据,非共有,"118.799208,31.91458",江宁,将军大道,南京
水调歌城Ｅ区,2021.03.28 成交,87.0,9818.0,92.0,186,11,49,18,2824,2室2厅1厨1卫,中楼层 (共24层),88.62㎡,平层,暂无数据,板楼,南 北,2013,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-09-24,普通住宅,暂无数据,非共有,"123.355689,41.766625",于洪,于洪新城,沈阳
禹洲吉庆里,2021.06.12 成交,504.0,56585.0,520.0,35,0,13,8,2065,3室2厅1厨1卫,高楼层 (共33层),89㎡,平层,暂无数据,塔楼,南 北,2018,其他,钢混结构,暂无数据,两梯四户,有,商品房,2021-05-09,普通住宅,暂无数据,非共有,"118.766303,32.014446",雨花台,能仁里,南京
中力七里湾,2021.08.15 成交,168.0,18301.0,175.0,62,0,15,11,1321,2室2厅1厨1卫,中楼层 (共26层),91.8㎡,平层,暂无数据,板塔结合,南,2014,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-06-14,普通住宅,满两年,非共有,"113.7419072573,34.749831998409",郑东新区,通泰路,郑州
省人民检察院家属院,2021.03.31 成交,115.0,12574.0,118.0,100,5,17,74,21121,2室2厅1厨1卫,高楼层 (共6层),91.46㎡,平层,暂无数据,板楼,南 北,1999,精装,混合结构,集中供暖,一梯两户,无,商品房,2020-12-22,普通住宅,满五年,非共有,"114.448087,38.029076",桥西,城角,石家庄
康馨花园(秦淮),2021.07.06 成交,170.0,34368.0,173.0,364,5,12,19,3786,2室1厅1厨1卫,中楼层 (共7层),49.32㎡,平层,暂无数据,板楼,南,2000,其他,混合结构,暂无数据,一梯两户,无,房改房,2020-07-08,普通住宅,暂无数据,非共有,"118.815875,32.017945",秦淮,秦虹,南京
郑州油脂化工厂家属院,2022.02.27 成交,70.0,10287.0,72.0,2,0,6,0,39,2室1厅1厨1卫,低楼层 (共6层),68.05㎡,平层,60.23㎡,板塔结合,南,未知,其他,混合结构,自供暖,一梯两户,无,商品房,2022-02-26,普通住宅,满五年,非共有,"113.650469,34.777195",金水区,沙口路,郑州
裕德里,2021.11.27 成交,278.0,90761.0,282.0,194,9,14,16,2322,1室1厅1厨1卫,高楼层 (共8层),30.63㎡,平层,暂无数据,板塔结合,东北,未知,精装,钢混结构,集中供暖,一梯六户,无,私产,2021-05-17,普通住宅,满两年,非共有,"117.198606,39.139022",和平,南市,天津
中海寰宇天下D区,2021.05.15 成交,122.0,13708.0,125.5,337,6,30,18,3524,2室2厅1厨1卫,高楼层 (共33层),89㎡,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-06-13,普通住宅,暂无数据,共有,"123.38270879986,41.829185934436",皇姑,塔湾,沈阳
秀兰禧悦山,2021.07.25 成交,126.0,13669.0,133.0,27,2,30,2,993,2室1厅1厨1卫,低楼层 (共33层),91.82㎡,平层,暂无数据,板楼,南 北,2013,简装,钢混结构,集中供暖,两梯四户,有,商品房,2021-06-29,普通住宅,满五年,非共有,"120.156439,35.992268",黄岛,保税区,青岛
恒威君尚城,2022.02.20 成交,209.0,24079.0,213.0,111,9,34,54,4698,3室2厅1厨1卫,低楼层 (共25层),86.8㎡,平层,暂无数据,塔楼,南,2017,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-11-02,普通住宅,满两年,非共有,"121.4699,29.895312",海曙区,高桥,宁波
东方万汇尊邸,2021.04.04 成交,87.0,13065.0,88.0,153,3,52,17,2049,1室2厅1厨1卫,高楼层 (共25层),66.21㎡,平层,暂无数据,塔楼,东南,2017,精装,钢混结构,暂无数据,两梯九户,有,商品房,2020-11-02,酒店式公寓,暂无数据,非共有,"118.663023,32.070206",浦口,江浦街道,南京
峰景西海岸,2021.06.26 成交,46.0,10040.0,46.5,37,1,7,4,1085,1室0厅1厨1卫,中楼层 (共18层),45.22㎡,平层,暂无数据,板楼,南,2010,精装,框架结构,集中供暖,一梯四户,有,商品房,2021-05-21,普通住宅,满两年,非共有,"121.708855,39.106992",金州,连大,大连
气象西里,2021.12.24 成交,263.0,64241.0,265.0,3,0,7,0,185,1室1厅1厨1卫,中楼层 (共8层),40.94㎡,平层,暂无数据,板楼,南,未知,其他,钢混结构,集中供暖,一梯五户,无,公产房,2021-12-22,普通住宅,暂无数据,非共有,"117.192114,39.115896",和平,南营门街,天津
恒升府第,2021.05.28 成交,60.0,14801.0,60.0,392,8,14,14,2900,1室1厅1厨1卫,低楼层 (共24层),40.54㎡,暂无数据,32.76㎡,塔楼,北,2008,简装,钢混结构,集中供暖,两梯十四户,有,商品房,2020-05-01,普通住宅,满五年,非共有,"113.7071400709,34.808056139641",金水,北站,郑州
城润万家,2021.04.25 成交,87.0,8170.0,104.0,645,4,21,53,5859,3室1厅1厨1卫,低楼层 (共31层),106.5㎡,平层,暂无数据,板楼,南 北,2008,精装,钢混结构,集中供暖,两梯三户,有,商品房,2019-07-21,普通住宅,暂无数据,非共有,"121.754388,39.060068",开发区,城润,大连
保利罗兰春天,2021.03.08 成交,308.0,32198.0,309.0,275,5,24,56,6191,3室1厅1厨1卫,低楼层 (共27层),95.66㎡,平层,暂无数据,板塔结合,南,2016,其他,钢混结构,暂无数据,两梯四户,有,商品房,2020-06-06,普通住宅,暂无数据,非共有,"118.985976,32.138048",栖霞,仙林,南京
亚星盛世家园,2022.01.05 成交,39.0,10011.0,39.5,13,1,4,1,341,1室0厅1厨1卫,中楼层 (共17层),38.66㎡,平层,32.71㎡,板塔结合,北,未知,其他,钢混结构,自供暖,两梯八户,有,商品房,2021-12-24,普通住宅,满五年,非共有,"113.63713585911,34.719705533068",二七区,兴华南街,郑州
豫景园,2021.01.05 成交,87.0,10096.0,90.0,357,8,33,41,3566,2室2厅1厨1卫,低楼层 (共18层),86.18㎡,平层,67.94㎡,塔楼,西南,2013,精装,钢混结构,自供暖,两梯四户,有,商品房,2020-01-15,普通住宅,暂无数据,非共有,"113.62422861111,34.712172283226",二七,兴华南街,郑州
鸡鸣山庄,2021.01.27 成交,369.0,53791.0,373.0,94,4,48,30,3630,3室1厅1厨1卫,中楼层 (共7层),68.6㎡,平层,暂无数据,板楼,东 南,1990,简装,混合结构,暂无数据,一梯五户,无,商品房,2020-10-26,普通住宅,暂无数据,共有,"118.79780838248,32.067840401011",玄武,玄武门,南京
金庭国际花园,2022.01.02 成交,129.0,11626.0,130.0,114,4,15,7,897,3室2厅1厨1卫,中楼层 (共6层),110.36㎡,平层,暂无数据,平房,南,未知,精装,混合结构,暂无数据,一梯两户,无,商品房,2021-09-11,普通住宅,暂无数据,非共有,"119.02538044152,31.646141652181",溧水,溧水城中,南京
江信金苑,2021.04.04 成交,123.0,11244.0,125.0,165,8,31,4,2185,2室2厅1厨1卫,高楼层 (共6层),109.4㎡,平层,暂无数据,板楼,南 北,1999,简装,砖混结构,集中供暖,一梯两户,无,商品房,2020-10-22,普通住宅,暂无数据,非共有,"114.51387463505,38.081988996833",长安,义堂,石家庄
万科西华府,2021.06.14 成交,148.0,15579.0,139.0,275,9,69,19,3371,3室2厅1厨1卫,高楼层 (共33层),95㎡,平层,暂无数据,板楼,南 北,2020,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-09-12,普通住宅,暂无数据,非共有,"123.307191,41.775475",铁西,张士,沈阳
海马公园5期,2021.07.31 成交,217.0,24459.0,222.0,22,1,2,3,934,2室1厅1厨1卫,低楼层 (共29层),88.62㎡,平层,67.1㎡,板塔结合,西北,2018,精装,钢混结构,集中供暖,两梯五户,有,商品房,2021-07-10,普通住宅,暂无数据,非共有,"113.77915173879,34.75274620924",郑东新区,郑州东站,郑州
锦绣园,2021.06.28 成交,168.0,17392.0,171.0,8,1,6,4,830,2室2厅1厨1卫,中楼层 (共7层),96.6㎡,平层,暂无数据,板楼,东南 北,2000,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-06-21,普通住宅,满五年,非共有,"121.565108,38.947647",沙河口,锦绣,大连
39中山岳街,2021.03.09 成交,116.0,18941.0,120.0,2,1,2,1,357,2室1厅1厨1卫,低楼层 (共7层),60.98㎡,平层,暂无数据,板楼,南 北,2000,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-03-07,普通住宅,满五年,非共有,"121.673169,38.918615",中山,二七,大连
樱驼花园永康园,2021.04.12 成交,141.0,23457.0,150.0,49,0,11,19,2472,2室1厅1厨1卫,高楼层 (共6层),60.11㎡,平层,暂无数据,板楼,南 北,1994,其他,钢混结构,暂无数据,一梯两户,无,商品房,2021-02-22,普通住宅,暂无数据,非共有,"118.83795024244,32.090470405998",玄武,樱驼花园,南京
