小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
锦艺·国际华都（三期）月星家居广场,2021.06.26 成交,150.0,17282.0,153.8,13,2,2,3,231,3室2厅1厨1卫,中楼层 (共26层),86.68㎡,平层,65.95㎡,塔楼,南 北,2015,其他,钢混结构,集中供暖,两梯四户,有,商品房,2021-06-14,普通住宅,满两年,非共有,"113.611601,34.768954",中原,热电厂,郑州
莱蒙水榭春天,2021.01.10 成交,545.0,60115.0,560.0,16,1,14,5,1090,2室2厅1厨1卫,中楼层 (共32层),90.66㎡,平层,暂无数据,板楼,南,2014,精装,钢混结构,暂无数据,两梯七户,有,商品房,2020-12-25,普通住宅,暂无数据,非共有,"118.73248749144,32.027524717183",建邺,奥体,南京
万科未来城,2021.07.31 成交,390.0,29771.0,393.0,73,0,29,5,1454,3室2厅1厨2卫,中楼层 (共13层),131㎡,平层,暂无数据,板楼,南 北,未知,其他,钢混结构,集中供暖,一梯两户,暂无数据,商品房,2021-05-19,普通住宅,暂无数据,共有,"120.37669741858,36.151483696812",市北,沙岭庄,青岛
路劲太阳城皓阳园,2021.11.21 成交,214.0,24600.0,220.0,212,4,21,10,1283,2室2厅1厨1卫,中楼层 (共33层),86.79㎡,平层,暂无数据,板楼,南 北,未知,毛坯,钢混结构,集中供暖,三梯六户,有,商品房,2021-04-24,普通住宅,暂无数据,非共有,"117.277175,39.156986",河东,太阳城,天津
正商园田花园,2021.04.03 成交,118.0,13407.0,123.0,7,0,1,2,316,2室2厅1厨1卫,中楼层 (共19层),88.02㎡,平层,暂无数据,塔楼,南,2011,简装,钢混结构,自供暖,两梯四户,有,商品房,2021-03-27,普通住宅,暂无数据,非共有,"113.657003,34.830203",金水,海洋馆,郑州
21中黄河路,2021.01.15 成交,100.0,20289.0,104.0,320,2,35,16,3552,1室1厅1厨1卫,中楼层 (共9层),49.29㎡,平层,暂无数据,板楼,南 北,1988,简装,钢混结构,集中供暖,一梯四户,无,商品房,2020-03-02,普通住宅,满五年,非共有,"121.606481,38.916947",沙河口,中山公园,大连
锦泉源D2区,2021.02.02 成交,98.0,15924.0,99.8,129,5,27,18,3223,2室1厅1厨1卫,中楼层 (共5层),61.42㎡,平层,53.34㎡,板楼,南 北,2008,精装,钢混结构,集中供暖,一梯三户,无,商品房,2020-09-26,普通住宅,满两年,非共有,"121.622055,39.015105",甘井子,泉水锦泉源,大连
保利金香槟,2021.05.20 成交,102.0,10862.0,103.8,82,12,40,14,4642,3室1厅1厨1卫,低楼层 (共32层),93.45㎡,平层,暂无数据,板楼,南 北,2000,精装,钢混结构,集中供暖,一梯四户,有,商品房,2021-02-28,普通住宅,暂无数据,非共有,"121.704798,39.099664",金州,连大,大连
岭湾峰尚一期,2021.03.11 成交,75.0,10158.0,75.0,84,0,4,10,1131,2室1厅1厨1卫,低楼层 (共24层),73.84㎡,平层,暂无数据,板楼,南 北,2011,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-12-17,普通住宅,暂无数据,非共有,"121.797298,39.076665",开发区,杏花里,大连
观湖苑,2021.09.07 成交,83.0,9482.0,85.0,458,11,46,28,4014,2室2厅1厨1卫,中楼层 (共7层),87.54㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-06-07,普通住宅,满五年,非共有,"117.517,39.182501",东丽,东丽湖,天津
外滩叁号,2021.06.13 成交,93.0,23531.0,95.0,29,0,1,2,414,1室1厅1厨1卫,中楼层 (共33层),39.31㎡,平层,暂无数据,板楼,北,2011,精装,钢混结构,集中供暖,三梯九户,有,商品房,2021-05-15,普通住宅,暂无数据,非共有,"123.414696,41.750798",和平,长白,沈阳
泊林阳光A区,2021.04.28 成交,93.0,12693.0,95.0,129,0,29,30,5510,2室1厅1厨1卫,低楼层 (共11层),73.27㎡,平层,暂无数据,板楼,南 北,2007,其他,钢混结构,集中供暖,一梯三户,有,商品房,2020-12-21,普通住宅,暂无数据,共有,"121.544624,38.923384",甘井子,叠翠,大连
红星社区,2022.02.10 成交,42.0,10890.0,44.0,28,1,2,1,384,1室1厅1厨1卫,高楼层 (共8层),38.57㎡,平层,暂无数据,板楼,南,2009,其他,混合结构,集中供暖,一梯三户,无,商品房,2022-01-14,普通住宅,暂无数据,非共有,"123.40015761327,41.787247073219",和平,新华广场,沈阳
百年汇,2021.12.06 成交,117.0,11971.0,125.0,229,12,57,81,5310,1室1厅1厨1卫,中楼层 (共12层),97.32㎡,平层,暂无数据,板楼,东,2007,精装,钢混结构,集中供暖,四梯二十户,有,商品房,2021-04-22,普通住宅,满五年,非共有,"121.597465,38.895723",沙河口,星海广场,大连
世茂新五里河,2021.03.01 成交,240.0,15468.0,241.9,103,1,19,13,2431,4室2厅1厨1卫,高楼层 (共58层),155.16㎡,平层,暂无数据,板楼,南 北,2016,简装,钢混结构,集中供暖,三梯三户,有,商品房,2020-11-19,普通住宅,暂无数据,非共有,"123.438698,41.764716",和平,三好街,沈阳
兰东社区,2021.03.03 成交,125.0,14908.0,125.0,4,0,1,3,475,2室1厅1厨1卫,低楼层 (共6层),83.85㎡,平层,83.85㎡,板楼,南 北,1999,简装,砖混结构,集中供暖,一梯两户,无,商品房,2021-02-28,普通住宅,满五年,非共有,"120.21292205889,35.962926982659",黄岛,唐岛湾,青岛
