小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
宫民里,2021.11.04 成交,94.0,15342.0,96.0,74,1,4,66,2902,2室1厅1厨1卫,高楼层 (共7层),61.27㎡,平层,暂无数据,塔楼,南,未知,简装,混合结构,集中供暖,一梯五户,暂无数据,商品房,2021-08-22,普通住宅,暂无数据,非共有,"117.12404155022,39.157256698305",南开,向阳路,天津
烟厂后街7号院,2022.02.14 成交,29.0,5010.0,29.0,252,11,4,39,3962,2室1厅1厨1卫,高楼层 (共8层),57.09㎡,平层,49.76㎡,板楼,南,1997,其他,混合结构,自供暖,一梯三户,无,商品房,2021-06-08,普通住宅,暂无数据,共有,"113.685407,34.748444",管城回族区,二七广场,郑州
亿达康派,2021.01.04 成交,268.0,20189.0,272.0,1,0,1,0,351,3室1厅1厨2卫,高楼层 (共18层),132.75㎡,平层,暂无数据,板楼,南 北,2007,精装,钢混结构,集中供暖,两梯两户,有,商品房,2021-01-04,普通住宅,满两年,非共有,"121.557892,38.89511",高新园区,软件园,大连
万科樱花园三期,2021.11.08 成交,135.0,17050.0,138.0,102,2,48,21,2340,2室1厅1厨1卫,中楼层 (共33层),79.18㎡,平层,暂无数据,板楼,南,2018,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-07-29,普通住宅,满两年,非共有,"121.408801,38.850172",旅顺口,龙王塘,大连
高科荣域,2021.05.02 成交,409.0,41735.0,415.0,88,10,24,51,5784,3室2厅1厨1卫,中楼层 (共11层),98㎡,平层,暂无数据,板楼,南,2013,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-02-03,普通住宅,暂无数据,共有,"118.93578265441,32.129131708979",栖霞,仙林,南京
华亿红府,2021.08.29 成交,55.0,11703.0,58.0,124,3,12,2,888,1室0厅1厨1卫,中楼层 (共19层),47㎡,平层,暂无数据,板楼,南,未知,其他,钢混结构,暂无数据,一梯十五户,有,商品房,2021-04-28,普通住宅,暂无数据,非共有,"125.2995,43.874136",朝阳区,红旗,长春
中铁十三局宿舍,2021.01.27 成交,45.0,6847.0,45.0,80,5,3,2,1054,2室1厅1厨1卫,中楼层 (共5层),65㎡,平层,暂无数据,板楼,南 北,2000,简装,混合结构,暂无数据,一梯两户,无,商品房,2020-11-08,普通住宅,暂无数据,非共有,"125.223416,43.837986",汽车产业开发区,长沈路,长春
芙蓉花苑,2021.02.01 成交,110.0,11626.0,112.0,503,8,15,98,6558,3室1厅1厨1卫,高楼层 (共28层),94.19㎡,平层,暂无数据,板楼,西南,2011,精装,钢混结构,自供暖,两梯四户,有,商品房,2019-09-18,普通住宅,暂无数据,非共有,"113.65610043058,34.71336229849",二七,老航院,郑州
青城,2021.07.19 成交,58.0,5955.0,61.0,444,3,12,8,2777,2室2厅1厨1卫,低楼层 (共12层),97.4㎡,平层,暂无数据,板楼,南 北,2007,简装,钢混结构,集中供暖,一梯三户,暂无数据,商品房,2020-05-02,普通住宅,暂无数据,非共有,"123.26583982599,41.756441474698",铁西,经济技术开发区,沈阳
金港天府,2021.10.10 成交,38.0,6217.0,42.0,154,0,6,4,642,1室1厅1厨1卫,中楼层 (共32层),60㎡,平层,暂无数据,塔楼,西,2005,简装,钢混结构,集中供暖,三梯十户,有,商品房,2021-05-10,普通住宅,暂无数据,共有,"123.4185492834,41.819619953028",皇姑,北行,沈阳
万科金色水岸三期,2022.01.26 成交,500.0,41772.0,566.0,149,5,2,1,1019,3室2厅1厨2卫,中楼层 (共17层),119.7㎡,平层,95.72㎡,板楼,南,未知,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-08-31,普通住宅,暂无数据,共有,"121.53058534873,29.823962837946",鄞州区,南部商务区,宁波
弘阳·爱上花园,2021.10.22 成交,204.0,23698.0,215.0,222,3,2,0,670,3室2厅1厨1卫,中楼层 (共11层),86㎡,平层,86㎡,板楼,南 北,2017,其他,钢混结构,暂无数据,一梯两户,有,商品房,2021-03-15,普通住宅,满两年,非共有,"118.716708,32.144015",浦口,泰山街道,南京
恒盛金陵湾,2021.07.14 成交,763.0,64874.0,785.0,216,8,31,106,36157,3室2厅1厨1卫,低楼层 (共31层),117.49㎡,平层,暂无数据,板塔结合,南 北,2015,精装,钢混结构,暂无数据,两梯三户,有,商品房,2020-12-10,普通住宅,暂无数据,非共有,"118.739612,32.074742",鼓楼,定淮门大街,南京
泉水N2区,2022.02.23 成交,113.0,13589.0,115.0,75,4,6,11,1253,2室2厅1厨1卫,中楼层 (共31层),83.16㎡,平层,暂无数据,板楼,南,2009,精装,钢混结构,集中供暖,两梯六户,有,商品房,2021-12-11,普通住宅,暂无数据,非共有,"121.644185,39.021147",甘井子,泉水龙畔金泉,大连
弘阳旭日上城一区,2021.03.06 成交,228.0,25824.0,230.0,80,2,21,36,3925,2室2厅1厨1卫,中楼层 (共9层),88.29㎡,平层,暂无数据,板楼,南 北,2007,精装,钢混结构,暂无数据,一梯两户,有,商品房,2020-12-17,普通住宅,满两年,共有,"118.742155,32.145094",浦口,桥北,南京
碧水蓝天南区,2021.11.16 成交,71.0,6076.0,73.0,166,9,7,1,534,3室2厅1厨1卫,低楼层 (共10层),116.87㎡,平层,95.39㎡,暂无数据,南 北,2015,精装,钢混结构,自供暖,一梯两户,有,商品房,2021-06-04,普通住宅,暂无数据,非共有,"113.76245313297,34.423549692893",新郑市,新郑城区,郑州
长丰景苑,2022.02.12 成交,312.0,29404.0,328.0,164,7,5,3,776,3室2厅1厨1卫,低楼层 (共28层),106.11㎡,平层,暂无数据,板塔结合,南,未知,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-09-02,普通住宅,满两年,非共有,"121.549579,29.848446",鄞州区,长丰,宁波
荣迁东里,2021.11.21 成交,155.0,30976.0,160.0,28,1,3,4,316,2室1厅1厨1卫,高楼层 (共6层),49.91㎡,平层,暂无数据,板楼,南,未知,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-10-24,普通住宅,满五年,共有,"117.162835,39.106961",南开,学府街,天津
龙湾路小区,2021.05.06 成交,35.0,6315.0,35.0,10,0,3,1,233,2室1厅1厨1卫,中楼层 (共6层),54㎡,暂无数据,暂无数据,板楼,南 北,1992,简装,砖混结构,集中供暖,一梯一户,暂无数据,商品房,2021-04-27,普通住宅,暂无数据,非共有,"121.731775,39.066511",金州,城润,大连
卫星嘉园,2021.01.13 成交,122.0,8171.0,125.0,246,4,19,19,2949,3室2厅1厨2卫,中楼层 (共7层),149.32㎡,平层,暂无数据,板楼,南 北,2006,精装,框架结构,暂无数据,一梯两户,无,商品房,2020-05-13,普通住宅,暂无数据,非共有,"125.356712,43.839923",南关区,净水厂,长春
云集社区,2021.06.07 成交,83.0,16310.0,85.0,39,0,4,1,531,2室1厅1厨1卫,低楼层 (共8层),50.89㎡,平层,暂无数据,板楼,南 北,1995,其他,混合结构,集中供暖,一梯三户,无,商品房,2021-04-29,普通住宅,暂无数据,非共有,"123.427671,41.791538",和平,南市场,沈阳
邮电小区(南湖大路),2021.06.30 成交,110.0,14667.0,116.0,168,4,10,2,2220,3室1厅1厨1卫,低楼层 (共7层),75㎡,平层,暂无数据,板楼,南 北,1993,精装,砖混结构,暂无数据,一梯四户,无,商品房,2021-01-14,普通住宅,暂无数据,非共有,"125.30165,43.856069",朝阳区,南湖,长春
中城嘉汇,2021.05.18 成交,346.0,37740.0,345.0,21,1,11,7,1485,2室1厅1厨1卫,低楼层 (共29层),91.68㎡,平层,74.65㎡,板楼,南 北,2016,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-28,普通住宅,满五年,共有,"120.398828,36.095907",市南,福安,青岛
万达广场C组团,2021.05.21 成交,51.0,10966.0,53.0,138,5,8,3,1447,1室1厅1厨1卫,高楼层 (共33层),46.51㎡,平层,暂无数据,板楼,南,2009,简装,钢混结构,集中供暖,两梯四户,有,商品房,2021-01-04,普通住宅,满五年,共有,"123.365108,41.789695",铁西,铁西广场,沈阳
佳城花园,2021.03.26 成交,35.0,8316.0,35.0,147,1,12,23,2810,1室1厅1厨1卫,中楼层 (共6层),42.09㎡,平层,暂无数据,板楼,南 北,2015,简装,钢混结构,集中供暖,两梯三户,有,商品房,2020-10-30,普通住宅,暂无数据,非共有,"123.43192803139,41.693843382316",浑南,白塔,沈阳
中海国际社区一期,2021.03.20 成交,304.0,34870.0,312.0,7,2,8,0,212,3室2厅1厨1卫,低楼层 (共33层),87.04㎡,平层,暂无数据,板楼,东南 南,2015,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-03-13,普通住宅,暂无数据,非共有,"121.580366,29.796588",鄞州区,下应,宁波
云南路散盘,2021.12.14 成交,55.0,19587.0,57.0,257,2,2,8,2220,1室0厅1厨1卫,中楼层 (共5层),28.08㎡,平层,25.36㎡,板楼,南,1991,简装,砖混结构,集中供暖,一梯六户,无,商品房,2021-04-01,普通住宅,满五年,非共有,"120.316255,36.073115",市南,西镇,青岛
