小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
德安花园,2021.07.10 成交,302.0,39206.0,308.0,196,2,60,51,9721,3室1厅1厨1卫,低楼层 (共6层),77.03㎡,平层,暂无数据,板楼,南,2004,精装,砖混结构,暂无数据,一梯两户,无,商品房,2020-12-27,普通住宅,暂无数据,非共有,"118.76712,31.999557",雨花台,安德门,南京
柏悦国际公寓,2021.06.23 成交,129.0,22482.0,135.0,5,1,12,5,592,2室1厅1厨2卫,高楼层 (共31层),57.38㎡,平层,暂无数据,板塔结合,南,2013,精装,钢混结构,集中供暖,三梯二十三户,有,商品房,2021-06-18,商住两用,满两年,非共有,"121.531562,38.864069",高新园区,高新园区,大连
东港天鹅湾,2021.10.06 成交,266.0,26397.0,278.0,220,8,108,108,13697,2室2厅1厨1卫,高楼层 (共52层),100.77㎡,平层,暂无数据,板楼,南 北,2018,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-03-01,普通住宅,满两年,非共有,"121.707654,38.925325",中山,东港,大连
亿海贤府,2021.11.11 成交,215.0,26788.0,216.0,101,5,30,41,5147,2室2厅1厨1卫,高楼层 (共24层),80.26㎡,平层,暂无数据,板楼,南 北,2017,精装,钢混结构,集中供暖,两梯两户,有,商品房,2021-08-03,普通住宅,满两年,非共有,"121.545953,38.860147",高新园区,万达,大连
美景鸿城一期,2021.04.24 成交,141.0,15428.0,143.0,127,5,19,23,2989,3室2厅1厨1卫,中楼层 (共33层),91.07㎡,平层,67.51㎡,板楼,南,2011,精装,钢混结构,自供暖,两梯四户,有,商品房,2020-12-18,普通住宅,暂无数据,非共有,"113.730456,34.725516",管城回族区,管南区域,郑州
中海半山华府,2021.01.31 成交,225.0,17425.0,249.0,5,1,2,1,3064,3室2厅1厨2卫,高楼层 (共16层),129.13㎡,平层,暂无数据,板楼,南 北 西,2020,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-01-26,普通住宅,暂无数据,非共有,"123.487462,41.691069",浑南,新市府,沈阳
南九道街,2021.09.26 成交,37.0,7554.0,37.0,16,1,11,2,245,2室1厅1厨1卫,中楼层 (共8层),48.72㎡,平层,暂无数据,板楼,南 北,未知,简装,钢混结构,暂无数据,一梯三户,无,商品房,2021-09-11,普通住宅,暂无数据,非共有,"126.65724943187,45.788433873264",道外,南十四道街商圈,哈尔滨
益格筑景,2022.03.03 成交,64.0,9478.0,73.0,309,3,1,1,1053,2室1厅1厨1卫,高楼层 (共6层),67㎡,复式,暂无数据,板塔结合,南 北,未知,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-04-29,普通住宅,暂无数据,非共有,"123.32868130735,41.767997526332",于洪,于洪新城,沈阳
中海国际社区五期,2022.02.18 成交,405.0,22138.0,440.0,300,2,19,32,4889,4室2厅1厨2卫,中楼层 (共32层),182.95㎡,平层,暂无数据,板楼,南 北,2015,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-24,普通住宅,满五年,共有,"123.421052,41.744608",和平,长白,沈阳
海创柒贤贡院,2021.02.28 成交,137.0,19525.0,140.4,430,0,8,23,5745,2室1厅1厨1卫,中楼层 (共29层),70.17㎡,平层,暂无数据,板楼,南,2011,精装,钢混结构,集中供暖,三梯八户,有,商品房,2019-12-27,普通住宅,暂无数据,非共有,"121.523255,38.858453",高新园区,华录,大连
朝天宫西街98号,2021.03.24 成交,350.0,31598.0,360.0,16,0,4,0,643,3室2厅1厨1卫,高楼层 (共7层),110.77㎡,平层,96.18㎡,板楼,南,1996,其他,钢混结构,暂无数据,一梯三户,无,商品房,2021-03-09,普通住宅,满五年,非共有,"118.778509,32.042573",秦淮,朝天宫,南京
鲁能泰山7号一期,2021.04.19 成交,110.0,11995.0,113.0,152,1,26,9,1576,3室2厅1厨1卫,低楼层 (共6层),91.71㎡,平层,74㎡,板楼,南 北,2017,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2020-11-18,普通住宅,暂无数据,非共有,"122.00738700182,39.095952213764",金州,金石滩,大连
金地檀溪,2022.01.09 成交,260.0,19657.0,265.0,132,0,8,20,2547,3室2厅1厨2卫,低楼层 (共24层),132.27㎡,平层,暂无数据,板楼,东 南 北,2016,精装,钢混结构,集中供暖,一梯三户,有,商品房,2021-08-31,普通住宅,满两年,共有,"121.64065516113,39.010252076655",甘井子,泉水龙畔金泉,大连
中央路262号,2021.05.31 成交,460.0,81301.0,465.0,11,1,17,14,1745,2室1厅1厨1卫,中楼层 (共7层),56.58㎡,平层,暂无数据,板楼,南 北,1998,精装,混合结构,暂无数据,一梯两户,无,商品房,2021-05-20,普通住宅,暂无数据,非共有,"118.791864,32.086481",玄武,玄武门,南京
中海海港城,2021.05.09 成交,60.0,15802.0,65.0,193,6,10,7,2193,1室1厅1厨1卫,中楼层 (共48层),37.97㎡,平层,暂无数据,板楼,南,2015,精装,钢混结构,集中供暖,六梯十七户,有,商品房,2020-10-28,商住两用,满两年,非共有,"121.663175,38.935156",中山,民主广场,大连
恒大金碧天下天鸿苑,2021.03.27 成交,86.0,8076.0,88.0,119,4,22,6,1600,3室1厅1厨1卫,低楼层 (共33层),105.88㎡,平层,暂无数据,板楼,南,2016,其他,钢混结构,暂无数据,两梯四户,有,商品房,2020-11-28,普通住宅,满五年,共有,"119.07277352524,31.70885602853",溧水,溧水恒大,南京
珑台,2021.04.20 成交,518.0,36879.0,518.0,151,12,18,10,4409,4室1厅1厨2卫,中楼层 (共5层),140.46㎡,平层,122.5㎡,板楼,西,2015,精装,混合结构,集中供暖,一梯两户,有,商品房,2020-11-21,普通住宅,满两年,非共有,"120.464017,36.165081",李沧,老鸦岭,青岛
万锦香樟树一二期,2021.01.02 成交,120.0,14286.0,135.0,113,8,11,17,1975,2室2厅1厨1卫,高楼层 (共33层),84㎡,平层,暂无数据,板楼,南 北,2009,其他,钢混结构,集中供暖,一梯两户,有,商品房,2020-09-12,普通住宅,暂无数据,非共有,"123.44086,41.736359",浑南,奥体,沈阳
红星海二期视界,2021.09.05 成交,137.0,13154.0,139.8,312,6,19,22,3238,2室2厅1厨1卫,中楼层 (共32层),104㎡,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-10-29,普通住宅,满两年,非共有,"121.7974521383,39.032010826568",开发区,红星海,大连
三九五九巷,2021.04.08 成交,229.0,34377.0,232.0,35,0,1,1,913,3室1厅1厨1卫,中楼层 (共7层),66.47㎡,平层,暂无数据,板塔结合,南 北,1996,其他,混合结构,暂无数据,一梯两户,无,商品房,2021-03-05,普通住宅,暂无数据,非共有,"118.773029,32.034465",建邺,南湖,南京
嘉业龙湖壹品,2021.03.28 成交,78.0,6250.0,82.0,361,4,2,2,1452,3室2厅1厨2卫,高楼层 (共18层),124㎡,平层,暂无数据,暂无数据,南,2015,毛坯,钢混结构,暂无数据,两梯四户,有,商品房,2020-04-02,普通住宅,暂无数据,非共有,"113.68325457758,34.59879155709",新郑市,南龙湖商圈,郑州
软景E居,2021.01.31 成交,145.0,30278.0,150.0,10,3,6,4,758,1室1厅1厨1卫,高楼层 (共31层),47.89㎡,暂无数据,暂无数据,板塔结合,东北,2011,精装,钢混结构,集中供暖,五梯二十一户,有,商品房,2021-01-22,商住两用,满五年,非共有,"121.551247,38.891532",高新园区,软件园,大连
观山蝶恋花,2022.01.10 成交,136.0,15905.0,139.0,164,3,48,42,3469,2室1厅1厨1卫,低楼层 (共20层),85.26㎡,平层,暂无数据,塔楼,南,2011,精装,钢混结构,集中供暖,两梯八户,有,商品房,2021-07-31,普通住宅,满两年,非共有,"121.561967,38.935442",沙河口,马栏,大连
美辰香醒,2021.03.07 成交,157.0,18199.0,159.8,43,4,37,12,2848,2室2厅1厨1卫,中楼层 (共22层),86.16㎡,平层,暂无数据,板楼,南 北,2014,其他,钢混结构,集中供暖,一梯三户,有,商品房,2021-01-24,普通住宅,满两年,非共有,"121.60558,38.990293",甘井子,华东,大连
瑞家景峰,2021.06.07 成交,41.0,8729.0,42.0,12,0,1,0,164,2室1厅1厨1卫,中楼层 (共33层),46.4㎡,暂无数据,暂无数据,板楼,西 北,2013,其他,钢混结构,集中供暖,一梯三户,有,商品房,2021-05-27,普通住宅,暂无数据,非共有,"123.527904,41.841441",大东,东北大马路,沈阳
万科生态城澜庭,2021.06.27 成交,189.0,21544.0,192.0,88,1,13,26,3399,2室2厅1厨1卫,中楼层 (共16层),87.73㎡,平层,69.65㎡,板楼,南,2013,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-03-31,普通住宅,满五年,非共有,"120.489194,36.186412",李沧,世园会,青岛
俞家巷,2022.03.05 成交,236.0,36528.0,246.0,17,1,6,2,152,3室1厅1厨1卫,低楼层 (共7层),64.5㎡,平层,暂无数据,板塔结合,南,1986,其他,混合结构,暂无数据,一梯两户,无,房改房,2022-02-16,普通住宅,暂无数据,非共有,"118.786666,32.044952",秦淮,新街口,南京
启翰苑,2021.08.02 成交,181.0,12605.0,181.0,17,1,2,0,175,3室2厅1厨2卫,中楼层 (共6层),143.6㎡,平层,暂无数据,板楼,南,未知,毛坯,钢混结构,集中供暖,两梯四户,有,商品房,2021-07-16,普通住宅,暂无数据,非共有,"120.47775515373,36.415418045187",即墨,即墨开发区,青岛
东柳坊,2021.05.19 成交,121.0,38524.0,123.0,60,5,21,38,5314,1室1厅1厨1卫,中楼层 (共7层),31.28㎡,平层,27.2㎡,板楼,南,2000,精装,钢混结构,暂无数据,一梯四户,无,商品房,2021-03-21,普通住宅,满五年,共有,"121.590031,29.862246",鄞州区,东柳,宁波
东居里,2021.07.13 成交,56.0,8652.0,57.0,50,3,6,1,394,2室1厅1厨1卫,低楼层 (共6层),64.5㎡,平层,暂无数据,板楼,南,1996,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-05-24,普通住宅,暂无数据,非共有,"121.815802,39.047913",开发区,东山,大连
中崂路,2021.10.13 成交,109.0,17421.0,113.0,31,2,11,3,737,2室1厅1厨1卫,中楼层 (共6层),62.57㎡,平层,暂无数据,板楼,南 北,1998,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-09-13,普通住宅,暂无数据,非共有,"120.434463,36.174919",李沧,李村公园,青岛
春江花城,2021.04.11 成交,600.0,32266.0,560.0,120,3,8,24,4499,4室2厅1厨2卫,低楼层 (共11层),185.96㎡,平层,暂无数据,板楼,南,2008,精装,钢混结构,暂无数据,两梯两户,有,商品房,2020-12-13,普通住宅,满五年,共有,"121.580184,29.83127",鄞州区,中河,宁波
艳璐二期,2022.02.26 成交,67.0,4893.0,69.5,294,1,2,9,968,3室2厅1厨1卫,高楼层 (共7层),135.3㎡,暂无数据,暂无数据,板楼,南 北,未知,其他,混合结构,集中供暖,一梯两户,无,商品房,2021-05-09,普通住宅,暂无数据,非共有,"123.36351368659,41.781623571633",铁西,艳粉,沈阳
红波里,2021.10.06 成交,139.0,28738.0,141.0,69,5,14,13,1750,1室1厅1厨1卫,高楼层 (共6层),48.09㎡,平层,暂无数据,板楼,西南,未知,精装,混合结构,集中供暖,一梯四户,无,房改房,2021-07-29,普通住宅,满两年,非共有,"117.220997,39.103445",河西,越秀路,天津
万科樱花园三期,2021.05.10 成交,50.0,13281.0,51.0,34,0,9,17,2945,1室1厅1厨1卫,中楼层 (共6层),37.65㎡,平层,暂无数据,板楼,西南,2017,精装,钢混结构,集中供暖,两梯二十户,有,商品房,2021-04-07,普通住宅,满两年,共有,"121.408801,38.850172",旅顺口,龙王塘,大连
南湖新村,2021.08.26 成交,240.0,37808.0,255.0,3,0,2,1,65,3室1厅1厨1卫,低楼层 (共5层),63.48㎡,平层,暂无数据,板楼,南 北,2000,其他,混合结构,暂无数据,一梯两户,无,商品房,2021-08-23,普通住宅,暂无数据,非共有,"125.308349,43.853386",朝阳区,南湖,长春
鼎源名座,2021.03.26 成交,33.0,4984.0,33.5,530,2,10,11,1933,2室1厅1厨1卫,高楼层 (共32层),65.41㎡,平层,暂无数据,板楼,东 东南,未知,其他,钢混结构,暂无数据,两梯十九户,有,商品房,2019-10-13,普通住宅,暂无数据,非共有,"126.99252600681,45.553363500455",阿城区,阿城商圈,哈尔滨
东方哥德堡,2021.11.29 成交,56.0,5091.0,56.0,258,3,4,12,988,3室1厅1厨1卫,低楼层 (共7层),110㎡,平层,暂无数据,板楼,南 北,2010,精装,钢混结构,暂无数据,一梯两户,无,商品房,2021-03-16,普通住宅,暂无数据,非共有,"126.536749,45.869449",松北,哈尔滨新区,哈尔滨
金苑新居,2021.10.21 成交,66.0,10271.0,68.0,15,3,15,4,641,2室1厅1厨1卫,低楼层 (共6层),64.26㎡,平层,暂无数据,板楼,南,2004,简装,钢混结构,集中供暖,一梯三户,无,商品房,2021-10-07,普通住宅,满两年,非共有,"121.82283245166,39.063211240807",开发区,金源,大连
万科金色半山,2021.05.10 成交,197.0,22263.0,200.0,46,2,62,21,3314,3室1厅1厨1卫,中楼层 (共11层),88.49㎡,平层,暂无数据,板楼,西南 东北,2013,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-03-25,普通住宅,满两年,非共有,"118.606296,32.079616",浦口,浦口其它,南京
福园,2021.01.09 成交,167.0,32604.0,169.0,171,2,62,12,3737,2室1厅1厨1卫,中楼层 (共7层),51.16㎡,平层,暂无数据,板楼,南 北,1991,简装,混合结构,暂无数据,一梯三户,无,商品房,2020-07-23,普通住宅,暂无数据,非共有,"118.75589605876,32.035791269839",建邺,湖西街,南京
未来名家,2021.03.01 成交,103.0,11563.0,106.0,222,11,117,100,12234,2室1厅1厨1卫,高楼层 (共32层),89.08㎡,平层,66.2㎡,塔楼,北 东 西,2010,精装,钢混结构,集中供暖,两梯五户,有,商品房,2020-07-23,普通住宅,满五年,共有,"113.71241620518,34.730211344291",管城回族区,管南区域,郑州
明发滨江新城二期,2021.03.03 成交,314.0,26434.0,316.0,43,2,12,11,3142,3室2厅1厨2卫,中楼层 (共11层),118.6㎡,平层,暂无数据,板塔结合,南,2007,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-01-20,普通住宅,暂无数据,共有,"118.75064147626,32.135710336567",浦口,桥北,南京
