小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
威尼斯水城第十街区,2021.11.07 成交,178.0,19721.0,180.0,441,4,6,58,4845,3室2厅1厨1卫,高楼层 (共6层),90.26㎡,平层,暂无数据,板楼,南 北,2010,精装,钢混结构,暂无数据,一梯两户,无,商品房,2020-08-24,普通住宅,暂无数据,共有,"118.76259089767,32.150565294796",浦口,桥北,南京
三金燕语庭,2021.06.06 成交,287.0,33038.0,292.0,441,5,8,4,430,2室2厅1厨1卫,低楼层 (共18层),86.87㎡,平层,暂无数据,塔楼,南 北,2015,其他,钢混结构,暂无数据,两梯四户,有,商品房,2020-03-23,普通住宅,暂无数据,共有,"118.82932949948,32.137554955269",栖霞,燕子矶,南京
中铁华胥美邦,2021.08.24 成交,135.0,15179.0,136.5,45,2,5,8,538,3室1厅1厨1卫,高楼层 (共15层),88.81㎡,平层,70.61㎡,板楼,南 北,未知,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-07-10,普通住宅,满两年,共有,"120.425558,36.236266",城阳,流亭,青岛
天茂城中央B区,2021.09.17 成交,82.0,8979.0,85.0,375,6,42,2,2654,2室2厅1厨1卫,中楼层 (共17层),91.33㎡,平层,暂无数据,板楼,南 北,2009,简装,钢混结构,暂无数据,一梯两户,有,商品房,2020-09-08,普通住宅,暂无数据,共有,"125.257076,43.868631",汽车产业开发区,东风,长春
财富广场,2021.05.18 成交,34.0,10653.0,34.0,1,0,0,0,65,1室1厅1厨1卫,中楼层 (共12层),31.73㎡,平层,暂无数据,塔楼,南,2014,其他,钢混结构,暂无数据,三梯三十四户,有,商品房,2021-05-18,普通住宅,暂无数据,非共有,"121.627124,29.928549",镇海区,庄市,宁波
西湖里,2021.10.27 成交,158.0,30246.0,167.0,124,9,24,44,3155,2室1厅1厨1卫,中楼层 (共5层),52.24㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-06-26,普通住宅,满五年,非共有,"117.173404,39.124934",南开,万兴街,天津
79中中山公寓,2021.08.20 成交,305.0,30322.0,325.0,48,2,10,22,1486,2室2厅1厨1卫,低楼层 (共6层),100.59㎡,平层,暂无数据,板楼,南 北,2000,精装,砖混结构,集中供暖,一梯两户,无,商品房,2021-07-04,普通住宅,满两年,非共有,"121.604092,38.916296",沙河口,中山公园,大连
和兴路,2021.12.04 成交,83.0,27611.0,85.0,4,0,3,0,36,1室0厅1厨1卫,中楼层 (共7层),29.88㎡,平层,21㎡,暂无数据,南,未知,其他,钢混结构,暂无数据,一梯三户,暂无数据,商品房,2021-11-30,普通住宅,暂无数据,非共有,"126.63161689703,45.736113989468",南岗,西大桥商圈,哈尔滨
万科金色城品,2021.01.29 成交,125.0,27163.0,128.0,817,5,37,69,3401,1室1厅1厨1卫,高楼层 (共18层),46.02㎡,平层,36.69㎡,板楼,南,2010,简装,钢混结构,集中供暖,两梯四户,有,商品房,2018-11-04,普通住宅,满五年,非共有,"120.38977014239,36.125902557625",市北,北岭,青岛
华邦俪城,2021.03.03 成交,40.0,9544.0,40.0,138,2,4,2,1347,1室1厅1厨1卫,高楼层 (共24层),41.18㎡,平层,暂无数据,板楼,南,2010,毛坯,钢混结构,集中供暖,两梯五户,有,商品房,2020-10-17,普通住宅,满五年,共有,"121.762378,39.087863",金州,桃园,大连
