小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
通宇林景雅园,2021.06.24 成交,335.0,29647.0,340.0,54,0,12,10,2255,3室2厅1厨1卫,中楼层 (共9层),113㎡,平层,暂无数据,塔楼,南,2011,毛坯,钢混结构,暂无数据,一梯两户,有,商品房,2021-05-02,普通住宅,暂无数据,共有,"118.630661,32.082789",浦口,江浦街道,南京
照明北里,2021.12.30 成交,73.0,8662.0,72.5,119,5,8,6,878,2室1厅1厨1卫,中楼层 (共6层),83.7㎡,平层,暂无数据,板楼,南,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-09-02,普通住宅,暂无数据,非共有,"117.384785,38.995885",津南,咸水沽,天津
万锦香樟树一二期,2021.12.01 成交,140.0,14450.0,145.0,167,7,66,19,3108,3室1厅1厨1卫,高楼层 (共33层),96.89㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-17,普通住宅,暂无数据,非共有,"123.44086,41.736359",浑南,奥体,沈阳
绿城西子公寓,2021.09.04 成交,210.0,23983.0,208.0,6,1,10,17,1342,2室1厅1厨1卫,低楼层 (共24层),87.53㎡,平层,67.17㎡,板楼,东 南 北,2013,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-08-29,普通住宅,满五年,共有,"120.453855,36.170804",李沧,绿城,青岛
锦园里,2021.11.10 成交,76.0,35117.0,75.5,1,0,0,0,2,1室1厅1厨1卫,高楼层 (共6层),21.5㎡,平层,暂无数据,板楼,南,未知,其他,混合结构,集中供暖,一梯四户,无,商品房,2021-11-10,普通住宅,暂无数据,非共有,"117.134292,39.155447",南开,向阳路,天津
启迪方洲博园,2021.07.15 成交,231.0,28220.0,234.0,55,1,32,14,2421,2室1厅1厨1卫,低楼层 (共11层),81.68㎡,平层,暂无数据,板楼,南 北,2017,其他,钢混结构,暂无数据,一梯四户,有,商品房,2021-05-22,普通住宅,满两年,共有,"118.912411,32.032922",江宁,麒麟科创园,南京
美景鸿城三期,2021.05.11 成交,69.0,16875.0,71.0,972,4,28,21,2954,1室0厅1厨1卫,高楼层 (共32层),40.89㎡,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯四户,有,商品房,2018-09-12,普通住宅,暂无数据,非共有,"113.725975,34.722758",管城回族区,管南区域,郑州
景瑞时光里,2021.06.22 成交,64.0,16602.0,67.0,243,13,12,29,3809,2室1厅1厨1卫,高楼层 (共12层),38.37㎡,复式,暂无数据,板楼,南,2020,毛坯,钢混结构,暂无数据,四梯十六户,有,商品房,2020-10-23,商住两用,暂无数据,非共有,"121.630319,29.898116",鄞州区,高新区,宁波
迪赛缘园,2021.02.25 成交,192.0,20957.0,194.8,168,1,11,9,1240,3室2厅1厨1卫,低楼层 (共5层),91.62㎡,平层,暂无数据,板楼,南,2008,其他,钢混结构,暂无数据,一梯两户,无,商品房,2020-09-11,普通住宅,满两年,共有,"121.462011,29.864701",海曙区,古林,宁波
航天北里,2021.09.12 成交,180.0,28121.0,181.0,11,0,4,1,179,2室1厅1厨1卫,高楼层 (共6层),64.01㎡,平层,暂无数据,板楼,南 北,未知,简装,砖混结构,集中供暖,一梯四户,无,商品房,2021-09-02,普通住宅,满两年,非共有,"117.16404,39.108144",南开,学府街,天津
