小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
红星海郡墅二号,2021.07.19 成交,257.0,18285.0,260.0,5,0,4,2,251,3室2厅1厨2卫,中楼层 (共5层),140.56㎡,平层,暂无数据,板楼,南 北,2012,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2021-07-15,普通住宅,满两年,非共有,"121.80577,39.02988",开发区,红星海,大连
天地新城天琴座,2021.12.21 成交,250.0,15188.0,262.0,162,26,12,51,3012,5室2厅1厨3卫,高楼层 (共6层),164.61㎡,跃层,暂无数据,板塔结合,南 北,2004,简装,钢混结构,暂无数据,一梯两户,无,商品房,2021-07-13,普通住宅,满五年,非共有,"118.835332,31.981624",江宁,岔路口,南京
星公馆,2021.10.23 成交,55.0,9326.0,56.0,417,12,12,6,3312,1室1厅1厨1卫,低楼层 (共21层),58.98㎡,平层,暂无数据,塔楼,南,未知,精装,钢混结构,集中供暖,两梯十六户,有,商品房,2020-09-02,商业办公类,满两年,非共有,"117.161626,39.179062",红桥,西于庄,天津
御景名都A区,2021.01.10 成交,79.0,10492.0,82.8,267,1,12,8,1023,2室1厅1厨1卫,中楼层 (共33层),75.11㎡,平层,暂无数据,板塔结合,南 北,2014,精装,钢混结构,暂无数据,两梯三户,有,商品房,2020-04-19,普通住宅,暂无数据,非共有,"125.388956,43.903959",二道区,亚泰,长春
秋丽家园,2021.11.12 成交,74.0,12565.0,74.0,238,11,37,8,2949,1室1厅1厨1卫,高楼层 (共13层),58.26㎡,平层,暂无数据,板楼,南,未知,简装,钢混结构,集中供暖,两梯六户,有,商品房,2021-03-20,普通住宅,暂无数据,共有,"117.302742,39.129325",东丽,万新街,天津
创客大厦,2021.11.20 成交,35.0,6250.0,35.0,139,6,3,2,950,1室1厅0厨1卫,中楼层 (共17层),56㎡,平层,暂无数据,板楼,南,2015,毛坯,钢混结构,暂无数据,一梯二十五户,无,商品房,2021-07-05,普通住宅,暂无数据,非共有,"125.245532,43.806787",高新区,硅谷街南,长春
花园路7号,2021.09.17 成交,166.0,33740.0,168.0,76,2,8,24,1767,2室1厅1厨1卫,低楼层 (共7层),49.2㎡,平层,暂无数据,板塔结合,南,1993,精装,钢混结构,暂无数据,一梯两户,无,房改房,2021-07-04,普通住宅,暂无数据,非共有,"118.83110453138,32.086515157746",玄武,锁金村,南京
富田丽景花园,2021.05.29 成交,50.0,10371.0,52.5,387,7,7,13,2653,1室1厅1厨1卫,中楼层 (共7层),47.44㎡,平层,36.23㎡,板楼,东 北,2006,简装,混合结构,自供暖,两梯四十一户,有,商品房,2020-05-08,普通住宅,暂无数据,非共有,"113.64160598395,34.800343447862",金水,南阳路,郑州
宁海小区,2022.03.06 成交,27.0,6924.0,28.0,272,9,8,1,1616,1室1厅1厨1卫,中楼层 (共7层),39㎡,平层,暂无数据,板楼,南,2004,精装,钢混结构,集中供暖,一梯三户,无,商品房,2021-06-08,普通住宅,暂无数据,非共有,"121.716741,39.118653",金州,金华,大连
朗悦公园道1号南苑,2021.12.05 成交,140.0,15577.0,141.0,238,7,82,20,4947,3室2厅1厨1卫,高楼层 (共28层),89.88㎡,平层,暂无数据,板塔结合,南,2016,精装,钢混结构,集中供暖,两梯五户,有,商品房,2021-04-11,普通住宅,满两年,非共有,"113.55942,34.824157",高新区,高新公园道,郑州
康桥金域上郡2号院,2021.06.08 成交,220.0,20561.0,225.0,63,3,8,7,2166,3室2厅1厨1卫,高楼层 (共34层),107㎡,平层,暂无数据,板楼,南,2012,其他,钢混结构,集中供暖,两梯六户,有,商品房,2021-04-07,普通住宅,满五年,共有,"113.648512,34.737031",二七,市财政局,郑州
天伦小区,2021.12.11 成交,198.0,13968.0,200.0,1,0,1,0,暂无数据,3室2厅1厨1卫,高楼层 (共11层),141.76㎡,平层,暂无数据,暂无数据,南 北,未知,其他,未知结构,暂无数据,两梯两户,有,商品房,2021-12-11,普通住宅,暂无数据,非共有,"113.63896454687,34.741330838471",二七区,市财政局,郑州
智达里,2021.12.11 成交,168.0,18615.0,171.0,244,4,23,29,3608,2室1厅1厨1卫,低楼层 (共5层),90.25㎡,平层,65.7㎡,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,私产,2021-04-12,普通住宅,满两年,非共有,"117.122002,39.062289",西青,精武镇,天津
双凤山小区,2021.08.15 成交,55.0,7571.0,56.0,2,0,1,0,23,2室1厅1厨1卫,高楼层 (共5层),72.65㎡,暂无数据,暂无数据,暂无数据,南 北,未知,其他,未知结构,暂无数据,一梯一户,暂无数据,商品房,2021-08-14,普通住宅,满两年,非共有,"119.97560627251,35.90182002812",黄岛,西客站,青岛
泡崖四区,2021.05.23 成交,103.0,13569.0,104.0,30,7,13,1,685,2室1厅1厨1卫,中楼层 (共6层),75.32㎡,平层,暂无数据,板楼,南 北,2002,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-04-24,普通住宅,暂无数据,共有,"121.551562,38.977079",甘井子,泡崖四区,大连
上东城,2022.03.11 成交,147.0,11086.0,150.0,117,5,91,31,4495,3室2厅1厨2卫,中楼层 (共18层),132.61㎡,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-11-14,普通住宅,满两年,非共有,"113.860798,34.779241",郑东新区,白沙,郑州
修水路,2021.03.04 成交,75.0,15487.0,77.0,32,3,7,6,1267,2室0厅1厨1卫,低楼层 (共7层),48.43㎡,平层,暂无数据,板楼,西,1984,简装,混合结构,集中供暖,一梯七户,无,商品房,2021-02-01,普通住宅,满五年,非共有,"120.385173,36.13223",市北,水清沟,青岛
宏伟金都,2021.02.26 成交,87.0,11966.0,90.0,231,2,12,11,2740,2室1厅1厨1卫,低楼层 (共24层),72.71㎡,平层,暂无数据,板塔结合,南 北,2007,其他,钢混结构,集中供暖,两梯八户,有,商品房,2020-07-10,普通住宅,暂无数据,共有,"123.36069355224,41.809484200881",铁西,保工北,沈阳
园荫北里,2022.03.07 成交,106.0,25108.0,110.0,1,0,1,0,10,2室1厅1厨1卫,中楼层 (共7层),42.02㎡,平层,暂无数据,板楼,南,未知,其他,钢混结构,集中供暖,一梯三户,无,商品房,2022-03-07,普通住宅,满五年,非共有,"117.150721,39.09803",南开,王顶堤,天津
锦绣暖山,2021.09.21 成交,89.0,15345.0,93.0,140,5,31,12,2162,1室1厅1厨1卫,低楼层 (共30层),58㎡,平层,44.21㎡,板楼,东北,2010,其他,钢混结构,集中供暖,两梯三户,有,商品房,2021-05-05,普通住宅,满五年,非共有,"121.549221,38.925182",甘井子,叠翠,大连
承德道,2021.10.04 成交,218.0,59444.0,220.0,13,5,0,4,356,1室1厅1厨1卫,高楼层 (共6层),36.64㎡,暂无数据,暂无数据,板楼,西北,未知,精装,混合结构,集中供暖,一梯四户,无,商品房,2021-09-22,普通住宅,满五年,非共有,"117.21118417146,39.131728617761",和平,劝业场,天津
平安小区,2021.04.11 成交,100.0,13733.0,105.0,5,2,7,3,764,3室1厅1厨1卫,中楼层 (共5层),72.82㎡,平层,暂无数据,板楼,南 北,1980,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-04-07,普通住宅,满两年,非共有,"114.511869,38.025347",桥西,佳农市场,石家庄
金城丽景南区,2021.03.21 成交,232.0,23259.0,245.0,731,7,3,5,2325,4室2厅1厨1卫,高楼层 (共10层),99.75㎡,跃层,82.13㎡,板楼,南,2010,精装,钢混结构,暂无数据,一梯三户,有,商品房,2019-03-21,普通住宅,满五年,非共有,"118.72960609861,32.138849738094",浦口,桥北,南京
泉水N2区,2021.07.13 成交,152.0,15854.0,156.0,104,2,26,3,1014,2室1厅1厨1卫,低楼层 (共9层),95.56㎡,平层,暂无数据,板楼,南 北,2009,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-01,普通住宅,暂无数据,共有,"121.644185,39.021147",甘井子,泉水龙畔金泉,大连
时光澔韵,2021.03.05 成交,528.0,37447.0,548.0,34,1,6,5,1310,4室2厅1厨2卫,低楼层 (共18层),141㎡,平层,暂无数据,板楼,南 北,2010,其他,钢混结构,暂无数据,两梯两户,有,商品房,2021-01-30,普通住宅,暂无数据,共有,"118.76037762079,31.992795113445",雨花台,小行,南京
吉星南里,2021.12.26 成交,313.0,47310.0,318.0,912,2,8,69,10347,2室1厅1厨1卫,高楼层 (共5层),66.16㎡,平层,暂无数据,板楼,南,未知,简装,混合结构,集中供暖,一梯三户,无,商品房,2019-06-29,普通住宅,满五年,非共有,"117.194744,39.12195",和平,南营门街,天津
湾里南小区,2021.11.10 成交,65.0,9340.0,67.8,99,6,28,14,2170,2室1厅1厨1卫,低楼层 (共6层),69.6㎡,平层,暂无数据,板楼,南 北,2003,精装,钢混结构,集中供暖,一梯四户,无,商品房,2021-08-04,普通住宅,满五年,非共有,"121.859162,39.072332",开发区,金湾新城,大连
林锦花园西区,2021.09.29 成交,73.0,10792.0,75.0,46,4,5,2,328,1室1厅1厨1卫,中楼层 (共24层),67.18㎡,平层,暂无数据,塔楼,南,未知,简装,钢混结构,集中供暖,两梯五户,有,商品房,2021-08-14,普通住宅,暂无数据,非共有,"117.357012,39.040458",津南,辛庄,天津
诚基经贸中心,2021.10.31 成交,252.0,49422.0,259.0,35,3,17,23,1041,1室1厅1厨1卫,中楼层 (共50层),50.99㎡,平层,暂无数据,塔楼,南 西,未知,精装,钢混结构,集中供暖,八梯三十六户,有,商品房,2021-09-27,普通住宅,满两年,非共有,"117.208542,39.123121",和平,体育馆街,天津
亿锋广场一期,2021.05.26 成交,50.0,15886.0,51.0,2,0,1,2,205,1室1厅1厨1卫,低楼层 (共32层),31.16㎡,平层,暂无数据,板楼,北,2014,简装,钢混结构,集中供暖,两梯六户,有,商品房,2021-05-24,普通住宅,满两年,非共有,"121.758973,39.050728",开发区,亿锋,大连
恒大御景半岛,2021.12.13 成交,149.0,10853.0,162.0,408,9,143,95,15785,3室2厅1厨2卫,高楼层 (共33层),137.3㎡,平层,103.75㎡,板楼,南,2016,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-11-01,普通住宅,暂无数据,非共有,"114.570055,38.092573",长安,高营,石家庄
奥克斯钟山府,2021.09.12 成交,351.0,39511.0,355.0,130,6,40,35,4457,3室2厅1厨1卫,中楼层 (共11层),88.71㎡,平层,暂无数据,板楼,南,2018,简装,钢混结构,暂无数据,一梯两户,有,商品房,2021-05-06,普通住宅,暂无数据,非共有,"118.91324148276,32.094785622101",玄武,仙鹤门,南京
福山北里,2022.02.27 成交,96.0,15764.0,96.9,115,12,6,8,1105,2室1厅1厨1卫,中楼层 (共6层),60.9㎡,平层,暂无数据,板楼,南 北,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-11-04,普通住宅,满五年,非共有,"117.32617905071,39.093323660551",东丽,张贵庄,天津
翠岭银河,2021.01.31 成交,180.0,20065.0,185.0,16,0,6,14,2256,3室1厅1厨1卫,高楼层 (共11层),89.71㎡,平层,暂无数据,板塔结合,南 北,2008,简装,钢混结构,暂无数据,一梯四户,有,商品房,2021-01-16,普通住宅,暂无数据,非共有,"118.76158375502,31.957642587622",雨花台,铁心桥,南京
恒大绿洲（一期四期七期）,2021.10.01 成交,105.0,8583.0,108.0,375,5,15,4,2315,3室2厅1厨2卫,中楼层 (共11层),122.34㎡,平层,暂无数据,板楼,南 北,2010,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-09-22,普通住宅,满五年,非共有,"123.341161,41.748699",于洪,于洪新城,沈阳
吉星北里,2021.12.20 成交,311.0,77750.0,323.0,60,4,52,29,1258,1室1厅1厨1卫,中楼层 (共6层),40㎡,平层,26.04㎡,板楼,东,未知,简装,混合结构,集中供暖,一梯十五户,无,商品房,2021-10-21,普通住宅,满五年,非共有,"117.194794,39.122956",和平,南营门街,天津
金地中心风华,2021.10.31 成交,627.0,63688.0,655.0,17,0,4,2,207,3室2厅1厨1卫,中楼层 (共32层),98.34㎡,平层,72.97㎡,板楼,南 北,未知,其他,钢混结构,暂无数据,两梯两户,有,商品房,2021-10-15,普通住宅,满两年,共有,"118.696817,31.983542",建邺,奥南,南京
芳水河畔家园,2022.03.07 成交,203.0,22944.0,205.0,217,15,24,35,2949,2室1厅1厨1卫,低楼层 (共5层),88.48㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-08-03,普通住宅,满五年,非共有,"117.280457,39.118173",河东,上杭路,天津
山东路,2021.07.26 成交,96.0,16844.0,96.5,25,0,3,1,321,2室1厅1厨1卫,低楼层 (共6层),56.7㎡,平层,暂无数据,板楼,南 北,1988,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-07-02,普通住宅,满两年,非共有,"121.58747,38.983082",甘井子,山东路,大连
桂林路,2021.11.12 成交,300.0,103879.0,290.0,20,4,1,0,141,2室0厅1厨1卫,低楼层 (共3层),28.88㎡,平层,暂无数据,板楼,南 北,未知,简装,钢混结构,集中供暖,一梯三十六户,无,企业产,2021-10-24,普通住宅,暂无数据,非共有,"117.208953,39.115561",和平,体育馆街,天津
海峡城云玺湾,2021.12.19 成交,628.0,55069.0,640.0,13,0,1,1,154,3室2厅1厨2卫,中楼层 (共27层),114.04㎡,平层,暂无数据,板塔结合,南,2017,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-12-06,普通住宅,暂无数据,共有,"118.689384,31.982604",建邺,奥南,南京
康怡花园,2021.05.20 成交,237.0,34972.0,238.0,1,0,0,0,186,3室1厅1厨1卫,中楼层 (共7层),67.77㎡,平层,暂无数据,板楼,南,1997,其他,钢混结构,暂无数据,一梯三户,无,商品房,2021-05-20,普通住宅,暂无数据,非共有,"118.74937685229,32.044482407026",建邺,江东,南京
SR国际新城,2021.09.03 成交,72.0,9209.0,73.0,1,0,1,0,23,2室1厅1厨1卫,中楼层 (共32层),78.19㎡,平层,暂无数据,板楼,南,2009,精装,钢混结构,集中供暖,两梯六户,有,商品房,2021-09-03,普通住宅,满五年,非共有,"123.45908744974,41.738131477795",浑南,奥体,沈阳
北郡二期,2021.05.15 成交,330.0,21569.0,330.0,623,5,36,14,3321,4室2厅1厨2卫,中楼层 (共5层),153㎡,平层,暂无数据,板塔结合,东,2016,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2019-08-31,普通住宅,暂无数据,非共有,"113.633824,34.874572",惠济,北大学城,郑州
赵二街花苑,2021.05.16 成交,105.0,9823.0,110.0,30,1,17,7,1268,2室2厅1厨2卫,中楼层 (共31层),106.9㎡,平层,81.05㎡,暂无数据,南 北,2020,简装,钢混结构,集中供暖,两梯三户,有,商品房,2021-04-16,普通住宅,暂无数据,非共有,"114.4808379313,38.106894826983",新华,赵陵铺,石家庄
大禹威尼斯花园西院,2021.03.14 成交,130.0,10447.0,133.0,124,4,2,2,1348,3室1厅1厨1卫,高楼层 (共7层),124.44㎡,平层,暂无数据,塔楼,南 北,2001,简装,混合结构,暂无数据,一梯两户,无,商品房,2020-11-11,普通住宅,暂无数据,非共有,"125.32171368248,43.847404045589",朝阳区,南湖,长春
泡崖康居园,2022.01.20 成交,75.0,10146.0,76.0,23,0,3,6,781,2室2厅1厨1卫,高楼层 (共6层),73.73㎡,复式,暂无数据,板楼,南 北,2002,精装,钢混结构,集中供暖,一梯两户,无,商品房,2021-12-29,普通住宅,满五年,非共有,"121.558597,38.987073",甘井子,泡崖八区,大连
中冶蓝城三期,2021.12.19 成交,78.0,8752.0,80.5,236,4,14,7,1313,2室1厅1厨1卫,低楼层 (共25层),89.13㎡,平层,暂无数据,板塔结合,南 北,未知,其他,钢混结构,暂无数据,一梯三户,无,商品房,2021-04-28,普通住宅,暂无数据,非共有,"125.325786,43.961975",宽城区,北环沿线,长春
东都花苑,2021.03.27 成交,303.0,40320.0,313.0,322,11,10,45,4452,3室1厅1厨2卫,高楼层 (共6层),75.15㎡,跃层,66.71㎡,板楼,南 北,2003,精装,钢混结构,集中供暖,一梯两户,无,商品房,2020-05-09,普通住宅,满五年,非共有,"120.43448090157,36.073314437047",崂山,麦岛,青岛
金地自在城,2022.02.24 成交,36.0,10393.0,38.0,16,0,1,2,665,1室1厅1厨1卫,中楼层 (共12层),34.16㎡,复式,暂无数据,板楼,南 北,2020,精装,钢混结构,集中供暖,两梯十七户,有,商品房,2022-02-09,普通住宅,暂无数据,非共有,"121.65982148894,39.045483601344",甘井子,前关,大连
金州福佳新天地广场,2021.10.11 成交,76.0,9629.0,77.0,321,9,123,21,5866,2室1厅1厨1卫,中楼层 (共31层),78.41㎡,平层,61.06㎡,板楼,东南,2011,毛坯,框架结构,集中供暖,两梯九户,有,商品房,2020-11-24,普通住宅,满两年,共有,"121.716562,39.10188",金州,光明,大连
海泊雅苑,2021.07.18 成交,160.0,23687.0,167.0,44,6,35,15,1673,1室1厅1厨1卫,中楼层 (共33层),67.55㎡,平层,暂无数据,板塔结合,南,未知,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-05,普通住宅,暂无数据,非共有,"120.37750643297,36.097478921834",市北,海泊河,青岛
翠屏国际广场苑,2021.01.28 成交,279.0,26083.0,285.0,53,1,8,3,1436,3室2厅1厨1卫,中楼层 (共11层),106.97㎡,错层,暂无数据,板楼,南 北,2006,其他,钢混结构,暂无数据,一梯两户,有,商品房,2020-12-06,普通住宅,暂无数据,非共有,"118.79368160193,31.94135534847",江宁,将军大道,南京
