小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
凯旋花园,2022.02.25 成交,75.0,8713.0,79.8,192,2,3,4,802,2室1厅1厨1卫,低楼层 (共6层),86.08㎡,平层,暂无数据,塔楼,南 北,2004,精装,砖混结构,暂无数据,一梯两户,无,商品房,2021-08-17,普通住宅,暂无数据,非共有,"125.326096,43.940318",宽城区,长新街,长春
唐岛ONE,2021.01.17 成交,157.0,17701.0,157.0,567,10,10,13,2317,2室1厅1厨1卫,高楼层 (共33层),88.7㎡,平层,68.68㎡,板楼,南,2014,毛坯,钢混结构,集中供暖,两梯两户,有,商品房,2019-07-01,普通住宅,满两年,非共有,"120.171992,35.955775",黄岛,石油大学,青岛
悦湖庭苑,2021.12.31 成交,120.0,10681.0,120.0,184,4,50,16,1463,3室2厅1厨1卫,中楼层 (共5层),112.35㎡,平层,暂无数据,板楼,南 北,未知,简装,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-30,普通住宅,满两年,非共有,"117.125627,39.337347",武清,南湖,天津
多伦路,2021.01.19 成交,204.0,33542.0,208.0,3,0,1,1,315,3室1厅1厨1卫,高楼层 (共6层),60.82㎡,平层,暂无数据,板楼,东 西,1993,其他,钢混结构,暂无数据,一梯六户,无,商品房,2021-01-17,普通住宅,暂无数据,共有,"118.75880157389,32.094933938239",鼓楼,建宁路,南京
一印宿舍（建明南路）,2021.12.10 成交,50.0,9103.0,50.0,88,3,3,8,1260,2室1厅1厨1卫,高楼层 (共5层),54.93㎡,平层,暂无数据,板塔结合,南,1996,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-09-14,普通住宅,满五年,非共有,"114.555277,38.043548",长安,跃进,石家庄
宏发长岛,2021.11.28 成交,33.0,6979.0,34.0,60,0,3,3,451,1室1厅1厨1卫,高楼层 (共35层),46㎡,平层,暂无数据,板塔结合,南 北,未知,简装,钢混结构,暂无数据,一梯一户,暂无数据,商品房,2021-09-30,普通住宅,暂无数据,非共有,"123.33872214362,41.783079463247",铁西,西站,沈阳
万达广场48克拉,2021.02.19 成交,47.0,10091.0,48.0,16,0,2,1,429,1室1厅1厨1卫,中楼层 (共48层),46.38㎡,平层,暂无数据,塔楼,东,2009,其他,钢混结构,暂无数据,十梯二十七户,有,商品房,2021-02-03,商住两用,暂无数据,非共有,"121.55655473146,29.831755766282",鄞州区,钟公庙,宁波
省水电院宿舍,2021.06.01 成交,28.0,7593.0,28.0,185,0,2,17,3237,1室1厅1厨1卫,高楼层 (共6层),36.88㎡,平层,暂无数据,板楼,南 北,2001,精装,混合结构,暂无数据,一梯两户,无,商品房,2020-11-29,普通住宅,暂无数据,非共有,"125.27365048254,43.85706813309",朝阳区,红旗,长春
沂水路散盘,2021.01.13 成交,335.0,65563.0,335.0,292,2,2,15,3223,2室1厅1厨1卫,低楼层 (共6层),51.02㎡,平层,47.06㎡,板楼,南 东南,1990,简装,混合结构,集中供暖,一梯三户,无,商品房,2020-03-28,普通住宅,满两年,非共有,"120.33300617465,36.070555673066",市南,中山路,青岛
家和花园,2021.07.18 成交,170.0,11974.0,172.0,205,2,4,5,2411,4室2厅1厨2卫,高楼层 (共5层),141.81㎡,复式,127.2㎡,板楼,南 北,2005,精装,钢混结构,集中供暖,一梯两户,无,商品房,2020-12-25,普通住宅,满两年,非共有,"120.17935646111,35.992209967789",黄岛,保税区,青岛
