小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
红顶花园北园,2021.09.27 成交,357.0,25345.0,398.0,84,2,12,5,786,3室2厅1厨2卫,低楼层 (共5层),140.86㎡,平层,暂无数据,板塔结合,南 北,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-07-06,普通住宅,满五年,非共有,"117.273461,39.147461",河东,向阳楼,天津
革新东街44号,2021.08.01 成交,115.0,14013.0,115.0,43,1,9,9,1165,3室1厅1厨1卫,中楼层 (共6层),81.5㎡,平层,暂无数据,板楼,南 北,2016,精装,砖混结构,集中供暖,一梯三户,无,商品房,2021-06-20,普通住宅,暂无数据,非共有,"114.47720486315,38.057043881159",新华,儿童活动中心,石家庄
天怡佳苑二期,2022.02.11 成交,83.0,7187.0,85.0,217,7,34,24,2813,3室2厅1厨1卫,高楼层 (共18层),114.37㎡,平层,暂无数据,板塔结合,西,2014,精装,钢混结构,暂无数据,一梯三户,有,商品房,2021-07-10,普通住宅,满两年,共有,"113.890272,34.744787",郑东新区,白沙,郑州
吉林储备局家属楼,2021.07.10 成交,40.0,8170.0,41.0,26,0,4,1,291,1室1厅1厨1卫,中楼层 (共7层),48.35㎡,平层,暂无数据,塔楼,南,1990,其他,混合结构,暂无数据,一梯三户,无,商品房,2021-06-15,普通住宅,暂无数据,共有,"125.289428,43.863942",朝阳区,南湖,长春
中南世纪城二期,2021.08.24 成交,110.0,18072.0,114.0,146,1,17,15,1633,2室1厅1厨1卫,低楼层 (共23层),60.87㎡,平层,暂无数据,板楼,南,2016,简装,钢混结构,集中供暖,两梯六户,有,商品房,2021-04-01,普通住宅,满两年,非共有,"120.412432,36.208711",李沧,十梅庵,青岛
康桥里,2022.02.24 成交,68.0,15466.0,68.0,1,0,1,0,14,1室1厅1厨1卫,中楼层 (共6层),43.97㎡,暂无数据,暂无数据,板楼,南,未知,其他,混合结构,集中供暖,一梯四户,无,商品房,2022-02-24,普通住宅,暂无数据,非共有,"117.242067,39.180771",河北,建昌道,天津
金鹰国际花园,2021.04.10 成交,639.0,44133.0,665.0,8,1,3,0,491,3室2厅1厨2卫,高楼层 (共38层),144.79㎡,平层,暂无数据,板塔结合,南 北,2003,其他,钢混结构,暂无数据,两梯三户,有,商品房,2021-04-02,普通住宅,暂无数据,非共有,"118.785596,32.047015",秦淮,新街口,南京
杭州街,2021.09.02 成交,82.0,13861.0,85.0,36,0,7,17,814,1室1厅1厨1卫,高楼层 (共6层),58.8㎡,平层,58㎡,板楼,东,2006,精装,钢混结构,集中供暖,一梯十二户,无,商品房,2021-07-29,普通住宅,满两年,非共有,"121.564397,38.885894",沙河口,黑石礁,大连
金海人家,2021.07.06 成交,54.0,6659.0,55.2,92,4,16,1,1217,2室2厅1厨1卫,中楼层 (共6层),81.1㎡,跃层,暂无数据,板楼,南 北,未知,简装,框架结构,集中供暖,一梯四户,无,商品房,2021-04-06,普通住宅,满五年,非共有,"122.01974882213,39.104775190214",金州,金石滩,大连
升龙城2号院,2021.04.03 成交,122.0,15948.0,125.0,178,0,7,6,2107,2室1厅1厨1卫,中楼层 (共34层),76.5㎡,平层,暂无数据,板楼,西,2017,精装,钢混结构,集中供暖,四梯十一户,有,商品房,2020-10-08,普通住宅,暂无数据,非共有,"113.637955,34.73214",二七,市财政局,郑州
