小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
金水花园东区,2021.04.13 成交,170.0,15634.0,172.0,5,1,1,0,205,3室2厅1厨1卫,低楼层 (共7层),108.74㎡,暂无数据,暂无数据,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-04-09,普通住宅,满五年,非共有,"113.720181,34.774861",金水,未来大厦,郑州
台园,2021.06.06 成交,254.0,34681.0,258.0,77,1,79,24,5241,3室2厅1厨1卫,中楼层 (共6层),73.24㎡,平层,暂无数据,板楼,东 南 北,1994,简装,混合结构,暂无数据,一梯两户,无,房改房,2021-03-21,普通住宅,暂无数据,非共有,"118.765604,32.027452",建邺,南苑,南京
翠金园,2021.12.30 成交,188.0,15933.0,190.0,3,1,1,0,暂无数据,2室2厅1厨1卫,高楼层 (共9层),118㎡,暂无数据,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-12-28,普通住宅,暂无数据,非共有,"117.229772,39.194176",北辰,宜兴埠,天津
信诚大厦,2021.12.20 成交,83.0,7790.0,92.0,42,0,2,1,579,2室1厅0厨0卫,高楼层 (共27层),105.91㎡,平层,暂无数据,板楼,北,未知,其他,钢混结构,集中供暖,两梯五十九户,有,商品房,2021-11-09,普通住宅,满五年,非共有,"117.171697,39.119776",南开,学府街,天津
金纺小区,2021.04.15 成交,26.0,8275.0,28.5,303,2,27,4,1971,1室1厅1厨1卫,中楼层 (共6层),31.42㎡,平层,暂无数据,板楼,南,1988,简装,钢混结构,集中供暖,一梯三户,无,商品房,2020-06-17,普通住宅,暂无数据,非共有,"121.74411020489,39.089446086159",金州,金纺,大连
清凉门小区,2021.05.28 成交,442.0,97594.0,450.0,19,4,7,0,224,2室1厅1厨1卫,低楼层 (共6层),45.29㎡,平层,暂无数据,板楼,南 北,2003,其他,混合结构,暂无数据,一梯两户,无,商品房,2021-05-10,普通住宅,暂无数据,非共有,"118.763427,32.054534",鼓楼,龙江,南京
水泥厂家属楼,2021.07.23 成交,29.0,3678.0,30.0,32,1,1,0,232,2室1厅1厨1卫,中楼层 (共6层),77.49㎡,平层,暂无数据,板楼,南 北,2000,其他,钢混结构,暂无数据,一梯三户,无,商品房,2021-06-21,普通住宅,暂无数据,非共有,"126.732911,45.834138",道外,哈东站商圈,哈尔滨
生辉第一城,2021.08.17 成交,56.0,9279.0,56.5,26,0,27,9,966,1室1厅1厨1卫,低楼层 (共30层),60.14㎡,平层,暂无数据,板楼,南,2007,精装,框架结构,集中供暖,两梯四户,有,商品房,2021-07-23,普通住宅,满五年,共有,"121.74782,39.058569",金州,城润,大连
新城保利天地,2021.01.01 成交,161.0,20721.0,165.0,54,4,49,42,3248,3室2厅1厨1卫,中楼层 (共18层),77.7㎡,平层,暂无数据,板塔结合,南,2018,精装,钢混结构,暂无数据,一梯两户,有,商品房,2020-11-09,普通住宅,暂无数据,非共有,"118.82282123307,31.797621772045",江宁,禄口,南京
城开绿城绿园,2021.07.16 成交,308.0,14703.0,316.0,106,6,3,7,1124,5室2厅1厨2卫,高楼层 (共31层),209.49㎡,复式,暂无数据,板塔结合,西南 北,2015,其他,钢混结构,集中供暖,两梯三户,有,商品房,2021-04-01,普通住宅,满两年,非共有,"113.622693,34.788711",中原,五龙口,郑州
