小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
富春江路121号,2021.04.16 成交,190.0,19138.0,195.0,177,3,7,14,2257,2室2厅1厨1卫,低楼层 (共6层),99.28㎡,平层,暂无数据,板楼,南 北,2008,精装,钢混结构,集中供暖,一梯一户,暂无数据,商品房,2020-10-22,普通住宅,满两年,非共有,"120.18891228461,35.964566352654",黄岛,天泰,青岛
西昌小区西区,2021.09.13 成交,39.0,7573.0,42.0,11,2,7,5,371,2室1厅1厨1卫,中楼层 (共7层),51.5㎡,平层,暂无数据,板楼,东南,1998,精装,砖混结构,暂无数据,一梯三户,无,商品房,2021-09-03,普通住宅,暂无数据,非共有,"125.30837228174,43.897675292258",朝阳区,人民广场西,长春
福临万家二期,2021.06.27 成交,145.0,21825.0,152.0,5,0,16,11,1173,2室1厅1厨1卫,高楼层 (共11层),66.44㎡,平层,53.65㎡,板楼,南,2012,精装,钢混结构,集中供暖,一梯三户,有,商品房,2021-06-23,普通住宅,满五年,非共有,"120.44351220147,36.153208308954",李沧,枣儿山,青岛
东方兰园,2022.02.24 成交,230.0,31018.0,235.0,165,2,20,43,4780,2室2厅1厨1卫,低楼层 (共33层),73.99㎡,平层,暂无数据,板楼,南,2017,精装,钢混结构,暂无数据,两梯三户,有,商品房,2021-09-13,普通住宅,满两年,非共有,"118.84206729492,32.122166093906",栖霞,万寿,南京
76中学桥北,2021.06.22 成交,102.0,22814.0,103.0,8,0,4,0,175,2室1厅1厨1卫,中楼层 (共5层),44.71㎡,平层,暂无数据,板楼,东南,1990,简装,砖混结构,集中供暖,一梯六户,无,商品房,2021-06-15,普通住宅,满五年,非共有,"121.59511,38.971919",甘井子,金三角,大连
万科润园二期,2021.01.13 成交,89.0,9988.0,95.0,558,8,12,85,5915,2室2厅1厨1卫,高楼层 (共18层),89㎡,平层,暂无数据,板楼,南 北,2017,精装,钢混结构,集中供暖,一梯三户,有,商品房,2019-07-06,普通住宅,暂无数据,非共有,"123.352926,41.830811",铁西,启工街,沈阳
工人新村,2021.01.05 成交,205.0,33890.0,212.0,257,2,25,39,4635,3室1厅1厨1卫,高楼层 (共6层),60.49㎡,跃层,暂无数据,板楼,南 北,1998,简装,混合结构,暂无数据,一梯四户,无,商品房,2020-04-24,普通住宅,暂无数据,非共有,"118.786603,32.087087",鼓楼,许府巷,南京
帝湖西王府,2022.03.03 成交,108.0,10345.0,113.0,85,1,28,13,2762,2室2厅1厨1卫,中楼层 (共31层),104.4㎡,平层,85.6㎡,塔楼,南,2006,简装,钢混结构,集中供暖,三梯六户,有,商品房,2021-12-09,普通住宅,满五年,非共有,"113.62219,34.724165",中原区,帝湖,郑州
清华大溪地九号院,2021.12.11 成交,58.0,5421.0,78.0,1,1,0,0,暂无数据,3室2厅1厨1卫,高楼层 (共32层),107㎡,暂无数据,暂无数据,板楼,南 北,未知,简装,钢混结构,集中供暖,两梯四户,有,商品房,2021-12-11,普通住宅,暂无数据,非共有,"113.45586238127,34.752725760313",荥阳市,荥阳城区,郑州
择邻青年首宅,2021.07.02 成交,53.0,12575.0,55.0,95,2,2,6,1066,1室1厅1厨1卫,中楼层 (共7层),42.15㎡,平层,34.22㎡,板楼,东,2007,精装,混合结构,自供暖,一梯八户,有,商品房,2021-03-30,普通住宅,满五年,非共有,"113.71375747389,34.728811179176",管城回族区,世纪欢乐园,郑州
河北师范大学北家属院,2021.07.16 成交,94.0,24736.0,100.0,9,0,1,0,252,1室1厅1厨1卫,中楼层 (共5层),37.84㎡,暂无数据,暂无数据,板楼,南,1998,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-07-07,普通住宅,满五年,非共有,"114.53623466503,38.045871020427",长安,育才,石家庄
天伦星钻,2021.02.03 成交,172.0,19218.0,175.0,75,7,18,6,1726,2室2厅1厨1卫,高楼层 (共33层),89.5㎡,平层,暂无数据,板楼,西南,2010,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-11-20,普通住宅,暂无数据,非共有,"113.717769,34.777536",金水,未来大厦,郑州
宁丰铭庭,2021.03.05 成交,358.0,36870.0,365.0,118,1,19,11,2732,3室1厅1厨1卫,低楼层 (共18层),97.1㎡,平层,暂无数据,板楼,南 北,2020,毛坯,钢混结构,暂无数据,一梯四户,有,商品房,2020-11-08,普通住宅,满两年,共有,"121.557429,29.849876",鄞州区,长丰,宁波
