小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
华大城二期,2021.06.22 成交,44.0,8857.0,44.6,2,0,1,0,108,1室1厅1厨1卫,中楼层 (共8层),49.57㎡,暂无数据,暂无数据,板楼,南,2015,其他,钢混结构,暂无数据,一梯四户,有,商品房,2021-06-21,普通住宅,暂无数据,非共有,"125.338881,43.965072",宽城区,小南,长春
万科金域华府,2021.02.23 成交,179.0,19710.0,186.0,234,2,13,36,5228,2室2厅1厨1卫,高楼层 (共14层),90.82㎡,平层,71.76㎡,板楼,南 北,2016,精装,钢混结构,集中供暖,两梯两户,有,商品房,2020-07-05,普通住宅,满两年,共有,"121.53317,38.964601",甘井子,机场乐购,大连
殷巷新寓242幢至297幢,2021.01.01 成交,212.0,21571.0,225.0,87,0,2,0,1042,3室2厅1厨1卫,中楼层 (共6层),98.05㎡,平层,暂无数据,板楼,南 北,2002,简装,混合结构,暂无数据,一梯两户,无,商品房,2020-10-07,普通住宅,满两年,非共有,"118.84446365473,31.922916426453",江宁,九龙湖,南京
金桂花园,2022.03.14 成交,141.0,22684.0,146.0,63,0,3,1,832,2室1厅1厨1卫,中楼层 (共7层),62.16㎡,平层,暂无数据,板楼,南 北,2003,简装,钢混结构,集中供暖,一梯两户,无,商品房,2022-01-11,普通住宅,暂无数据,非共有,"120.38256508084,36.103197525269",市北,四方实验小区,青岛
美好家园,2021.02.27 成交,223.0,13247.0,223.8,191,4,6,8,2408,5室2厅1厨2卫,高楼层 (共6层),168.35㎡,复式,168.35㎡,板楼,南,2004,精装,钢混结构,暂无数据,一梯两户,无,商品房,2020-08-21,普通住宅,满两年,非共有,"121.84608,29.891488",北仑区,霞浦,宁波
昊源高格蓝郡,2021.07.21 成交,120.0,11132.0,125.0,4,1,1,2,500,3室1厅1厨1卫,高楼层 (共9层),107.8㎡,平层,暂无数据,塔楼,南 北,2014,精装,框架结构,暂无数据,一梯两户,有,商品房,2021-07-18,普通住宅,暂无数据,非共有,"125.39193,43.890676",二道区,亚泰,长春
正弘中央公园林语苑,2021.11.21 成交,74.0,8285.0,76.0,252,15,97,38,7949,3室2厅1厨1卫,高楼层 (共18层),89.08㎡,平层,暂无数据,板楼,南 北,未知,毛坯,钢混结构,集中供暖,两梯四户,有,商品房,2021-03-14,普通住宅,满两年,非共有,"113.85855297282,34.589624008166",航空港区,航空港商圈,郑州
新加坡花园,2021.07.12 成交,90.0,11183.0,92.0,34,2,14,1,468,2室1厅1厨1卫,低楼层 (共33层),80.48㎡,平层,暂无数据,板塔结合,北 南,2014,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-06-09,普通住宅,暂无数据,非共有,"123.33188706437,41.756420052229",于洪,于洪新城,沈阳
润泽园小区,2021.11.02 成交,51.0,9507.0,54.0,766,7,16,6,2425,1室1厅1厨1卫,高楼层 (共22层),53.65㎡,平层,暂无数据,塔楼,南,2010,精装,钢结构,集中供暖,两梯六户,有,商品房,2019-09-28,普通住宅,满五年,非共有,"121.80234581323,39.051176273068",开发区,倚山里,大连
金连佳地,2021.06.09 成交,77.0,17738.0,79.0,79,2,6,2,1335,1室1厅1厨1卫,中楼层 (共28层),43.13㎡,平层,暂无数据,板楼,南,2010,简装,钢混结构,集中供暖,两梯五户,有,商品房,2021-03-23,普通住宅,满五年,共有,"121.721055,39.111459",金州,光明,大连
中海锦苑,2021.05.16 成交,510.0,36302.0,513.0,34,6,70,23,9176,4室2厅1厨2卫,低楼层 (共7层),140.49㎡,复式,暂无数据,板楼,东南,2015,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-13,普通住宅,满两年,非共有,"113.661433,34.812735",金水,省中医院,郑州
盛世景园,2021.12.13 成交,56.0,8335.0,56.0,26,4,3,1,160,1室1厅1厨1卫,低楼层 (共19层),67.19㎡,平层,暂无数据,板楼,南,2006,其他,钢混结构,自供暖,两梯四户,有,商品房,2021-11-18,普通住宅,满两年,共有,"120.488801,36.311041",城阳,惜福镇,青岛
弘基二期,2021.06.23 成交,334.0,28110.0,350.0,13,0,23,16,1267,3室2厅1厨1卫,中楼层 (共6层),118.75㎡,平层,暂无数据,板楼,南 北,2003,精装,框架结构,集中供暖,一梯两户,无,商品房,2021-06-11,普通住宅,满五年,非共有,"121.551112,38.883415",高新园区,学府,大连
泡崖美林园,2021.06.16 成交,113.0,12801.0,114.9,33,3,13,13,2961,2室1厅1厨1卫,高楼层 (共7层),88.04㎡,平层,暂无数据,板楼,南 北,2003,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-05-14,普通住宅,满五年,非共有,"121.526458,38.980365",甘井子,美林园,大连
绿波家园,2021.03.25 成交,18.0,3334.0,19.0,649,4,3,1,1973,2室1厅1厨1卫,中楼层 (共7层),54㎡,暂无数据,暂无数据,暂无数据,南 北,未知,其他,未知结构,暂无数据,一梯三户,无,商品房,2019-06-16,普通住宅,暂无数据,共有,"126.97098270892,45.538712496609",阿城区,阿城商圈,哈尔滨
朗诗未来街区二期,2022.03.05 成交,164.0,22283.0,165.0,373,2,22,45,6658,3室2厅1厨1卫,低楼层 (共18层),73.6㎡,平层,暂无数据,板塔结合,南,2016,其他,钢混结构,暂无数据,两梯四户,有,商品房,2021-02-26,普通住宅,暂无数据,非共有,"118.72004265045,32.192688146473",浦口,高新区,南京
七彩星城,2021.07.01 成交,137.0,31141.0,142.0,87,3,3,3,1469,2室1厅1厨1卫,中楼层 (共21层),43.77㎡,复式,暂无数据,塔楼,西南,2009,简装,钢混结构,暂无数据,四梯二十户,有,商品房,2021-04-05,酒店式公寓,暂无数据,非共有,"118.73113620859,31.970571418556",雨花台,铁心桥,南京
金州福佳新天地广场,2022.03.11 成交,44.0,8864.0,45.8,173,6,36,2,881,1室1厅1厨1卫,高楼层 (共31层),49.19㎡,平层,暂无数据,塔楼,南,2012,精装,框架结构,集中供暖,两梯九户,有,商品房,2021-09-20,普通住宅,满两年,共有,"121.716562,39.10188",金州,光明,大连
中海和平之门,2021.06.06 成交,180.0,21360.0,183.0,49,1,2,7,1149,2室2厅1厨1卫,低楼层 (共34层),84.27㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-19,普通住宅,暂无数据,非共有,"123.42417625971,41.736602339703",和平,长白,沈阳
