小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
梦和园,2021.09.02 成交,103.0,17222.0,110.0,8,0,2,1,85,1室1厅1厨1卫,中楼层 (共27层),59.81㎡,平层,暂无数据,板塔结合,南,未知,其他,钢混结构,集中供暖,两梯五户,有,商品房,2021-08-26,普通住宅,暂无数据,非共有,"117.11639689824,39.16788131774",红桥,西营门,天津
岭前街,2021.08.06 成交,42.0,6532.0,45.0,74,2,14,1,605,2室1厅1厨1卫,低楼层 (共6层),64.3㎡,平层,暂无数据,板塔结合,南,未知,精装,砖混结构,集中供暖,一梯两户,有,商品房,2021-05-25,普通住宅,暂无数据,非共有,"121.964968,39.398841",普兰店,普兰店,大连
恒大御景半岛,2021.04.10 成交,177.0,13241.0,185.0,232,5,1,0,329,3室2厅1厨1卫,中楼层 (共33层),133㎡,暂无数据,暂无数据,板楼,南,2018,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-08-22,普通住宅,暂无数据,非共有,"114.570055,38.092573",长安,高营,石家庄
招商·海德公学二期,2021.12.13 成交,194.0,15836.0,199.0,230,4,16,7,1129,3室2厅1厨2卫,高楼层 (共6层),122.51㎡,平层,105.57㎡,暂无数据,南 北,未知,毛坯,未知结构,暂无数据,一梯两户,暂无数据,商品房,2021-04-28,普通住宅,满两年,非共有,"120.29413256146,36.263164921552",城阳,高新区,青岛
正商新蓝钻A区,2021.06.12 成交,142.0,16415.0,144.3,27,1,3,10,1760,2室2厅1厨1卫,高楼层 (共26层),86.51㎡,平层,65.26㎡,板楼,南,2012,简装,钢混结构,集中供暖,两梯三户,有,商品房,2021-05-17,普通住宅,满五年,非共有,"113.70945248283,34.727569780763",管城回族区,管南区域,郑州
招商兰溪谷南区,2021.05.08 成交,272.0,28682.0,275.0,42,3,33,27,3665,3室1厅1厨1卫,中楼层 (共30层),94.66㎡,平层,暂无数据,板塔结合,南,2015,毛坯,钢混结构,集中供暖,两梯三户,有,商品房,2021-03-28,普通住宅,满两年,非共有,"121.534599,38.856294",高新园区,华录,大连
梅乐家园,2021.02.23 成交,172.0,12530.0,174.0,112,12,22,8,1913,4室2厅1厨2卫,低楼层 (共11层),136.88㎡,平层,暂无数据,板楼,南,2020,毛坯,钢混结构,暂无数据,两梯两户,有,商品房,2020-11-04,普通住宅,暂无数据,非共有,"121.62197521067,29.72938115779",鄞州区,横溪,宁波
淮海新村,2021.05.14 成交,470.0,64044.0,477.0,10,0,9,17,1812,3室1厅1厨1卫,中楼层 (共7层),73.31㎡,平层,暂无数据,板楼,南,1991,精装,砖混结构,暂无数据,一梯两户,无,商品房,2021-05-04,普通住宅,暂无数据,非共有,"118.79548378464,32.042422108077",秦淮,新街口,南京
春和景明一期,2021.04.01 成交,185.0,20243.0,188.0,313,5,52,103,8143,3室1厅1厨1卫,中楼层 (共20层),91.39㎡,平层,暂无数据,板楼,南,2011,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-05-24,普通住宅,满五年,非共有,"120.444287,36.184234",李沧,下王埠,青岛
新希望乐城,2021.05.11 成交,81.0,11499.0,82.0,82,0,7,2,1398,2室2厅1厨1卫,中楼层 (共32层),70.01㎡,平层,暂无数据,板楼,南 西,2015,精装,框架结构,集中供暖,三梯八户,有,商品房,2021-02-19,普通住宅,满五年,共有,"121.747922,39.060513",金州,城润,大连
供水公司宿舍,2021.07.01 成交,80.0,12102.0,85.0,95,7,14,2,1240,2室1厅1厨1卫,高楼层 (共6层),66.11㎡,平层,暂无数据,暂无数据,南 北,未知,简装,混合结构,暂无数据,一梯三户,无,商品房,2021-03-29,普通住宅,满五年,非共有,"114.55546660406,38.039114634367",裕华,东苑,石家庄
红星海一期原墅,2021.03.15 成交,600.0,20322.0,650.0,45,3,5,3,758,4室2厅1厨4卫,低楼层 (共3层),295.25㎡,暂无数据,暂无数据,平房,南 北,2009,毛坯,钢混结构,集中供暖,四梯四户,有,商品房,2021-01-30,普通住宅,满五年,非共有,"121.802295,39.022546",开发区,红星海,大连
文安路社区,2021.05.06 成交,30.0,7284.0,30.0,1,0,1,0,238,1室1厅1厨1卫,高楼层 (共7层),41.19㎡,暂无数据,暂无数据,板塔结合,南,2000,其他,混合结构,暂无数据,一梯三户,无,商品房,2021-05-06,普通住宅,暂无数据,非共有,"123.441623,41.761901",和平,三好街,沈阳
闽侯路,2021.09.08 成交,85.0,65382.0,86.0,21,4,2,3,656,1室0厅0厨0卫,高楼层 (共6层),12.97㎡,平层,暂无数据,板楼,南,未知,简装,混合结构,集中供暖,一梯九户,无,公产房,2021-08-18,普通住宅,暂无数据,非共有,"117.231893,39.111753",河西,下瓦房,天津
金地旭辉九韵风华,2021.12.04 成交,95.0,11294.0,95.0,132,1,7,5,941,2室1厅1厨1卫,中楼层 (共34层),84.12㎡,平层,暂无数据,板楼,南 北,2018,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2021-07-25,普通住宅,暂无数据,共有,"123.48023,41.733705",浑南,二十一世纪,沈阳
部居逸阁,2021.03.17 成交,102.0,17583.0,105.0,7,0,1,1,380,2室1厅1厨1卫,中楼层 (共8层),57.9㎡,平层,暂无数据,板楼,南 西,2005,其他,钢混结构,集中供暖,一梯八户,有,商品房,2021-03-11,普通住宅,满五年,非共有,"121.654059,38.911539",中山,武昌街,大连
绿城郁金香岸,2021.06.29 成交,228.0,22223.0,230.0,47,7,99,34,5485,3室2厅1厨1卫,中楼层 (共22层),102.6㎡,平层,77.78㎡,板楼,南 北,未知,毛坯,钢混结构,集中供暖,两梯两户,有,商品房,2021-05-14,普通住宅,暂无数据,共有,"120.452262,36.172753",李沧,绿城,青岛
红梅社区,2021.03.19 成交,192.0,26760.0,193.0,141,3,4,0,907,3室1厅1厨1卫,中楼层 (共8层),71.45㎡,暂无数据,63.77㎡,板楼,南,1998,简装,砖混结构,暂无数据,一梯两户,无,商品房,2020-10-30,普通住宅,满五年,非共有,"121.591184,29.907844",江北区,孔浦,宁波
莘香雅苑,2021.06.05 成交,283.0,41423.0,290.0,30,4,6,18,1094,2室2厅1厨1卫,高楼层 (共6层),68.32㎡,平层,60.03㎡,板塔结合,南,未知,精装,钢混结构,暂无数据,一梯两户,无,商品房,2021-05-07,普通住宅,暂无数据,共有,"121.633655,29.872875",鄞州区,东部新城,宁波
高尔夫国际花园,2021.12.06 成交,466.0,34584.0,470.0,204,2,25,6,2435,3室2厅1厨2卫,中楼层 (共11层),134.69㎡,平层,113.68㎡,板楼,南,2012,精装,钢混结构,暂无数据,一梯三户,有,商品房,2021-05-17,普通住宅,满五年,非共有,"118.812869,31.942821",江宁,百家湖,南京
中海和平之门,2021.10.25 成交,166.0,18548.0,172.0,83,5,24,18,1299,2室2厅1厨1卫,高楼层 (共34层),89.5㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-08-03,普通住宅,暂无数据,共有,"123.42417625971,41.736602339703",和平,长白,沈阳
SR国际新城,2021.08.05 成交,58.0,6450.0,58.0,136,4,27,127,9100,2室1厅1厨1卫,低楼层 (共25层),89㎡,平层,暂无数据,板塔结合,西北,2010,简装,钢混结构,集中供暖,三梯十四户,有,商品房,2021-03-22,普通住宅,暂无数据,非共有,"123.45908744974,41.738131477795",浑南,奥体,沈阳
弘阳时光里一区,2021.03.12 成交,219.0,29418.0,220.0,251,3,20,8,2116,3室1厅1厨1卫,高楼层 (共18层),74.31㎡,平层,暂无数据,板楼,南 北,2016,简装,钢混结构,暂无数据,两梯四户,有,商品房,2020-07-05,普通住宅,暂无数据,非共有,"118.71693,32.186628",浦口,高新区,南京
华桥幸福里,2021.05.19 成交,180.0,8373.0,180.0,117,1,2,1,1280,4室2厅1厨2卫,高楼层 (共16层),215㎡,平层,暂无数据,板塔结合,南 北,2017,毛坯,钢混结构,集中供暖,一梯三户,暂无数据,商品房,2021-01-22,普通住宅,暂无数据,非共有,"120.367095,36.322084",即墨,西元庄,青岛
君睿名苑,2021.05.18 成交,224.0,29011.0,225.0,126,0,13,0,213,2室2厅1厨1卫,中楼层 (共26层),77㎡,平层,暂无数据,塔楼,南,未知,其他,钢混结构,暂无数据,两梯六户,有,商品房,2021-01-12,普通住宅,暂无数据,非共有,"121.61075,29.808483",鄞州区,下应,宁波
滨河家园,2021.12.04 成交,138.0,21857.0,140.0,72,4,6,11,1185,1室1厅1厨1卫,低楼层 (共6层),63.14㎡,平层,暂无数据,板楼,南 北,未知,其他,混合结构,集中供暖,一梯三户,无,商品房,2021-09-24,普通住宅,暂无数据,非共有,"117.260791,39.092514",河东,富民路,天津
益格风情湾2期,2021.10.10 成交,83.0,8737.0,93.0,127,1,1,0,351,2室1厅1厨1卫,低楼层 (共26层),95㎡,平层,暂无数据,板楼,南 北,2009,其他,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-05,普通住宅,暂无数据,非共有,"123.32642890794,41.772459847295",于洪,于洪新城,沈阳
长白新城,2021.03.03 成交,87.0,12946.0,87.9,75,1,17,8,1396,2室1厅1厨1卫,中楼层 (共34层),66.82㎡,平层,暂无数据,板楼,南 北,2006,简装,钢混结构,集中供暖,一梯三户,有,商品房,2020-12-18,普通住宅,暂无数据,非共有,"123.388961,41.747099",和平,长白,沈阳
万合新家园,2021.06.06 成交,122.0,19964.0,125.0,230,1,6,10,1419,2室1厅1厨1卫,低楼层 (共11层),60.91㎡,平层,暂无数据,板楼,南 北,2004,精装,钢混结构,集中供暖,一梯三户,有,商品房,2020-10-20,普通住宅,满五年,非共有,"121.564824,38.927507",沙河口,马栏,大连
春晓华园,2021.05.04 成交,245.0,17181.0,250.0,60,5,4,1,821,3室2厅1厨2卫,中楼层 (共10层),142.6㎡,平层,142.6㎡,板楼,南 北,2005,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-03-05,普通住宅,满两年,非共有,"121.14571899575,30.060738186806",余姚市,新城市,宁波
小杨村小区,2022.03.08 成交,160.0,30495.0,168.0,276,11,65,36,5530,2室1厅1厨1卫,高楼层 (共7层),52.2㎡,平层,45.76㎡,板楼,南,1994,简装,钢混结构,暂无数据,一梯五户,无,商品房,2021-06-06,普通住宅,满五年,非共有,"118.80438970698,32.04145428391",秦淮,五老村,南京
全威花园,2021.10.05 成交,99.0,11351.0,100.0,30,4,23,28,2998,3室2厅1厨1卫,高楼层 (共18层),86.78㎡,平层,69.74㎡,板楼,南,2013,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-09-06,普通住宅,满五年,共有,"113.613033,34.797386",高新区,五龙口,郑州
浅水湾,2021.07.29 成交,39.0,3780.0,40.0,57,1,3,7,672,3室1厅1厨1卫,高楼层 (共6层),103.19㎡,复式,暂无数据,板塔结合,南 北,未知,精装,钢混结构,集中供暖,一梯三户,无,商品房,2021-06-03,普通住宅,暂无数据,非共有,"123.59881974253,41.92762829186",沈北新区,蒲河新城,沈阳
