小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
泰丰观湖,2021.12.06 成交,158.0,15732.0,160.0,32,3,25,14,1284,2室1厅1厨1卫,中楼层 (共31层),100.12㎡,平层,82.03㎡,板楼,南,2015,精装,钢混结构,集中供暖,一梯三户,有,商品房,2021-11-05,普通住宅,暂无数据,非共有,"114.497706,38.002889",桥西,塔谈,石家庄
佰世品德,2021.04.25 成交,53.0,8787.0,53.5,16,2,3,0,397,2室1厅1厨1卫,高楼层 (共9层),59.75㎡,平层,暂无数据,板楼,南,2011,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-04-10,普通住宅,暂无数据,共有,"123.31148141917,41.774123714675",铁西,张士,沈阳
紫金城西区,2021.10.30 成交,635.0,30826.0,668.0,134,15,47,19,2781,4室2厅1厨4卫,中楼层 (共6层),206㎡,复式,暂无数据,板楼,南 北,1998,简装,钢混结构,暂无数据,一梯两户,无,商品房,2021-06-19,普通住宅,满五年,非共有,"118.8375572765,32.041914528303",秦淮,月牙湖,南京
马总花园,2021.12.20 成交,95.0,10495.0,98.8,17,2,13,6,651,2室2厅1厨1卫,低楼层 (共34层),90.52㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-12-04,普通住宅,暂无数据,非共有,"123.3913,41.742871",和平,长白,沈阳
鑫江水青花都二期,2021.07.18 成交,142.0,16184.0,146.0,73,0,8,13,2124,3室2厅1厨1卫,低楼层 (共25层),87.19㎡,平层,暂无数据,板楼,南 北,2017,其他,钢混结构,集中供暖,两梯两户,有,商品房,2021-05-07,普通住宅,暂无数据,非共有,"120.440507,36.221885",城阳,夏庄,青岛
雅居乐花园B地块,2021.07.23 成交,168.0,11421.0,173.0,287,1,16,4,2421,3室2厅1厨2卫,中楼层 (共8层),147.11㎡,平层,122.79㎡,板楼,南 北,2020,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2020-10-10,普通住宅,暂无数据,共有,"123.392306,41.937936",沈北新区,道义,沈阳
金域蓝城,2021.10.12 成交,42.0,13428.0,46.5,159,0,4,0,549,1室1厅1厨1卫,低楼层 (共26层),31.13㎡,平层,暂无数据,板楼,东,2010,其他,钢混结构,暂无数据,两梯十八户,有,商品房,2021-05-06,普通住宅,暂无数据,非共有,"126.597511,45.721393",南岗,哈西商圈,哈尔滨
左岸经典,2021.02.28 成交,41.0,8598.0,43.0,80,0,5,0,644,1室0厅1厨1卫,高楼层 (共33层),47.69㎡,平层,47.69㎡,板塔结合,东,2013,精装,钢混结构,集中供暖,六梯二十三户,有,商品房,2020-12-11,普通住宅,暂无数据,非共有,"121.76188288642,39.049087975475",开发区,红梅翠竹,大连
天华硅谷,2022.03.12 成交,183.0,20479.0,189.0,25,2,4,3,549,2室1厅1厨1卫,低楼层 (共11层),89.36㎡,平层,暂无数据,板楼,南 北,2012,精装,钢混结构,暂无数据,一梯两户,有,商品房,2022-02-16,普通住宅,满五年,非共有,"118.72319958926,32.161729313673",浦口,泰山街道,南京
莱蒙水榭阳光,2022.03.13 成交,245.0,33448.0,248.0,191,1,50,32,3688,2室2厅1厨1卫,低楼层 (共27层),73.19㎡,平层,暂无数据,板塔结合,南,2016,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-09-04,普通住宅,满两年,共有,"118.759665,31.9531",雨花台,铁心桥,南京
