小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
海岸馨园,2021.12.02 成交,166.0,16376.0,174.0,267,14,18,67,5786,3室1厅1厨1卫,低楼层 (共33层),101.37㎡,平层,84.12㎡,板楼,南 北,2013,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-03-11,普通住宅,满五年,共有,"120.35006344411,36.111186673253",市北,海云庵,青岛
花语轩,2022.03.06 成交,201.0,19728.0,201.0,1,0,1,0,14,2室2厅1厨1卫,高楼层 (共18层),101.89㎡,暂无数据,暂无数据,板楼,南,未知,其他,钢混结构,集中供暖,两梯三户,有,商品房,2022-03-06,普通住宅,暂无数据,非共有,"117.730344,39.029396",开发区,第三大街,天津
芳草苑小区,2021.04.24 成交,103.0,4277.0,109.0,159,1,1,0,81,4室2厅1厨2卫,高楼层 (共7层),239㎡,暂无数据,暂无数据,板楼,南 北,2004,毛坯,钢混结构,集中供暖,一梯两户,无,商品房,2020-11-16,普通住宅,暂无数据,共有,"114.6869542611,38.35319096773",新乐,新乐市,石家庄
嘉鲤小区,2021.08.03 成交,255.0,18435.0,265.0,259,2,34,21,4797,3室2厅1厨2卫,低楼层 (共32层),138.33㎡,平层,108.67㎡,板楼,南 北,2010,精装,钢混结构,集中供暖,两梯四户,有,商品房,2020-11-17,普通住宅,满五年,非共有,"114.503618,38.045468",桥西,大经,石家庄
珠江荣景,2021.04.25 成交,85.0,9433.0,87.0,91,9,64,9,3794,2室2厅1厨1卫,高楼层 (共25层),90.11㎡,平层,69.85㎡,板楼,东南,2014,毛坯,钢混结构,自供暖,两梯四户,有,商品房,2021-01-25,普通住宅,满五年,非共有,"113.6147149998,34.850780718492",惠济,邙山,郑州
未来花园,2021.06.01 成交,300.0,16296.0,310.0,595,3,157,23,3680,4室2厅1厨2卫,低楼层 (共26层),184.1㎡,平层,暂无数据,板楼,北 南,2002,简装,钢混结构,集中供暖,两梯四户,有,商品房,2019-10-16,普通住宅,暂无数据,非共有,"113.71554555004,34.776869999532",金水,未来大厦,郑州
金鼎湾国际,2021.02.25 成交,595.0,63589.0,583.0,84,3,34,24,6549,2室1厅1厨1卫,高楼层 (共17层),93.57㎡,平层,暂无数据,板楼,南,2009,其他,钢混结构,暂无数据,一梯四户,有,商品房,2020-12-03,普通住宅,暂无数据,非共有,"118.785592,32.036278",秦淮,升州路,南京
碧桂园银河城都荟,2021.06.29 成交,96.0,10799.0,97.0,289,16,30,13,5814,2室1厅1厨1卫,低楼层 (共33层),88.9㎡,平层,88.9㎡,板楼,南 北,2015,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-09-13,普通住宅,暂无数据,共有,"123.352631,41.761117",于洪,于洪新城,沈阳
东方银座中心城,2022.03.10 成交,40.0,7828.0,42.0,17,0,3,1,311,1室1厅1厨1卫,高楼层 (共34层),51.1㎡,平层,暂无数据,板楼,南,2013,其他,钢混结构,集中供暖,一梯八户,有,商品房,2022-02-21,普通住宅,暂无数据,非共有,"123.49710112492,41.828965843483",大东,东北大马路,沈阳
世代龙城,2022.02.26 成交,30.0,7011.0,33.0,206,4,3,5,1017,1室1厅1厨1卫,高楼层 (共15层),42.08㎡,平层,暂无数据,板楼,东南,2009,简装,钢混结构,集中供暖,两梯十二户,有,商品房,2021-08-05,普通住宅,暂无数据,非共有,"123.30745920486,41.801902513108",于洪,于洪广场,沈阳
