小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
米兰公馆,2021.09.03 成交,40.0,9951.0,43.8,162,6,4,5,993,1室1厅1厨1卫,高楼层 (共19层),40.2㎡,平层,暂无数据,板楼,南,2015,精装,钢混结构,暂无数据,三梯二十七户,有,商品房,2021-03-26,商住两用,暂无数据,非共有,"121.5531,29.795099",鄞州区,首南,宁波
保利罗兰公馆,2021.12.06 成交,460.0,29377.0,480.0,166,7,78,59,7355,5室1厅1厨4卫,低楼层 (共4层),156.59㎡,跃层,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-24,普通住宅,满两年,非共有,"117.044626,39.076736",西青,张家窝,天津
隆顺家园,2021.04.03 成交,166.0,28488.0,168.0,53,7,10,4,1964,2室1厅1厨1卫,高楼层 (共30层),58.2㎡,平层,暂无数据,塔楼,南,2015,其他,钢混结构,暂无数据,两梯四户,有,商品房,2021-02-09,普通住宅,满两年,非共有,"121.859316,29.906334",北仑区,新碶,宁波
左邻右里,2021.06.27 成交,304.0,32608.0,318.0,99,1,51,7,2240,2室2厅1厨1卫,中楼层 (共5层),93.17㎡,平层,暂无数据,板楼,南,2005,其他,钢混结构,暂无数据,一梯两户,无,商品房,2021-03-20,普通住宅,暂无数据,共有,"118.818304,31.963832",江宁,岔路口,南京
水墨丹青,2021.01.05 成交,35.0,3597.0,35.0,68,1,4,32,4646,3室2厅1厨2卫,高楼层 (共6层),96.2㎡,复式,暂无数据,板塔结合,南 北,2008,简装,框架结构,集中供暖,一梯两户,无,商品房,2020-10-29,普通住宅,暂无数据,非共有,"123.59952302103,41.923281006459",沈北新区,蒲河新城,沈阳
远洋广场,2021.05.28 成交,95.0,18014.0,95.5,64,4,31,14,3084,1室1厅1厨1卫,高楼层 (共30层),52.35㎡,平层,36.12㎡,塔楼,东南,2012,精装,钢混结构,集中供暖,三梯十四户,有,商品房,2021-03-26,普通住宅,暂无数据,非共有,"121.588253,38.997396",甘井子,华南,大连
双兴小区,2021.02.28 成交,104.0,10197.0,107.0,743,10,3,2,979,2室1厅1厨1卫,中楼层 (共7层),102㎡,暂无数据,暂无数据,板塔结合,南 北,2006,简装,钢混结构,暂无数据,一梯两户,无,商品房,2019-02-17,普通住宅,暂无数据,非共有,"126.63189275559,45.725369854894",南岗,师大附小沙曼小区,哈尔滨
21世纪社区新楼中楼,2021.05.22 成交,112.0,16620.0,113.0,8,3,11,5,1134,3室2厅1厨2卫,中楼层 (共4层),67.39㎡,复式,暂无数据,板楼,南,2004,精装,混合结构,自供暖,一梯两户,无,商品房,2021-05-15,普通住宅,暂无数据,非共有,"113.701933,34.82384",金水,汽配大世界,郑州
荣御府,2021.04.07 成交,136.0,13641.0,135.0,139,1,10,5,1966,2室2厅1厨2卫,中楼层 (共28层),99.34㎡,平层,暂无数据,板楼,南,2010,简装,钢混结构,集中供暖,两梯四户,有,商品房,2020-11-20,普通住宅,满两年,非共有,"114.620193,38.031709",开发区,天山海世界,石家庄
林苑花园,2021.02.19 成交,85.0,5925.0,88.0,720,7,8,7,1524,3室2厅1厨1卫,高楼层 (共6层),143.47㎡,平层,暂无数据,塔楼,南 北,2002,简装,混合结构,暂无数据,一梯两户,无,商品房,2019-03-03,普通住宅,暂无数据,非共有,"125.277489,43.914425",绿园区,西安广场,长春
琥珀巷高层小区,2021.06.06 成交,159.0,28267.0,163.0,595,5,39,37,6889,2室1厅1厨1卫,中楼层 (共24层),56.25㎡,平层,暂无数据,塔楼,东,1998,简装,钢混结构,暂无数据,两梯十户,有,商品房,2019-10-21,普通住宅,暂无数据,非共有,"118.80631247088,32.034265914836",秦淮,建康路,南京
春江新城新河苑二期,2022.01.09 成交,191.0,23332.0,193.0,109,1,17,46,5315,3室1厅1厨1卫,低楼层 (共18层),81.65㎡,平层,暂无数据,板楼,南,2008,简装,钢混结构,暂无数据,两梯四户,有,房改房,2021-09-23,普通住宅,满两年,共有,"118.751449,31.963401",雨花台,铁心桥,南京
白鹭花园凤栖苑,2021.08.28 成交,286.0,36029.0,283.0,44,0,11,8,855,3室2厅1厨1卫,中楼层 (共7层),79.27㎡,平层,暂无数据,板塔结合,南 北,1998,简装,混合结构,暂无数据,一梯两户,无,房改房,2021-07-15,普通住宅,暂无数据,非共有,"118.751063,32.03496",建邺,湖西街,南京
保利花园,2021.11.14 成交,219.0,16581.0,232.0,27,2,22,13,1101,3室2厅1厨2卫,中楼层 (共34层),132.08㎡,平层,103.08㎡,板楼,南 北,2016,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-10-19,普通住宅,暂无数据,非共有,"114.54365931313,38.081152972903",长安,丰收路,石家庄
博雅盛世D区,2021.11.23 成交,147.0,11049.0,139.0,68,1,6,0,60,3室2厅1厨2卫,高楼层 (共34层),132.87㎡,平层,暂无数据,板楼,南 北,2016,毛坯,钢混结构,集中供暖,两梯四户,有,商品房,2021-09-17,普通住宅,暂无数据,非共有,"114.589579,38.087421",长安,十里铺,石家庄
黄河路120号院,2021.09.25 成交,98.0,13215.0,98.0,3,1,1,1,217,3室1厅1厨1卫,中楼层 (共6层),74.16㎡,平层,67.9㎡,板楼,南,1990,其他,砖混结构,自供暖,一梯两户,无,商品房,2021-09-23,普通住宅,满五年,非共有,"113.704721,34.781355",金水区,财富广场,郑州
海信淮安郡,2021.05.16 成交,284.0,31361.0,289.0,31,0,19,33,3201,3室2厅1厨1卫,中楼层 (共17层),90.56㎡,平层,67.64㎡,板楼,南,2013,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-04-16,普通住宅,满两年,非共有,"120.389544,36.116549",市北,新都心,青岛
深蓝公寓,2021.12.07 成交,114.0,11913.0,114.0,267,5,11,22,2357,2室2厅1厨2卫,高楼层 (共25层),95.7㎡,复式,73.9㎡,塔楼,南 北,2013,其他,钢混结构,集中供暖,三梯二十五户,有,商品房,2021-03-16,商住两用,满两年,非共有,"120.45306423347,36.116254907058",崂山,国信体育场,青岛
五叙街,2021.02.28 成交,26.0,7565.0,27.8,164,8,17,2,1450,1室1厅1厨1卫,中楼层 (共7层),34.37㎡,平层,暂无数据,板楼,南 北,1990,简装,钢混结构,暂无数据,一梯三户,无,商品房,2020-09-18,普通住宅,暂无数据,非共有,"126.686769,45.739779",香坊,菜艺商圈,哈尔滨
新华二厂家属院,2022.01.19 成交,51.0,6991.0,52.9,449,12,50,119,16146,3室1厅1厨1卫,高楼层 (共5层),72.24㎡,平层,66.34㎡,板楼,南,1988,简装,砖混结构,集中供暖,一梯两户,无,商品房,2020-10-28,普通住宅,满五年,共有,"113.68168457007,34.760605737941",金水区,人民路,郑州
通和盛世西院,2021.12.19 成交,103.0,9754.0,105.0,38,6,36,4,1483,3室1厅1厨1卫,高楼层 (共18层),105.09㎡,平层,85.51㎡,板塔结合,南,2013,其他,钢混结构,集中供暖,两梯四户,有,经济适用房,2021-11-12,普通住宅,满两年,非共有,"113.616206,34.799978",高新区,五龙口,郑州
锁石苑,2021.10.03 成交,212.0,18008.0,218.0,466,4,12,6,3409,3室1厅1厨1卫,高楼层 (共34层),117.73㎡,平层,暂无数据,板楼,南 北,未知,其他,钢混结构,暂无数据,两梯八户,有,动迁安置房,2020-06-24,普通住宅,暂无数据,非共有,"118.9333418864,32.048273911661",江宁,麒麟镇,南京
襄阳道,2021.09.06 成交,418.0,81450.0,422.0,172,10,45,15,2874,1室1厅1厨1卫,低楼层 (共6层),51.32㎡,平层,暂无数据,板楼,南 北,未知,简装,钢混结构,集中供暖,一梯六户,无,商品房,2021-03-19,普通住宅,满五年,非共有,"117.204616,39.12062",和平,体育馆街,天津
梅花山庄丽景苑,2021.03.01 成交,345.0,41657.0,358.0,11,0,6,7,1421,3室1厅1厨1卫,中楼层 (共7层),82.82㎡,平层,暂无数据,板楼,南,2000,精装,混合结构,暂无数据,一梯两户,无,商品房,2021-02-19,普通住宅,暂无数据,非共有,"118.839277,32.039062",秦淮,月牙湖,南京
香榭湾,2021.05.20 成交,72.0,7605.0,73.0,230,2,6,6,2123,2室2厅1厨1卫,中楼层 (共6层),93.63㎡,平层,81.67㎡,板塔结合,南,2017,毛坯,砖混结构,暂无数据,一梯两户,暂无数据,商品房,2020-10-02,普通住宅,暂无数据,非共有,"121.071848,30.165866",余姚市,余姚周边,宁波
冀兴花园,2022.03.07 成交,65.0,13511.0,69.0,77,1,6,14,1384,1室1厅1厨1卫,高楼层 (共6层),47.74㎡,平层,暂无数据,板楼,南,2001,简装,砖混结构,集中供暖,一梯三户,无,商品房,2021-12-20,普通住宅,满五年,非共有,"114.51083056144,38.068855094459",长安,胜北,石家庄
虎啸花园,2021.04.18 成交,630.0,54489.0,650.0,7,0,6,5,532,3室2厅1厨1卫,中楼层 (共7层),115.62㎡,暂无数据,暂无数据,板塔结合,南,2000,简装,钢混结构,暂无数据,一梯两户,无,商品房,2021-04-11,普通住宅,满五年,共有,"118.77456007715,32.075606128342",鼓楼,湖南路,南京
富贵花园,2021.03.17 成交,86.0,6148.0,88.0,59,2,3,0,1239,3室2厅1厨2卫,中楼层 (共5层),139.56㎡,平层,暂无数据,暂无数据,南 北,2005,精装,砖混结构,暂无数据,一梯两户,无,商品房,2021-01-17,普通住宅,暂无数据,共有,"115.23077401411,37.942720543012",辛集市,辛集市,石家庄
奥园会展广场,2021.01.11 成交,96.0,8102.0,98.0,394,3,36,7,1834,3室2厅1厨2卫,中楼层 (共33层),118㎡,平层,暂无数据,板楼,南 北,2014,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2019-12-15,普通住宅,暂无数据,非共有,"123.38288510148,41.680143412748",苏家屯,会展中心,沈阳
慧缘馨村,2022.02.26 成交,93.0,10506.0,98.0,277,8,37,19,1723,2室2厅1厨1卫,中楼层 (共6层),88.05㎡,平层,暂无数据,板塔结合,南 北,2007,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-05-26,普通住宅,满五年,非共有,"123.496869,41.750217",浑南,长青,沈阳
格林生活坊一期,2021.06.26 成交,127.0,23284.0,130.0,8,0,4,0,471,1室1厅1厨1卫,中楼层 (共25层),54.46㎡,平层,暂无数据,板塔结合,南,2009,精装,钢混结构,集中供暖,一梯四户,有,商品房,2021-06-19,普通住宅,满五年,非共有,"123.40119,41.75195",和平,长白,沈阳
乌江里,2021.10.17 成交,91.0,15511.0,92.0,192,7,10,5,1066,2室1厅1厨1卫,高楼层 (共6层),58.67㎡,平层,暂无数据,板塔结合,南 北,未知,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-04-09,普通住宅,满五年,非共有,"117.255196,39.174065",河北,靖江路,天津
正弘数码公寓,2021.07.13 成交,96.0,24150.0,96.5,66,2,52,16,2199,1室1厅1厨1卫,高楼层 (共32层),39.67㎡,平层,30.71㎡,塔楼,南,2010,其他,钢混结构,集中供暖,三梯十六户,有,商品房,2021-05-08,普通住宅,暂无数据,共有,"113.677974,34.800715",金水,文博广场,郑州
风尚水郡南区,2021.05.19 成交,134.0,13869.0,139.0,79,5,50,3,2667,2室2厅1厨1卫,中楼层 (共27层),96.62㎡,平层,暂无数据,板楼,南,2013,简装,钢混结构,集中供暖,两梯三户,有,商品房,2021-03-01,普通住宅,满五年,非共有,"114.557158,37.995867",裕华,众美,石家庄
宜宁里,2021.04.28 成交,47.0,6643.0,49.0,82,1,27,8,1713,2室1厅1厨1卫,低楼层 (共7层),70㎡,平层,暂无数据,板楼,南 北,1992,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-02-05,普通住宅,满五年,非共有,"121.862154,39.064604",开发区,金湾新城,大连
新城香溢紫郡雅苑,2021.06.20 成交,202.0,25941.0,205.0,26,0,2,0,254,3室2厅1厨1卫,中楼层 (共6层),77.87㎡,暂无数据,暂无数据,板塔结合,南,2015,其他,钢混结构,暂无数据,一梯两户,有,商品房,2021-05-26,酒店式公寓,暂无数据,非共有,"118.70460152651,32.186164700143",浦口,高新区,南京
阳光馥园,2021.04.27 成交,205.0,15438.0,205.0,7,1,9,1,521,3室1厅1厨1卫,中楼层 (共6层),132.79㎡,平层,暂无数据,板楼,南,2005,其他,混合结构,暂无数据,一梯两户,无,商品房,2021-04-20,普通住宅,暂无数据,非共有,"113.580231,34.801583",高新,梧桐,郑州
红旗示范新区,2021.12.29 成交,82.0,6560.0,88.0,252,1,2,0,735,3室2厅1厨1卫,高楼层 (共7层),125㎡,平层,暂无数据,板楼,东 西,2001,其他,钢混结构,暂无数据,一梯两户,无,商品房,2021-04-22,普通住宅,暂无数据,共有,"126.70507584369,45.767269466694",南岗,南岗会展商圈,哈尔滨
珠海里,2021.11.27 成交,170.0,28230.0,173.0,44,2,16,29,2518,2室1厅1厨1卫,高楼层 (共7层),60.22㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,一梯三户,无,商品房,2021-10-14,普通住宅,满五年,非共有,"117.218288,39.105458",河西,越秀路,天津
高民里,2022.03.02 成交,59.0,6407.0,60.0,102,1,1,0,337,3室2厅1厨1卫,高楼层 (共6层),91㎡,平层,暂无数据,板楼,南 北,2005,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-11-21,普通住宅,满两年,非共有,"121.8324939253,39.068704154689",开发区,高城山,大连
恒威君尚城,2021.03.13 成交,248.0,28182.0,251.0,11,3,4,0,190,3室2厅1厨1卫,中楼层 (共26层),88㎡,平层,暂无数据,平房,南 北,2017,其他,钢混结构,暂无数据,两梯四户,有,商品房,2021-03-02,普通住宅,暂无数据,共有,"121.4699,29.895312",海曙区,高桥,宁波
清河湾,2021.06.16 成交,112.0,11743.0,115.0,75,1,57,60,5317,2室2厅1厨1卫,高楼层 (共34层),95.38㎡,平层,暂无数据,板楼,南 北,2013,精装,钢混结构,集中供暖,一梯三户,暂无数据,商品房,2021-04-02,普通住宅,暂无数据,非共有,"123.46027622495,41.734583638354",浑南,奥体,沈阳
