小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
格林小镇,2021.02.24 成交,87.0,8776.0,87.5,247,5,15,13,2762,2室1厅1厨1卫,低楼层 (共7层),98.57㎡,平层,暂无数据,板楼,南 北,2003,精装,钢混结构,集中供暖,一梯两户,无,商品房,2020-06-23,普通住宅,满五年,非共有,"121.82213087549,39.052375898336",开发区,东山,大连
郑报润园二期,2022.03.06 成交,137.0,9351.0,133.0,90,1,4,11,1963,4室2厅1厨2卫,中楼层 (共13层),146.52㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,集中供暖,两梯两户,有,商品房,2021-12-06,普通住宅,暂无数据,非共有,"113.85497242903,34.583203853528",航空港区,航空港商圈,郑州
碧水莲晴,2021.07.07 成交,227.0,21301.0,235.0,32,8,11,3,1157,3室2厅1厨1卫,中楼层 (共11层),106.57㎡,平层,89.84㎡,板塔结合,南,未知,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-06-06,普通住宅,满五年,非共有,"121.594969,29.993317",镇海区,骆驼,宁波
金海京江花园,2021.05.23 成交,41.0,10500.0,41.0,80,4,1,6,987,1室0厅1厨1卫,中楼层 (共18层),38.24㎡,平层,27.75㎡,板塔结合,北,2010,简装,钢混结构,集中供暖,两梯十四户,有,商品房,2021-03-05,普通住宅,满五年,非共有,"113.66762953167,34.717390226994",二七,万客来,郑州
华大城二期,2021.04.09 成交,56.0,8461.0,58.0,5,0,1,0,137,2室1厅1厨1卫,高楼层 (共8层),65.36㎡,平层,暂无数据,板楼,南,2015,其他,钢混结构,暂无数据,一梯四户,无,商品房,2021-04-04,普通住宅,暂无数据,非共有,"125.338881,43.965072",宽城区,小南,长春
美好愿景,2021.04.07 成交,60.0,9185.0,63.0,237,5,18,15,2455,1室1厅1厨1卫,中楼层 (共27层),65㎡,平层,暂无数据,板楼,南,2013,精装,钢混结构,集中供暖,一梯四户,有,商品房,2020-08-14,普通住宅,暂无数据,非共有,"123.34279415105,41.821050087474",铁西,重工街,沈阳
南熙园,2021.03.02 成交,210.0,21819.0,215.0,129,6,3,2,1214,2室2厅1厨1卫,中楼层 (共9层),96.25㎡,平层,82.94㎡,板楼,南 北,2014,精装,钢混结构,暂无数据,一梯两户,暂无数据,商品房,2020-10-25,普通住宅,满五年,非共有,"121.60000790166,29.734942573804",鄞州区,横溪,宁波
金湾山城,2021.03.07 成交,60.0,8608.0,61.0,488,6,16,5,2568,2室2厅1厨1卫,高楼层 (共18层),69.71㎡,平层,暂无数据,板楼,南,2016,简装,钢混结构,集中供暖,一梯三户,有,商品房,2019-11-05,普通住宅,满两年,非共有,"121.859729,39.087154",开发区,金湾新城,大连
平阳里,2021.11.02 成交,48.0,6074.0,48.0,731,17,5,3,2632,2室1厅1厨1卫,高楼层 (共4层),78.21㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2019-11-03,普通住宅,满五年,非共有,"117.83067165926,39.251922735545",滨海新区,汉沽,天津
复华小区北区,2021.03.28 成交,60.0,11539.0,60.0,104,0,3,1,749,2室0厅1厨1卫,低楼层 (共6层),52㎡,暂无数据,暂无数据,板楼,南 北,未知,其他,钢混结构,暂无数据,一梯三户,暂无数据,商品房,2020-12-15,普通住宅,暂无数据,非共有,"126.64109865472,45.751380989376",南岗,复华校国展工大附中,哈尔滨
惠众家园,2022.01.18 成交,128.0,21207.0,129.0,42,6,35,12,1267,1室1厅1厨1卫,中楼层 (共18层),60.36㎡,平层,暂无数据,板塔结合,西南,未知,简装,钢混结构,集中供暖,两梯六户,有,商品房,2021-12-08,普通住宅,暂无数据,非共有,"117.274,39.052601",河西,新梅江,天津
校南第四安全小区,2021.09.01 成交,76.0,9500.0,80.0,32,2,2,1,1040,3室1厅1厨1卫,高楼层 (共4层),80㎡,平层,暂无数据,板楼,南 北,未知,精装,砖混结构,集中供暖,一梯两户,暂无数据,商品房,2021-08-01,普通住宅,暂无数据,非共有,"114.863218,38.037824",藁城,藁城市,石家庄
源江小区,2022.01.21 成交,120.0,11662.0,120.0,371,3,35,35,5924,3室2厅1厨1卫,中楼层 (共6层),102.56㎡,平层,12.92㎡,板楼,南 北,2004,简装,砖混结构,集中供暖,一梯两户,无,商品房,2021-01-16,普通住宅,满五年,非共有,"120.198097,35.980889",黄岛,保税区,青岛
中原新城公园,2021.03.19 成交,132.0,15251.0,135.0,33,0,7,12,1223,2室2厅1厨1卫,中楼层 (共33层),86.16㎡,平层,69.92㎡,板塔结合,南,2012,精装,钢混结构,集中供暖,两梯六户,有,商品房,2021-02-14,普通住宅,满五年,非共有,"113.617844,34.739222",中原,儿童公园,郑州
第五郡一号地,2021.02.28 成交,270.0,20156.0,279.0,85,0,23,28,3446,3室2厅1厨1卫,中楼层 (共13层),133.86㎡,平层,101.93㎡,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-12-06,普通住宅,满五年,非共有,"121.528348,38.959586",甘井子,第五郡,大连
鸿信清新家园,2022.03.05 成交,260.0,28854.0,263.0,436,2,13,51,7092,2室2厅1厨1卫,高楼层 (共6层),90.11㎡,错层,暂无数据,板楼,南 北,2005,精装,钢混结构,暂无数据,一梯两户,无,商品房,2020-12-24,普通住宅,满五年,共有,"118.866992,32.026333",秦淮,卫岗,南京
文体街,2021.03.08 成交,58.0,12514.0,57.5,98,7,20,2,1765,1室1厅1厨1卫,高楼层 (共6层),45.95㎡,平层,暂无数据,塔楼,南 北,1995,简装,混合结构,集中供暖,一梯两户,无,商品房,2020-12-01,普通住宅,满五年,非共有,"121.634564,38.981526",甘井子,甘井子,大连
远洋时代城一期,2021.03.21 成交,76.0,8636.0,79.5,324,2,30,23,3814,2室2厅1厨1卫,高楼层 (共22层),88.01㎡,平层,暂无数据,板楼,南 北,2012,简装,钢混结构,集中供暖,两梯三户,有,商品房,2020-05-02,普通住宅,暂无数据,非共有,"121.831235,39.098607",开发区,高城山,大连
凤凰街84号,2021.02.06 成交,226.0,47781.0,229.0,31,2,6,4,1290,2室1厅1厨1卫,低楼层 (共6层),47.3㎡,平层,暂无数据,板楼,南,1984,精装,砖混结构,暂无数据,一梯三户,无,商品房,2021-01-07,普通住宅,暂无数据,非共有,"118.767694,32.049291",鼓楼,汉中门大街,南京
钻石城,2021.02.24 成交,94.0,7256.0,95.0,130,5,9,5,1561,3室2厅1厨1卫,高楼层 (共6层),129㎡,平层,暂无数据,塔楼,南 北,2004,其他,砖混结构,暂无数据,一梯两户,无,商品房,2020-10-18,普通住宅,暂无数据,非共有,"125.39476,43.88269",二道区,万通,长春
丹凤街,2021.02.04 成交,288.0,45469.0,288.0,97,1,1,1,1495,2室1厅1厨1卫,中楼层 (共7层),63.34㎡,暂无数据,暂无数据,板楼,西 东,1995,其他,钢混结构,暂无数据,一梯两户,无,商品房,2020-10-30,普通住宅,暂无数据,共有,"118.793789,32.063275",玄武,丹凤街,南京
虹港新居,2021.04.09 成交,104.0,16092.0,105.0,33,0,11,8,1605,2室1厅1厨1卫,高楼层 (共6层),64.63㎡,平层,暂无数据,板楼,南,2002,精装,混合结构,集中供暖,一梯三户,无,商品房,2021-03-07,普通住宅,满五年,非共有,"121.540202,38.964411",甘井子,第五郡,大连
裕发润景,2021.05.03 成交,45.0,5488.0,45.0,189,2,1,5,1667,2室1厅1厨1卫,高楼层 (共7层),82㎡,平层,暂无数据,板楼,南 北 东,2011,精装,钢混结构,暂无数据,一梯三户,无,商品房,2020-10-27,普通住宅,暂无数据,共有,"126.55028,45.87003",松北,哈尔滨新区,哈尔滨
中海寰宇天下E区,2021.08.20 成交,99.0,8220.0,105.0,1,1,0,0,35,3室1厅1厨2卫,中楼层 (共7层),120.45㎡,平层,暂无数据,板楼,南 北,未知,毛坯,钢混结构,暂无数据,一梯两户,有,商品房,2021-08-20,普通住宅,暂无数据,非共有,"125.40309486133,43.958462184662",经开北区,二道区周边,长春
首创光和城,2022.03.09 成交,115.0,11055.0,111.5,380,8,46,20,3859,3室2厅1厨2卫,低楼层 (共34层),104.03㎡,平层,暂无数据,板楼,南 北,2020,毛坯,钢混结构,集中供暖,一梯两户,有,商品房,2021-02-23,普通住宅,暂无数据,共有,"123.470628,41.704588",浑南,新市府,沈阳
锁金一村,2021.01.21 成交,168.0,27604.0,176.0,487,6,7,7,2394,2室1厅1厨1卫,高楼层 (共7层),60.68㎡,暂无数据,暂无数据,板塔结合,东 西,1984,简装,钢混结构,暂无数据,一梯四户,无,商品房,2019-09-23,普通住宅,暂无数据,非共有,"118.82139460236,32.077609983572",玄武,锁金村,南京
常青街,2021.06.08 成交,47.0,12811.0,49.0,76,2,21,24,3129,1室0厅1厨1卫,中楼层 (共8层),36.69㎡,平层,暂无数据,板楼,西南,1995,精装,砖混结构,集中供暖,一梯四户,无,商品房,2021-03-24,普通住宅,满五年,非共有,"121.65116,38.932702",中山,民主广场,大连
鼎明华庭,2021.12.13 成交,163.0,13772.0,165.0,757,10,147,86,9916,3室2厅1厨2卫,中楼层 (共26层),118㎡,平层,87.3㎡,板楼,南 北,2016,毛坯,钢混结构,集中供暖,一梯四户,有,商品房,2019-11-17,普通住宅,满两年,非共有,"114.442084,38.025361",桥西,玉村,石家庄
兴工街,2021.12.03 成交,75.0,15021.0,76.0,67,1,10,12,978,2室1厅1厨1卫,中楼层 (共4层),49.6㎡,平层,暂无数据,板楼,南,1983,简装,钢混结构,集中供暖,一梯两户,无,商品房,2021-09-28,普通住宅,暂无数据,非共有,"121.593303,38.92657",沙河口,西安路,大连
第五郡一号地,2022.02.12 成交,288.0,21516.0,295.0,332,3,135,109,15353,3室2厅1厨1卫,高楼层 (共13层),133.86㎡,平层,101.93㎡,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-03-17,普通住宅,满五年,非共有,"121.528348,38.959586",甘井子,第五郡,大连
润达国际,2021.02.10 成交,47.0,11750.0,58.0,308,1,2,0,1048,1室1厅1厨1卫,中楼层 (共31层),40㎡,平层,暂无数据,塔楼,西,2013,简装,钢混结构,暂无数据,两梯十户,有,商品房,2020-04-09,普通住宅,暂无数据,共有,"126.682695,45.78951",道外,船舶军工,哈尔滨
