小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
令闻社区A区,2021.03.21 成交,52.0,6191.0,53.0,213,0,3,11,2689,2室2厅1厨1卫,高楼层 (共8层),84㎡,平层,暂无数据,板楼,南 北,1997,简装,混合结构,集中供暖,一梯两户,无,商品房,2020-08-20,普通住宅,暂无数据,非共有,"123.45655269852,41.815240640712",沈河,市府,沈阳
仟禧-金泉国际,2022.03.12 成交,173.0,10692.0,185.0,118,3,6,14,2576,3室2厅1厨2卫,中楼层 (共18层),161.81㎡,平层,暂无数据,板楼,南 北,2006,精装,混合结构,集中供暖,两梯两户,有,商品房,2021-11-15,普通住宅,暂无数据,非共有,"113.627589,34.728501",中原区,电力新村,郑州
花半里东区,2021.07.02 成交,60.0,11948.0,60.5,31,1,7,26,1414,1室1厅1厨1卫,高楼层 (共12层),50.22㎡,平层,37.8㎡,塔楼,南,2009,简装,钢混结构,自供暖,三梯三十户,有,商品房,2021-06-01,普通住宅,满五年,非共有,"113.68905575275,34.836352548467",金水,新北站,郑州
招商方山里,2021.09.10 成交,208.0,30185.0,210.0,108,2,17,20,2647,2室1厅1厨1卫,中楼层 (共11层),68.91㎡,平层,暂无数据,板楼,南 北,2015,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-05-26,普通住宅,满两年,非共有,"118.90381010744,31.886007588784",江宁,江宁大学城,南京
紫苑小区,2021.03.20 成交,64.0,9889.0,65.0,7,0,10,8,1947,2室1厅1厨1卫,高楼层 (共6层),64.72㎡,平层,暂无数据,暂无数据,东南,2002,简装,混合结构,暂无数据,一梯两户,有,商品房,2021-03-13,普通住宅,暂无数据,非共有,"113.681256,34.738518",管城回族区,二里岗,郑州
34中一二九街,2021.04.25 成交,170.0,29135.0,174.0,1,0,1,0,166,2室1厅1厨1卫,中楼层 (共6层),58.35㎡,平层,暂无数据,板楼,西 东,1993,其他,砖混结构,集中供暖,一梯三户,无,商品房,2021-04-25,普通住宅,暂无数据,非共有,"121.632081,38.916089",西岗,唐山街,大连
锦绣燕居沙河口区一期,2021.05.10 成交,190.0,22035.0,195.0,7,1,1,5,685,2室2厅1厨1卫,高楼层 (共8层),86㎡,平层,暂无数据,板楼,南 北,2012,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-05-04,普通住宅,满五年,非共有,"121.556847,38.951018",沙河口,锦华,大连
發电宿舍,2021.03.12 成交,52.0,15854.0,60.0,1,0,1,0,107,1室1厅1厨1卫,高楼层 (共4层),32.8㎡,暂无数据,暂无数据,暂无数据,南,1979,其他,混合结构,暂无数据,一梯一户,暂无数据,商品房,2021-03-12,普通住宅,暂无数据,非共有,"125.39459588408,43.898965329212",二道区,亚泰,长春
青鸟中山华府,2021.06.18 成交,75.0,14715.0,81.0,364,5,42,39,6120,1室1厅1厨1卫,低楼层 (共23层),50.97㎡,平层,39.26㎡,板楼,东北,2012,简装,钢混结构,集中供暖,两梯五户,有,商品房,2020-06-20,普通住宅,满两年,非共有,"114.502172,38.045949",桥西,大经,石家庄
升龙国际中心C区,2021.03.31 成交,121.0,14983.0,125.0,210,3,16,4,1330,2室2厅1厨1卫,中楼层 (共21层),80.76㎡,平层,61.34㎡,塔楼,南,2011,简装,钢混结构,集中供暖,两梯五户,有,商品房,2020-09-02,普通住宅,满五年,非共有,"113.652103,34.732145",二七,古玩城,郑州
鲁信长春花园,2021.09.12 成交,440.0,28815.0,448.0,740,8,30,382,29593,3室2厅1厨2卫,低楼层 (共23层),152.7㎡,平层,116.68㎡,板楼,南,2008,精装,钢混结构,自供暖,两梯三户,有,商品房,2019-09-04,普通住宅,暂无数据,共有,"120.44190352221,36.107036714009",崂山,国信体育场,青岛
秀林水苑,2021.05.06 成交,120.0,9937.0,125.0,378,4,3,0,1864,3室2厅1厨2卫,高楼层 (共5层),120.77㎡,复式,暂无数据,板楼,南 北,未知,其他,钢混结构,暂无数据,一梯两户,无,商品房,2020-04-23,普通住宅,暂无数据,共有,"118.861313,32.356341",六合,六合主城,南京
未来风景里,2022.01.01 成交,191.0,15404.0,205.0,142,8,2,2,402,4室2厅1厨2卫,高楼层 (共10层),124㎡,平层,103.06㎡,暂无数据,南,2021,毛坯,框架结构,暂无数据,两梯一户,有,商品房,2021-08-12,普通住宅,暂无数据,非共有,"121.443959,29.731087",奉化区,奉化区,宁波
保利达江湾城,2022.02.28 成交,150.0,13665.0,156.7,41,6,10,12,854,3室2厅1厨1卫,高楼层 (共32层),109.77㎡,平层,暂无数据,板楼,南 北,2015,精装,钢混结构,集中供暖,两梯三户,有,商品房,2022-01-19,普通住宅,满五年,共有,"123.464351,41.753509",浑南,奥体,沈阳
