小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
融创维多利亚湾,2021.11.19 成交,47.0,7191.0,50.0,100,6,19,11,1552,1室1厅1厨1卫,中楼层 (共33层),65.36㎡,平层,暂无数据,板楼,南,2016,精装,钢混结构,集中供暖,十五梯五户,有,商品房,2021-08-12,普通住宅,满两年,非共有,"120.26411207402,36.023595718242",黄岛,黄岛港,青岛
教师家园,2022.03.11 成交,44.0,5909.0,44.5,273,8,4,5,1281,2室2厅1厨1卫,高楼层 (共6层),73.62㎡,平层,暂无数据,板楼,南,2001,其他,砖混结构,集中供暖,一梯三户,无,商品房,2021-06-11,普通住宅,暂无数据,非共有,"123.52407792339,41.811407273087",沈河,新立堡,沈阳
英商家园,2022.02.15 成交,213.0,13753.0,225.0,111,5,22,24,3012,3室2厅1厨2卫,中楼层 (共20层),154.88㎡,平层,暂无数据,板楼,南,2009,精装,钢混结构,集中供暖,六梯三户,有,商品房,2021-10-27,普通住宅,满五年,非共有,"114.460324,38.074912",新华,北苑,石家庄
银河湾紫苑,2021.01.29 成交,247.0,21386.0,252.0,97,7,17,7,1520,3室2厅1厨1卫,高楼层 (共18层),115.5㎡,平层,暂无数据,板楼,南 西南,2009,精装,钢混结构,暂无数据,两梯三户,有,商品房,2020-10-25,普通住宅,暂无数据,非共有,"118.92678424756,32.052777408878",江宁,麒麟镇,南京
亿达普罗旺斯,2021.06.11 成交,313.0,22133.0,320.0,609,3,7,105,13256,3室1厅1厨1卫,低楼层 (共30层),141.42㎡,平层,暂无数据,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯四户,有,商品房,2019-10-11,普通住宅,满两年,非共有,"121.484262,38.852168",高新园区,普罗旺斯,大连
翡翠城,2021.11.05 成交,175.0,17353.0,185.0,84,6,12,22,1705,2室2厅1厨1卫,低楼层 (共6层),100.85㎡,错层,暂无数据,板楼,南 北,未知,其他,混合结构,集中供暖,一梯两户,无,商品房,2021-08-13,普通住宅,满五年,非共有,"117.115167,39.209233",北辰,瑞景居住区,天津
天薇丽景园,2021.04.12 成交,56.0,9737.0,56.0,38,1,2,1,492,1室1厅1厨1卫,高楼层 (共7层),57㎡,平层,暂无数据,板楼,南,2010,其他,钢混结构,暂无数据,一梯三户,无,商品房,2021-03-05,普通住宅,暂无数据,共有,"126.569041,45.723756",道里,工农大街,哈尔滨
书香丽景,2021.01.31 成交,221.0,25454.0,225.0,129,8,18,13,1553,3室1厅1厨1卫,中楼层 (共10层),86.63㎡,平层,70.12㎡,板塔结合,南 北,2013,简装,钢混结构,暂无数据,一梯两户,有,商品房,2020-09-25,普通住宅,满五年,非共有,"121.623878,29.944276",镇海区,庄市,宁波
三潭东里,2021.11.15 成交,49.0,18924.0,48.5,106,6,21,32,3035,1室1厅1厨1卫,高楼层 (共7层),25.63㎡,平层,暂无数据,板楼,南,未知,简装,混合结构,集中供暖,一梯六户,无,商品房,2021-08-01,普通住宅,满五年,非共有,"117.160563,39.124051",南开,万兴街,天津
泉水人家幸福里,2021.04.04 成交,162.0,13342.0,165.0,113,3,22,24,5956,3室2厅1厨1卫,中楼层 (共22层),121.05㎡,平层,94.24㎡,板楼,南 北,2009,简装,钢混结构,集中供暖,两梯六户,有,商品房,2020-12-13,普通住宅,满五年,非共有,"121.61826,39.004694",甘井子,泉水美域盛景,大连
华通唐岛七星,2021.01.03 成交,286.0,23543.0,290.0,25,2,19,15,1365,3室1厅1厨2卫,高楼层 (共28层),121.48㎡,平层,暂无数据,板塔结合,南 北,2013,简装,钢混结构,集中供暖,两梯两户,有,商品房,2020-12-09,普通住宅,暂无数据,非共有,"120.191741,35.949077",黄岛,石油大学,青岛
紫荆阳光地带,2021.09.26 成交,126.0,18240.0,126.0,1,0,1,0,3,2室1厅1厨1卫,低楼层 (共6层),69.08㎡,暂无数据,暂无数据,板楼,南,未知,简装,混合结构,集中供暖,一梯四户,暂无数据,商品房,2021-09-26,普通住宅,暂无数据,非共有,"113.69158652651,34.735420014789",管城回族区,二里岗,郑州
大禹城邦小区,2021.06.19 成交,180.0,15000.0,182.0,1,0,0,0,224,3室1厅1厨1卫,低楼层 (共5层),120㎡,平层,暂无数据,塔楼,南 北,2010,其他,钢混结构,暂无数据,一梯两户,无,商品房,2021-06-19,普通住宅,暂无数据,非共有,"125.30647800109,43.843256664751",朝阳区,南湖,长春
朗诗钟山绿郡,2021.09.24 成交,596.0,51705.0,600.0,52,2,14,11,1605,3室2厅1厨2卫,中楼层 (共6层),115.27㎡,平层,93.84㎡,板楼,南 北,2012,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-08-04,普通住宅,满五年,非共有,"118.910695,32.087068",栖霞,马群,南京
永安四季,2021.03.31 成交,43.0,8249.0,43.5,11,1,8,1,520,1室1厅1厨1卫,低楼层 (共18层),51.89㎡,平层,暂无数据,板楼,南,2010,简装,钢混结构,集中供暖,一梯三户,有,商品房,2021-03-20,普通住宅,满两年,共有,"121.7309717139,39.140367737684",金州,古城汇金,大连
清枫园,2021.10.17 成交,171.0,19071.0,175.0,64,7,11,20,1520,2室1厅1厨1卫,中楼层 (共6层),89.25㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-08-15,普通住宅,满五年,非共有,"117.089049,39.135638",西青,中北镇,天津
广厦南里西区,2022.01.05 成交,122.0,11091.0,124.0,127,10,38,17,2687,2室2厅1厨1卫,高楼层 (共6层),110㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-08-31,普通住宅,满五年,共有,"117.059227,39.37576",武清,杨村,天津
小平岛海角七号,2021.05.19 成交,190.0,26121.0,195.0,2,0,2,4,741,2室1厅1厨1卫,高楼层 (共34层),72.74㎡,平层,暂无数据,板楼,东南 北,2011,其他,钢混结构,集中供暖,三梯八户,有,商品房,2021-05-18,普通住宅,满五年,共有,"121.514683,38.842252",高新园区,小平岛,大连
石家庄碧桂园,2021.05.12 成交,98.0,7569.0,98.0,192,5,4,2,1733,3室2厅1厨2卫,中楼层 (共32层),129.48㎡,平层,99.45㎡,板楼,南 北,2017,其他,钢混结构,集中供暖,两梯三户,有,商品房,2020-11-01,普通住宅,暂无数据,共有,"114.47306397878,37.919129665588",元氏县,元氏县,石家庄
水岸花都,2022.03.07 成交,75.0,6819.0,78.0,184,4,4,4,889,3室2厅1厨2卫,中楼层 (共7层),110㎡,平层,暂无数据,板楼,南 北,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-09-04,普通住宅,暂无数据,共有,"114.71367045136,38.359484453755",新乐,新乐市,石家庄
苜中路1号,2022.03.07 成交,215.0,31164.0,220.0,189,3,9,11,1773,3室1厅1厨1卫,中楼层 (共6层),68.99㎡,平层,暂无数据,板楼,南,1983,精装,砖混结构,暂无数据,一梯两户,无,房改房,2021-08-31,普通住宅,满两年,非共有,"118.841562,32.040962",秦淮,月牙湖,南京
石峰街,2022.01.08 成交,44.0,12940.0,44.8,83,1,5,1,640,1室1厅1厨1卫,低楼层 (共7层),33.85㎡,平层,暂无数据,板楼,南,1995,精装,混合结构,集中供暖,一梯四户,无,商品房,2021-10-18,普通住宅,满两年,非共有,"121.63544798793,38.903685605979",西岗,石道街,大连
远洋风景,2021.04.17 成交,248.0,27422.0,249.0,1136,10,156,439,18352,2室2厅1厨1卫,高楼层 (共11层),90.44㎡,暂无数据,74.55㎡,板楼,南 北,2008,精装,钢混结构,集中供暖,两梯两户,有,商品房,2018-03-09,普通住宅,满五年,非共有,"121.61155,38.923146",西岗,北京公园,大连
胜利小区,2021.07.07 成交,65.0,7832.0,67.8,28,1,2,2,453,2室2厅1厨1卫,高楼层 (共6层),83㎡,平层,暂无数据,板楼,南 北,1995,精装,砖混结构,集中供暖,一梯两户,无,商品房,2021-06-09,普通住宅,暂无数据,共有,"121.72042631964,39.102438092601",金州,光明,大连
江星公寓北区,2021.03.16 成交,184.0,23065.0,184.0,8,0,5,1,480,2室2厅1厨1卫,中楼层 (共6层),79.5㎡,平层,暂无数据,板塔结合,南,2003,其他,钢混结构,暂无数据,一梯两户,无,商品房,2021-03-09,普通住宅,暂无数据,共有,"121.825691,29.896176",北仑区,大碶,宁波
富丽庭,2021.02.02 成交,198.0,22928.0,200.0,69,2,7,5,1479,2室2厅1厨1卫,中楼层 (共32层),86.36㎡,平层,暂无数据,塔楼,南,2010,精装,钢混结构,集中供暖,三梯九户,有,商品房,2020-11-25,普通住宅,暂无数据,非共有,"121.564301,38.882816",沙河口,黑石礁,大连
光洁里,2021.09.09 成交,364.0,103941.0,365.0,9,1,12,10,931,1室1厅1厨1卫,低楼层 (共5层),35.02㎡,平层,暂无数据,板楼,南 北,未知,毛坯,混合结构,集中供暖,一梯四户,无,商品房,2021-09-01,普通住宅,满五年,非共有,"117.203915,39.115259",和平,体育馆街,天津
山水嘉园,2021.05.25 成交,126.0,14132.0,127.0,173,12,58,60,7965,2室1厅1厨1卫,中楼层 (共11层),89.16㎡,平层,69.68㎡,板楼,南 北,2015,简装,钢混结构,集中供暖,一梯两户,有,商品房,2020-12-04,普通住宅,满两年,非共有,"120.436728,36.219219",城阳,十梅庵,青岛
星光之城,2021.03.13 成交,105.0,13950.0,108.0,243,8,6,5,2520,2室1厅1厨1卫,中楼层 (共17层),75.27㎡,平层,57.32㎡,板楼,南 北,2012,简装,钢混结构,集中供暖,两梯四户,有,商品房,2020-07-14,普通住宅,满五年,非共有,"120.425427,36.309045",城阳,家佳源,青岛
三寰融创城北园,2021.05.02 成交,113.0,14279.0,113.0,366,6,19,25,2367,2室1厅1厨1卫,低楼层 (共11层),78.79㎡,暂无数据,暂无数据,板楼,南 北,2015,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-05-02,普通住宅,满两年,非共有,"121.438353,38.970882",甘井子,生态新城,大连
