小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
休斯顿公寓,2021.07.31 成交,57.0,12095.0,57.0,93,7,18,10,1446,1室0厅1厨1卫,高楼层 (共31层),47.13㎡,平层,暂无数据,板塔结合,北,2004,简装,钢混结构,集中供暖,三梯十三户,有,商品房,2021-04-29,普通住宅,满两年,非共有,"121.649038,38.933251",中山,民主广场,大连
安苑小区B区,2021.07.06 成交,99.0,12254.0,103.0,372,26,60,11,4192,2室1厅1厨1卫,中楼层 (共10层),80.79㎡,平层,66.96㎡,板楼,南,2007,简装,钢混结构,集中供暖,两梯四户,有,商品房,2020-06-30,普通住宅,满两年,非共有,"114.572869,37.997361",裕华,众美,石家庄
秀山花园,2022.01.01 成交,139.0,18248.0,139.0,261,10,75,26,5405,2室1厅1厨1卫,高楼层 (共6层),75.9㎡,平层,暂无数据,板楼,南 北,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-04-16,普通住宅,暂无数据,非共有,"117.245676,39.156768",河北,江都路,天津
湖光新苑,2021.12.19 成交,84.0,11217.0,85.8,119,12,32,14,3252,2室1厅1厨1卫,低楼层 (共24层),74.89㎡,平层,59.57㎡,板塔结合,南 北,2010,简装,钢混结构,集中供暖,两梯六户,有,商品房,2021-08-23,普通住宅,满五年,非共有,"113.584757,34.754551",中原区,常西湖,郑州
天泰阳光地带,2021.07.19 成交,600.0,32465.0,635.0,19,1,10,12,747,5室3厅1厨2卫,低楼层 (共6层),184.82㎡,复式,168.93㎡,板楼,南 北,2001,精装,钢混结构,自供暖,一梯两户,无,商品房,2021-06-30,普通住宅,满两年,非共有,"120.37012314166,36.083104858754",市北,镇江路,青岛
星河花园,2022.03.19 成交,222.0,24113.0,225.0,3,1,7,0,24,2室1厅1厨1卫,低楼层 (共6层),91.86㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2022-03-17,普通住宅,满五年,非共有,"117.261771,39.146828",河东,向阳楼,天津
和达璟城翡翠,2021.04.14 成交,183.0,23467.0,186.0,3,0,2,3,492,3室2厅1厨1卫,高楼层 (共18层),77.77㎡,平层,暂无数据,板楼,南,2017,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-04-12,普通住宅,满两年,非共有,"120.482267,36.196061",李沧,东李,青岛
金地艺境,2021.03.27 成交,195.0,14632.0,198.0,667,2,17,53,4334,3室2厅1厨2卫,中楼层 (共7层),133.27㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,集中供暖,一梯两户,有,商品房,2019-05-30,普通住宅,暂无数据,非共有,"121.665027,39.042918",甘井子,前关,大连
如意家园(胶州),2021.07.02 成交,77.0,9563.0,76.5,18,2,2,0,217,2室1厅1厨1卫,中楼层 (共5层),80㎡,平层,暂无数据,暂无数据,南 北,未知,精装,未知结构,暂无数据,一梯两户,无,商品房,2021-06-15,普通住宅,暂无数据,非共有,"119.98656453143,36.297380354494",胶州,胶州,青岛
河鼓街,2021.05.18 成交,22.0,5366.0,27.0,282,1,2,3,1776,1室1厅1厨1卫,中楼层 (共8层),41㎡,平层,暂无数据,板楼,南,1987,精装,钢混结构,暂无数据,一梯三户,无,商品房,2020-08-10,普通住宅,暂无数据,共有,"126.597643,45.762142",道里,公路大桥,哈尔滨
