小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
新河一村,2021.06.15 成交,,,485.0,67,1,42,1,4053,2室1厅1厨1卫,中楼层 (共5层),46.3㎡,平层,暂无数据,板楼,南 北,1989,其他,混合结构,暂无数据,一梯两户,无,房改房,2021-04-09,普通住宅,暂无数据,非共有,"118.74259643505,32.074555231079",鼓楼,定淮门大街,南京
古城丙区,2022.02.27 成交,36.0,8846.0,36.5,370,4,10,4,2416,1室1厅1厨1卫,中楼层 (共6层),40.7㎡,平层,暂无数据,板楼,南,1997,简装,钢混结构,集中供暖,一梯四户,无,商品房,2021-02-23,普通住宅,满五年,共有,"121.723578,39.119436",金州,古城汇金,大连
华润海中国二期,2021.11.03 成交,168.0,15041.0,175.0,129,4,11,17,1462,3室1厅1厨1卫,高楼层 (共34层),111.7㎡,平层,暂无数据,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-06-28,普通住宅,满两年,非共有,"121.764858,39.04089",开发区,华润海中国,大连
亚星江南小镇,2021.08.16 成交,47.0,5060.0,47.0,101,3,4,1,522,2室2厅1厨1卫,中楼层 (共32层),92.1㎡,平层,72.95㎡,板塔结合,东南,未知,其他,钢混结构,集中供暖,三梯六户,有,商品房,2021-05-08,普通住宅,满五年,非共有,"113.31095141404,34.80323493734",上街区,上街区,郑州
青松北里,2021.09.22 成交,93.0,11089.0,96.0,184,5,18,0,462,2室2厅1厨1卫,低楼层 (共6层),83.42㎡,平层,暂无数据,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-03-23,普通住宅,满两年,非共有,"121.764641,39.048625",开发区,红梅翠竹,大连
二板桥,2021.03.13 成交,161.0,35620.0,168.0,138,2,3,3,1173,2室1厅1厨1卫,低楼层 (共7层),45.2㎡,暂无数据,暂无数据,板塔结合,南,未知,其他,混合结构,暂无数据,一梯三户,无,商品房,2020-10-27,普通住宅,暂无数据,共有,"118.745909,32.0851",鼓楼,热河南路,南京
龙福花园,2021.06.02 成交,225.0,39178.0,230.0,2,0,1,0,235,2室1厅1厨1卫,低楼层 (共7层),57.38㎡,暂无数据,48.62㎡,板楼,南 北,1998,精装,砖混结构,暂无数据,一梯两户,无,商品房,2021-06-01,普通住宅,满五年,非共有,"118.764405,32.004551",雨花台,能仁里,南京
红星海一期城市别馆,2021.05.20 成交,140.0,14897.0,145.0,1297,1,26,7,1291,2室2厅1厨1卫,中楼层 (共32层),93.98㎡,平层,93㎡,板楼,南 北,2012,毛坯,钢混结构,集中供暖,三梯八户,有,商品房,2017-11-01,普通住宅,满五年,非共有,"121.805236,39.027694",开发区,红星海,大连
新城惠泽园,2021.07.22 成交,41.0,7386.0,43.0,387,4,4,5,2390,1室1厅1厨1卫,中楼层 (共11层),54.84㎡,平层,暂无数据,塔楼,东北,2009,精装,钢混结构,集中供暖,一梯八户,无,商品房,2020-07-01,普通住宅,暂无数据,非共有,"123.343593,41.76484",于洪,于洪新城,沈阳
桃源居西区,2021.07.02 成交,138.0,11272.0,142.0,28,1,2,9,1143,3室2厅1厨1卫,中楼层 (共12层),121.99㎡,平层,95.9㎡,板楼,南,2009,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-06-05,普通住宅,满五年,非共有,"120.422166,36.302503",城阳,家佳源,青岛
东城天下,2022.03.17 成交,65.0,9930.0,68.0,66,1,10,0,865,2室1厅1厨1卫,高楼层 (共6层),65.46㎡,跃层,暂无数据,板楼,南 北,2012,精装,钢混结构,集中供暖,一梯三户,无,商品房,2022-01-11,普通住宅,满两年,非共有,"121.84741489548,39.072137217954",开发区,东城,大连
锁石苑,2022.02.28 成交,142.0,16120.0,145.0,12,1,21,4,620,3室1厅1厨1卫,中楼层 (共34层),88.09㎡,平层,暂无数据,板楼,南 北,2014,其他,钢混结构,暂无数据,三梯八户,有,商品房,2022-02-17,普通住宅,满两年,非共有,"118.9333418864,32.048273911661",江宁,麒麟镇,南京
绿园小区,2021.05.02 成交,41.0,8200.0,43.5,8,0,1,0,248,2室1厅1厨1卫,中楼层 (共5层),50㎡,平层,暂无数据,板楼,南,2000,精装,混合结构,暂无数据,一梯三户,暂无数据,商品房,2021-04-25,普通住宅,暂无数据,非共有,"125.2739743227,43.897969726229",绿园区,西安广场,长春
友谊东里,2021.10.08 成交,104.0,30009.0,103.8,78,5,17,5,771,1室1厅1厨1卫,低楼层 (共6层),34.59㎡,平层,暂无数据,塔楼,东,未知,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-07-22,普通住宅,满五年,非共有,"117.219326,39.084764",河西,友谊路,天津
万锦紫园,2021.07.20 成交,101.0,13011.0,100.0,396,6,55,22,4365,2室1厅1厨1卫,高楼层 (共34层),77.63㎡,平层,57.8㎡,板塔结合,南 北,2016,精装,钢混结构,集中供暖,一梯三户,有,商品房,2020-06-19,普通住宅,暂无数据,非共有,"123.457759,41.721489",浑南,二十一世纪,沈阳
雨花村,2021.04.21 成交,197.0,31940.0,200.0,257,3,56,31,4394,2室1厅1厨1卫,中楼层 (共5层),61.68㎡,暂无数据,暂无数据,板楼,南 北,2000,简装,钢混结构,暂无数据,一梯两户,无,商品房,2020-08-08,普通住宅,暂无数据,共有,"118.79872932689,32.008307631043",秦淮,洪家园,南京
汇景新世界,2021.02.25 成交,410.0,21355.0,420.0,307,5,16,26,4017,4室2厅1厨3卫,中楼层 (共31层),192㎡,平层,暂无数据,板楼,北 南,2012,精装,钢混结构,集中供暖,两梯两户,有,商品房,2020-04-25,普通住宅,暂无数据,共有,"123.431548,41.760553",和平,三好街,沈阳
泉水P2区,2021.04.18 成交,72.0,14202.0,73.0,20,2,2,1,488,1室1厅1厨1卫,高楼层 (共34层),50.7㎡,平层,36.23㎡,板楼,南 西,2014,精装,钢混结构,集中供暖,三梯十二户,有,经济适用房,2021-03-30,普通住宅,满两年,非共有,"121.64219807228,39.015779695815",甘井子,泉水龙畔金泉,大连
盐仓桥东街小区,2021.03.07 成交,159.0,30542.0,163.0,30,6,11,15,2272,2室1厅1厨1卫,高楼层 (共7层),52.06㎡,平层,暂无数据,板塔结合,南 北,1986,精装,混合结构,暂无数据,一梯三户,无,商品房,2021-02-05,普通住宅,满五年,非共有,"118.758667,32.094641",鼓楼,建宁路,南京
泰宏建业国际城18号院,2021.07.31 成交,98.0,13031.0,100.0,219,1,8,14,2058,2室1厅1厨1卫,高楼层 (共32层),75.21㎡,平层,暂无数据,板塔结合,南,未知,毛坯,钢混结构,集中供暖,三梯八户,有,商品房,2020-12-25,普通住宅,暂无数据,非共有,"113.6388855015,34.690941190867",二七,万客来,郑州
万科莫亚小镇,2021.10.22 成交,51.0,5550.0,56.0,406,4,2,5,2346,3室1厅1厨1卫,中楼层 (共11层),91㎡,平层,暂无数据,塔楼,南 北,未知,精装,钢混结构,集中供暖,一梯两户,暂无数据,商品房,2020-09-11,普通住宅,暂无数据,共有,"121.882618,39.384551",普兰店,普兰店,大连
蓝光COCO蜜城,2021.03.23 成交,202.0,24224.0,205.0,10,0,4,2,648,3室2厅1厨1卫,中楼层 (共25层),83.39㎡,平层,暂无数据,板楼,南,2016,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-03-14,普通住宅,满两年,非共有,"120.418568,36.177264",李沧,下王埠,青岛
文龙家园,2021.03.05 成交,22.0,3065.0,22.5,139,3,7,11,3614,2室1厅1厨1卫,高楼层 (共6层),71.8㎡,平层,暂无数据,板楼,南 北,未知,精装,钢混结构,暂无数据,一梯三户,暂无数据,商品房,2020-10-17,普通住宅,暂无数据,共有,"125.204730546,44.051738199148",农安县,合隆经济开发区,长春
万达华府东苑,2021.10.04 成交,590.0,68327.0,630.0,254,7,92,62,9179,2室2厅1厨1卫,中楼层 (共11层),86.35㎡,平层,暂无数据,板楼,南 北,2006,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-01-24,普通住宅,满五年,非共有,"118.745826,32.002376",建邺,奥体,南京
江佑铂庭,2021.04.24 成交,271.0,29068.0,278.0,11,1,8,5,1198,2室2厅1厨1卫,中楼层 (共16层),93.23㎡,平层,暂无数据,板楼,南,2012,其他,钢混结构,暂无数据,两梯三户,有,商品房,2021-04-14,普通住宅,暂无数据,共有,"118.654927,32.068155",浦口,江浦街道,南京
邓府山村,2022.01.23 成交,188.0,27595.0,195.0,120,1,24,12,1741,2室1厅1厨1卫,中楼层 (共7层),68.13㎡,平层,暂无数据,板楼,南 北,1991,其他,砖混结构,暂无数据,一梯四户,无,商品房,2021-09-26,普通住宅,满五年,非共有,"118.775194,31.997565",雨花台,雨花新村,南京
汀兰苑,2021.03.07 成交,94.0,9691.0,100.0,117,3,9,2,896,2室2厅1厨1卫,中楼层 (共33层),97㎡,平层,暂无数据,板楼,南,2020,简装,钢混结构,暂无数据,两梯四户,有,商品房,2020-11-11,普通住宅,暂无数据,非共有,"121.22748402496,30.340737636301",杭州湾新区,杭州湾新区,宁波
正弘·蓝堡湾Ⅱ,2021.03.14 成交,254.0,23519.0,255.0,227,4,6,11,3780,2室2厅1厨2卫,低楼层 (共32层),108㎡,暂无数据,暂无数据,板塔结合,南,2013,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-07-30,普通住宅,暂无数据,非共有,"113.68127017843,34.802393016931",金水,文博广场,郑州
鑫苑世纪东城西苑,2021.09.27 成交,176.0,19998.0,177.0,48,1,9,3,181,3室2厅1厨1卫,低楼层 (共26层),88.01㎡,平层,64.59㎡,板楼,东,2014,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-08-11,普通住宅,满五年,非共有,"113.766259,34.746172",郑东新区,郑州东站,郑州
铁四宿舍,2021.03.16 成交,75.0,12132.0,78.0,30,2,2,8,1133,2室1厅1厨1卫,高楼层 (共6层),61.82㎡,平层,暂无数据,板楼,西北,2008,其他,混合结构,集中供暖,一梯三户,无,商品房,2021-02-15,普通住宅,暂无数据,非共有,"114.503413,38.044031",桥西,大经,石家庄
启迪方洲润园,2021.07.23 成交,326.0,25872.0,340.0,51,0,14,2,1479,4室1厅1厨2卫,中楼层 (共32层),125.7㎡,平层,暂无数据,塔楼,南 北,2017,简装,钢混结构,暂无数据,两梯四户,有,商品房,2021-06-03,普通住宅,暂无数据,非共有,"118.914901,32.03118",江宁,麒麟科创园,南京
中环福境,2021.11.09 成交,192.0,21617.0,200.0,14,1,0,1,102,2室1厅1厨1卫,中楼层 (共8层),88.82㎡,暂无数据,72.71㎡,板楼,南 北,未知,简装,钢混结构,集中供暖,二十梯一户,有,商品房,2021-10-27,普通住宅,暂无数据,非共有,"117.19953345499,39.190931451109",河北,新开河,天津
天津海航城,2021.09.27 成交,125.0,5412.0,128.0,11,1,2,0,109,3室1厅1厨2卫,低楼层 (共7层),231㎡,平层,暂无数据,板楼,南,未知,其他,钢混结构,自供暖,一梯两户,有,商品房,2021-09-17,普通住宅,满两年,非共有,"117.45497921027,39.236352911891",宁河,宁河,天津
山东路北,2022.02.20 成交,129.0,14636.0,136.0,667,1,21,21,5633,2室2厅1厨1卫,中楼层 (共6层),88.14㎡,平层,暂无数据,板楼,南 北,1999,简装,混合结构,集中供暖,一梯两户,无,商品房,2020-04-25,普通住宅,满五年,非共有,"121.59052,38.992533",甘井子,名贵,大连
古城甲区,2021.04.16 成交,36.0,8950.0,35.8,37,4,1,1,589,1室1厅1厨1卫,高楼层 (共7层),40㎡,平层,暂无数据,板楼,南,1999,简装,钢混结构,集中供暖,一梯四户,无,商品房,2021-03-10,普通住宅,满五年,非共有,"121.72642210284,39.114183993827",金州,古城汇金,大连
峨眉山386号,2021.07.30 成交,171.0,15092.0,175.0,258,6,18,13,2399,2室1厅1厨1卫,中楼层 (共23层),113.11㎡,平层,暂无数据,板楼,南 北,2009,简装,钢混结构,集中供暖,一梯两户,有,商品房,2020-11-15,普通住宅,满五年,非共有,"120.167865,35.951687",黄岛,石油大学,青岛
花都新苑,2021.11.14 成交,53.0,5472.0,53.0,5,1,2,0,19,2室1厅1厨1卫,中楼层 (共7层),96.13㎡,平层,暂无数据,板楼,南 北,未知,其他,混合结构,自供暖,一梯两户,有,商品房,2021-11-10,普通住宅,满两年,非共有,"117.14215791515,39.427002428862",武清,武清其它,天津
马栏小学北,2021.01.28 成交,53.0,10995.0,53.0,167,5,9,3,2098,2室1厅1厨1卫,高楼层 (共7层),47.75㎡,平层,暂无数据,板楼,南,1995,简装,混合结构,集中供暖,一梯三户,无,房改房,2020-08-15,普通住宅,暂无数据,非共有,"121.563587,38.931009",沙河口,马栏,大连
北国奥林匹克花园,2021.09.29 成交,67.0,7052.0,68.0,59,5,5,2,472,2室1厅1厨1卫,中楼层 (共18层),95.01㎡,平层,暂无数据,塔楼,南 北,未知,简装,钢混结构,集中供暖,一梯一户,有,商品房,2021-08-02,普通住宅,暂无数据,非共有,"123.36749264082,41.67190269576",苏家屯,会展中心,沈阳
复地宴南都,2021.09.12 成交,554.0,57114.0,560.0,137,1,9,45,6817,3室2厅1厨1卫,中楼层 (共29层),97㎡,平层,暂无数据,塔楼,南,2018,精装,钢混结构,暂无数据,两梯四户,有,商品房,2021-04-29,普通住宅,暂无数据,非共有,"118.811468,31.988952",秦淮,洪家园,南京
和瑞园,2021.11.06 成交,100.0,20543.0,100.0,83,2,9,6,778,1室1厅1厨1卫,中楼层 (共5层),48.68㎡,平层,暂无数据,板楼,南 北,未知,毛坯,混合结构,集中供暖,一梯四户,无,商品房,2021-08-16,普通住宅,满五年,非共有,"117.179479,39.063904",西青,李七庄,天津
锦江园,2021.03.19 成交,98.0,12692.0,102.0,3,0,8,2,574,2室2厅1厨1卫,中楼层 (共7层),77.22㎡,平层,暂无数据,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-03-17,普通住宅,满五年,非共有,"121.567924,38.950305",沙河口,锦绣,大连
