小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
恩德西里,2022.02.20 成交,140.0,32485.0,144.0,78,2,7,20,1454,1室1厅1厨1卫,高楼层 (共6层),43.02㎡,平层,暂无数据,板楼,南,未知,精装,混合结构,集中供暖,一梯五户,无,商品房,2021-12-04,普通住宅,满两年,非共有,"117.215906,39.104904",河西,越秀路,天津
中凯城市之光,2021.11.01 成交,148.0,10909.0,148.0,5,3,14,6,858,3室2厅1厨2卫,高楼层 (共11层),135.67㎡,平层,111.08㎡,板塔结合,南 北,未知,精装,钢混结构,自供暖,一梯一户,暂无数据,商品房,2021-10-27,普通住宅,暂无数据,非共有,"113.684416,34.756342",管城回族区,二七广场,郑州
创建小区,2021.05.24 成交,69.0,8962.0,74.0,548,4,13,14,2454,2室1厅1厨1卫,中楼层 (共7层),77㎡,平层,暂无数据,板楼,南 北,2000,精装,砖混结构,暂无数据,一梯三户,无,商品房,2019-11-23,普通住宅,暂无数据,非共有,"126.62453441442,45.710580249359",南岗,哈西商圈,哈尔滨
鸿意星城,2021.01.22 成交,300.0,31533.0,308.0,164,0,37,0,266,2室2厅1厨1卫,中楼层 (共8层),95.14㎡,暂无数据,暂无数据,板楼,南,2007,其他,砖混结构,暂无数据,一梯两户,有,商品房,2020-08-11,普通住宅,暂无数据,非共有,"118.87016390795,32.023514380387",秦淮,月牙湖,南京
海湾新城,2021.06.15 成交,93.0,8863.0,93.5,97,5,11,10,1486,3室2厅1厨1卫,中楼层 (共10层),104.94㎡,平层,暂无数据,暂无数据,南 北,2012,精装,未知结构,集中供暖,一梯两户,暂无数据,商品房,2021-03-10,普通住宅,暂无数据,非共有,"121.9516255601,39.409841698256",普兰店,普兰店,大连
龙亭家园,2021.12.08 成交,660.0,40107.0,690.0,106,3,16,6,1124,3室1厅1厨2卫,中楼层 (共25层),164.56㎡,平层,暂无数据,塔楼,东南,未知,精装,钢混结构,集中供暖,两梯三户,有,私产,2021-08-25,普通住宅,满五年,非共有,"117.189335,39.150805",南开,鼓楼街,天津
华润凯旋门,2022.02.26 成交,104.0,11295.0,107.0,80,4,20,15,2812,2室2厅1厨1卫,低楼层 (共27层),92.08㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-12-08,普通住宅,满两年,非共有,"125.254119,43.818088",高新区,硅谷街北,长春
碧桂园银河城方糖,2021.05.09 成交,117.0,11099.0,115.0,68,1,21,16,2201,3室2厅1厨1卫,高楼层 (共32层),105.42㎡,平层,暂无数据,板楼,南 北,2018,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-03-03,普通住宅,暂无数据,非共有,"123.338867,41.763244",于洪,于洪新城,沈阳
保利罗兰春天,2021.02.09 成交,322.0,33542.0,331.0,114,12,30,29,3098,3室2厅1厨1卫,中楼层 (共27层),96㎡,平层,暂无数据,板塔结合,南 北,2016,精装,钢混结构,暂无数据,两梯四户,有,商品房,2020-10-19,普通住宅,满两年,非共有,"118.985976,32.138048",栖霞,仙林,南京
市府社区,2021.08.18 成交,130.0,8312.0,140.0,178,3,5,11,2349,3室2厅1厨2卫,中楼层 (共9层),156.41㎡,错层,暂无数据,暂无数据,南 北,1999,精装,未知结构,暂无数据,一梯三户,暂无数据,商品房,2021-02-21,普通住宅,满五年,共有,"123.42664159284,41.809321101161",和平,北市,沈阳
