小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
文玥里,2021.09.04 成交,107.0,33210.0,110.0,30,3,15,14,1286,1室1厅1厨1卫,中楼层 (共6层),32.22㎡,平层,22㎡,板楼,南,未知,简装,混合结构,集中供暖,一梯五户,无,房改房,2021-08-05,普通住宅,满两年,非共有,"117.222712,39.088584",河西,友谊路,天津
合家春天,2021.06.25 成交,81.0,24424.0,85.0,284,3,29,18,4620,1室0厅1厨1卫,低楼层 (共7层),32.96㎡,平层,26.16㎡,板楼,北,2009,简装,钢混结构,暂无数据,一梯二十七户,有,商品房,2020-09-15,普通住宅,暂无数据,共有,"118.8483820753,31.917521455177",江宁,九龙湖,南京
美的城,2021.03.06 成交,85.0,9383.0,86.0,201,12,32,17,3795,2室1厅1厨1卫,低楼层 (共27层),90.59㎡,平层,暂无数据,板楼,南 北,2019,毛坯,钢混结构,集中供暖,三梯四户,有,商品房,2020-08-18,普通住宅,暂无数据,共有,"123.363939,41.875282",于洪,丁香湖,沈阳
火电小区,2021.08.03 成交,44.0,6770.0,45.0,7,1,1,1,518,2室1厅1厨1卫,高楼层 (共7层),65㎡,平层,暂无数据,塔楼,南 北,1997,精装,砖混结构,暂无数据,一梯三户,无,商品房,2021-07-28,普通住宅,暂无数据,共有,"125.359099,43.86939",南关区,吉大南岭校区,长春
新城保利天地,2022.03.12 成交,160.0,18145.0,165.0,68,5,6,5,576,4室2厅1厨1卫,中楼层 (共18层),88.18㎡,平层,暂无数据,板塔结合,南,2018,精装,钢混结构,暂无数据,一梯两户,有,商品房,2022-01-04,普通住宅,满两年,非共有,"118.82282123307,31.797621772045",江宁,禄口,南京
汇泉城2号院,2021.01.20 成交,80.0,10585.0,83.0,264,6,16,2,2266,2室1厅1厨1卫,中楼层 (共32层),75.58㎡,平层,暂无数据,塔楼,南,2018,简装,钢混结构,集中供暖,两梯四户,有,商品房,2020-05-01,普通住宅,满两年,非共有,"113.53915115396,34.731905805176",中原,常西湖,郑州
盈江东里,2021.09.12 成交,92.0,16181.0,102.0,228,10,140,260,35516,2室1厅1厨1卫,中楼层 (共6层),56.55㎡,平层,暂无数据,板楼,西 北,未知,精装,混合结构,集中供暖,一梯四户,无,私产,2021-01-28,普通住宅,满五年,非共有,"117.142656,39.105555",南开,王顶堤,天津
第六大道大洋嘉园,2021.12.19 成交,278.0,20443.0,285.0,176,20,58,67,5587,3室2厅1厨2卫,中楼层 (共5层),135.99㎡,平层,121.16㎡,板楼,南 北,未知,简装,混合结构,集中供暖,一梯两户,无,商品房,2021-06-27,普通住宅,满五年,非共有,"117.276673,39.120825",河东,上杭路,天津
尚书公寓,2021.02.20 成交,308.0,35370.0,330.0,491,0,8,28,3323,2室1厅1厨1卫,低楼层 (共25层),87.08㎡,平层,暂无数据,板楼,东 南,1998,简装,钢混结构,暂无数据,两梯十户,有,商品房,2019-10-19,普通住宅,暂无数据,非共有,"118.81583719461,32.034092566126",秦淮,大光路,南京
新安巷,2021.06.30 成交,57.0,2618.0,62.0,82,3,30,17,2940,3室2厅1厨2卫,低楼层 (共2层),217.74㎡,暂无数据,暂无数据,平房,南 北,1997,简装,砖混结构,自供暖,一梯一户,无,商品房,2021-04-10,普通住宅,暂无数据,非共有,"113.74137457591,34.395648976859",新郑市,新郑市,郑州
天润城第十二街区,2021.03.15 成交,149.0,18914.0,153.0,597,7,22,61,6854,2室2厅1厨1卫,中楼层 (共18层),78.78㎡,平层,62.47㎡,板塔结合,南,2012,精装,钢混结构,暂无数据,两梯六户,有,商品房,2019-07-27,普通住宅,满五年,共有,"118.738429,32.159483",浦口,桥北,南京
孙马小区,2021.04.13 成交,352.0,41481.0,364.8,13,2,1,3,641,2室1厅1厨1卫,高楼层 (共16层),84.86㎡,平层,65.41㎡,塔楼,南,2010,其他,钢混结构,暂无数据,两梯三户,有,商品房,2021-03-31,普通住宅,暂无数据,非共有,"121.578262,29.833589",鄞州区,中河,宁波
新天地小区,2021.04.24 成交,128.0,14503.0,133.0,53,1,8,2,994,2室1厅1厨1卫,中楼层 (共23层),88.26㎡,平层,暂无数据,板楼,南,2014,精装,钢混结构,自供暖,两梯六户,有,商品房,2021-03-03,普通住宅,满五年,非共有,"113.678927,34.748955",管城回族区,二七广场,郑州
银盛泰▪星河城一期A区,2021.02.06 成交,87.0,11323.0,90.0,45,3,17,2,1522,2室1厅1厨1卫,低楼层 (共18层),76.84㎡,平层,57.51㎡,板楼,南 北,2014,精装,钢混结构,集中供暖,两梯三户,有,商品房,2020-12-24,普通住宅,满两年,非共有,"120.041734,35.898871",黄岛,胶南,青岛
盛景华庭南苑,2021.05.12 成交,188.0,21897.0,191.0,237,2,8,6,2225,3室1厅1厨1卫,高楼层 (共28层),85.86㎡,暂无数据,68.63㎡,板塔结合,南,2014,其他,钢混结构,暂无数据,三梯六户,有,商品房,2020-09-18,普通住宅,满五年,非共有,"118.64922800937,32.06035234254",浦口,江浦街道,南京
世侨唐墅,2022.01.01 成交,65.0,8042.0,65.0,101,5,9,1,427,2室1厅1厨1卫,高楼层 (共27层),80.83㎡,平层,暂无数据,板楼,南 北,未知,其他,钢混结构,集中供暖,两梯五户,有,商品房,2021-09-23,普通住宅,暂无数据,非共有,"116.813254,39.55998",武清,大王古镇,天津
山水嘉园,2021.11.06 成交,127.0,14071.0,128.5,26,5,4,12,731,2室1厅1厨1卫,高楼层 (共11层),90.26㎡,平层,69.82㎡,板楼,南 北,2015,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-10-11,普通住宅,满两年,非共有,"120.436728,36.219219",城阳,十梅庵,青岛
东方圣克拉一期,2021.03.20 成交,450.0,33089.0,460.0,135,2,6,1,1386,3室2厅1厨1卫,高楼层 (共23层),136㎡,平层,暂无数据,板楼,南 北,2013,简装,钢混结构,集中供暖,两梯四户,有,商品房,2020-11-06,普通住宅,暂无数据,非共有,"121.535205,38.896678",高新园区,庙岭,大连
世代龙城,2021.02.21 成交,55.0,8792.0,60.0,258,2,10,10,3830,2室1厅1厨1卫,高楼层 (共6层),62.56㎡,跃层,暂无数据,板楼,南 北,2007,其他,钢混结构,集中供暖,一梯两户,有,商品房,2020-06-09,普通住宅,暂无数据,非共有,"123.30745920486,41.801902513108",于洪,于洪广场,沈阳
雨花新村二村,2022.03.14 成交,125.0,26283.0,127.0,137,3,6,4,1101,2室1厅1厨1卫,高楼层 (共6层),47.56㎡,平层,暂无数据,板楼,南,1983,简装,砖混结构,暂无数据,一梯两户,无,商品房,2021-10-29,普通住宅,满五年,非共有,"118.779412,32.004745",雨花台,雨花新村,南京
奥润馨海国际城,2021.10.26 成交,132.0,12973.0,137.0,61,2,15,4,560,3室2厅1厨1卫,中楼层 (共11层),101.75㎡,平层,暂无数据,板楼,南 北,2013,毛坯,钢混结构,集中供暖,两梯两户,有,商品房,2021-08-27,普通住宅,满两年,非共有,"120.084624,35.899364",黄岛,两河,青岛
阳光四季园,2022.03.20 成交,245.0,17456.0,250.0,259,6,26,10,2759,3室2厅1厨2卫,低楼层 (共6层),140.36㎡,平层,暂无数据,板楼,南 北,未知,精装,混合结构,集中供暖,一梯两户,无,商品房,2021-07-05,普通住宅,满五年,共有,"113.608207,34.747411",中原区,中原万达,郑州
华发新城,2021.05.04 成交,83.0,7615.0,84.0,1,1,1,0,166,3室1厅1厨2卫,高楼层 (共26层),109㎡,平层,暂无数据,塔楼,南 北,2012,精装,框架结构,集中供暖,两梯四户,有,商品房,2021-05-04,普通住宅,满两年,共有,"121.165214,38.796267",旅顺口,旅顺开发区,大连
建海绿荫半岛,2022.03.03 成交,71.0,6703.0,71.0,24,4,13,3,37,3室2厅1厨1卫,低楼层 (共33层),105.02㎡,平层,暂无数据,平房,南,2017,精装,钢混结构,集中供暖,两梯三户,有,商品房,2022-02-07,普通住宅,满两年,非共有,"113.407256,34.778111",荥阳市,荥阳城区,郑州
福升园,2021.11.15 成交,65.0,10212.0,66.0,41,6,2,2,331,1室1厅1厨1卫,高楼层 (共28层),63.47㎡,平层,暂无数据,板塔结合,南 北,未知,精装,钢混结构,集中供暖,两梯六户,有,商品房,2021-10-05,普通住宅,满五年,非共有,"117.628501,39.03974",塘沽,新河街,天津
红星海时光的岸,2022.02.20 成交,122.0,12531.0,122.0,133,6,39,28,3487,2室1厅1厨1卫,高楼层 (共25层),97.36㎡,平层,暂无数据,板楼,南 北,2016,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-10-10,普通住宅,暂无数据,非共有,"121.813024,39.013787",开发区,红星海,大连
瀚宇新城,2021.12.24 成交,104.0,11565.0,106.0,9,5,11,18,882,2室2厅1厨1卫,高楼层 (共27层),89.76㎡,平层,71.38㎡,板楼,南,2012,简装,钢混结构,集中供暖,两梯四户,有,商品房,2021-12-16,普通住宅,满两年,非共有,"113.65483524042,34.849428915736",金水区,索凌路北段,郑州
