小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
34中果园巷,2021.04.24 成交,184.0,32349.0,188.0,58,3,27,19,1293,2室1厅1厨1卫,高楼层 (共6层),56.88㎡,平层,56.88㎡,板楼,南,1993,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-02-25,普通住宅,满两年,共有,"121.623573,38.910203",西岗,唐山街,大连
水畔精品,2021.03.03 成交,110.0,14519.0,115.0,944,8,32,20,4063,2室1厅1厨1卫,中楼层 (共19层),75.63㎡,平层,暂无数据,塔楼,南 北,2015,精装,钢混结构,集中供暖,一梯三户,有,商品房,2018-08-02,普通住宅,满两年,非共有,"121.514677,38.941673",甘井子,西山湖,大连
御海苑,2021.12.13 成交,144.0,10227.0,149.0,205,5,6,11,926,4室2厅1厨2卫,中楼层 (共32层),140.81㎡,平层,暂无数据,暂无数据,南,未知,简装,未知结构,暂无数据,两梯四户,有,商品房,2021-05-23,普通住宅,满两年,非共有,"121.23776249375,30.341559089688",杭州湾新区,杭州湾新区,宁波
玉容花园,2021.10.03 成交,127.0,21751.0,128.0,509,23,50,10,3684,1室1厅1厨1卫,中楼层 (共7层),58.39㎡,平层,暂无数据,板楼,南,未知,精装,混合结构,集中供暖,一梯三户,无,商品房,2020-05-12,普通住宅,暂无数据,非共有,"117.236484,39.167338",河北,王串场,天津
开达小区,2021.08.07 成交,160.0,17317.0,163.0,11,2,10,5,548,2室2厅1厨1卫,中楼层 (共7层),92.4㎡,平层,暂无数据,板楼,南 北,2000,简装,砖混结构,集中供暖,一梯两户,无,商品房,2021-07-28,普通住宅,满五年,非共有,"114.46927599695,38.035459596214",桥西,东里,石家庄
金基汇锦国际,2021.05.07 成交,381.0,60602.0,391.0,120,1,26,50,4754,3室2厅1厨2卫,高楼层 (共12层),62.87㎡,复式,暂无数据,板塔结合,南,2009,简装,钢混结构,暂无数据,两梯十六户,有,商品房,2021-01-08,普通住宅,暂无数据,非共有,"118.729839,32.029135",建邺,奥体,南京
奥北公元西区,2021.04.08 成交,115.0,13896.0,112.5,137,9,84,116,14214,2室2厅1厨1卫,高楼层 (共34层),82.4㎡,平层,暂无数据,板楼,西,2015,简装,钢混结构,集中供暖,两梯六户,有,商品房,2020-11-22,普通住宅,暂无数据,非共有,"114.553217,38.073197",长安,丰收路,石家庄
绿城玉兰花园,2021.12.02 成交,128.0,19941.0,135.0,37,2,5,15,1020,2室1厅1厨1卫,高楼层 (共25层),64.19㎡,平层,47.59㎡,板楼,南,2012,精装,钢混结构,集中供暖,两梯三户,有,商品房,2021-10-27,普通住宅,暂无数据,共有,"120.45852,36.187369",李沧,绿城,青岛
建安里,2021.10.12 成交,34.0,5526.0,34.0,220,12,22,22,3267,2室1厅1厨1卫,高楼层 (共6层),60.81㎡,平层,暂无数据,板楼,南 北,未知,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-03-07,普通住宅,满两年,非共有,"117.45570992338,38.853364465845",滨海新区,大港,天津
古耕国际酒店公寓,2021.08.11 成交,80.0,14632.0,82.0,1,1,1,0,33,1室1厅1厨1卫,高楼层 (共26层),54.47㎡,暂无数据,暂无数据,塔楼,北,2010,精装,钢混结构,集中供暖,七梯二十五户,有,商品房,2021-08-11,普通住宅,满五年,共有,"121.774107,39.054353",开发区,红梅翠竹,大连
顺河路2号,2022.01.10 成交,45.0,7965.0,45.0,120,4,3,18,2365,2室1厅1厨1卫,中楼层 (共5层),56.5㎡,平层,暂无数据,板楼,南 北,1988,简装,混合结构,集中供暖,一梯三户,无,商品房,2021-09-13,普通住宅,满五年,非共有,"113.702096,34.766226",金水区,紫荆山,郑州
七星里,2021.10.13 成交,46.0,7872.0,45.5,22,1,1,1,320,2室1厅1厨1卫,低楼层 (共3层),57.8㎡,平层,暂无数据,板楼,南 北,未知,简装,混合结构,集中供暖,一梯两户,暂无数据,商品房,2021-09-22,普通住宅,满五年,非共有,"117.802811,39.256851",滨海新区,汉沽,天津
海之恋花园,2021.01.25 成交,248.0,18788.0,248.0,43,4,7,8,1405,2室2厅1厨2卫,高楼层 (共13层),132㎡,平层,暂无数据,板楼,南 北,2003,精装,钢混结构,集中供暖,一梯两户,有,商品房,2020-12-13,普通住宅,暂无数据,非共有,"121.68646,38.923473",中山,华乐,大连
万年乐享世界,2021.04.26 成交,133.0,10937.0,135.0,45,4,12,3,591,3室2厅1厨2卫,高楼层 (共18层),121.43㎡,平层,暂无数据,板塔结合,东南,2017,其他,钢混结构,暂无数据,两梯四户,有,商品房,2021-03-13,普通住宅,满两年,共有,"121.93795582874,29.785534329999",北仑区,春晓,宁波
奕聪花园,2021.11.22 成交,149.0,14800.0,151.0,79,6,17,44,3575,2室1厅1厨2卫,中楼层 (共36层),100.68㎡,暂无数据,暂无数据,板楼,南,未知,精装,钢混结构,集中供暖,四梯十二户,有,商品房,2021-09-05,普通住宅,满两年,非共有,"117.172745,39.079988",南开,体育中心街,天津
