小区,成交时间,成交价格,元/平,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,配备电梯,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,百度经纬,区域,街道,城市
翠湖苑,2022.03.12 成交,103.0,9178.0,110.0,16,4,6,1,509,3室2厅1厨1卫,中楼层 (共33层),112.23㎡,平层,86.21㎡,板楼,南,2012,精装,框架结构,暂无数据,两梯四户,有,商品房,2022-02-25,普通住宅,暂无数据,共有,"121.23173846964,30.338314144629",杭州湾新区,杭州湾新区,宁波
天润城第九街区,2022.01.18 成交,246.0,19791.0,253.0,992,6,5,15,2598,3室2厅1厨2卫,中楼层 (共18层),124.3㎡,暂无数据,100.26㎡,板楼,南 北,2009,精装,钢混结构,暂无数据,两梯两户,有,商品房,2019-05-02,普通住宅,满五年,非共有,"118.73899824709,32.155610870242",浦口,桥北,南京
领创天誉华庭,2021.07.18 成交,120.0,15788.0,121.0,82,6,11,14,2616,2室2厅1厨1卫,中楼层 (共33层),76.01㎡,平层,暂无数据,板楼,东南,未知,其他,钢混结构,集中供暖,两梯四户,有,商品房,2021-04-28,普通住宅,暂无数据,共有,"113.615241,34.778822",中原,五龙口,郑州
雅戈尔雅旭花苑,2021.03.18 成交,490.0,35528.0,505.0,133,0,6,7,2513,4室3厅1厨3卫,低楼层 (共11层),137.92㎡,跃层,114.6㎡,板楼,南,2018,其他,钢混结构,暂无数据,两梯两户,有,商品房,2020-11-06,普通住宅,满两年,共有,"121.538157,29.763901",鄞州区,姜山,宁波
珠江俊景,2021.03.21 成交,77.0,10071.0,79.5,54,2,1,3,748,2室1厅1厨1卫,中楼层 (共7层),76.26㎡,平层,暂无数据,板塔结合,北 南 东,未知,简装,钢混结构,暂无数据,一梯两户,无,商品房,2021-01-26,普通住宅,暂无数据,非共有,"126.71641441872,45.741351206608",香坊,南岗会展商圈,哈尔滨
新贵都D区,2021.11.28 成交,215.0,19366.0,225.0,46,5,4,11,1090,2室2厅1厨1卫,低楼层 (共26层),111.02㎡,平层,90.61㎡,板楼,北,2003,简装,混合结构,集中供暖,两梯八户,有,商品房,2021-10-13,普通住宅,满两年,非共有,"120.394346,36.078973",市南,新贵都,青岛
金祥花园,2021.06.12 成交,84.0,9666.0,87.0,1,0,0,0,96,2室2厅1厨1卫,低楼层 (共7层),86.7㎡,暂无数据,暂无数据,板楼,南 北,2018,其他,混合结构,集中供暖,一梯两户,无,商品房,2021-06-11,普通住宅,暂无数据,非共有,"120.02082988966,36.314246888678",胶州,胶州,青岛
松江城武台馨苑,2021.10.19 成交,160.0,19001.0,164.0,61,9,46,26,2236,2室1厅1厨1卫,中楼层 (共24层),84.21㎡,平层,暂无数据,板楼,南 北,未知,毛坯,钢混结构,集中供暖,两梯六户,有,商品房,2021-08-20,普通住宅,满五年,非共有,"117.174904,39.061022",西青,李七庄,天津
仁和嘉园,2021.11.18 成交,90.0,7501.0,99.9,888,8,1,9,3928,2室1厅0厨1卫,低楼层 (共24层),119.61㎡,平层,暂无数据,塔楼,北,2007,简装,框架结构,集中供暖,两梯八户,有,商品房,2019-06-15,普通住宅,满五年,非共有,"114.511387,38.027482",桥西,佳农市场,石家庄
怡和嘉园北区,2022.03.20 成交,116.0,13671.0,120.0,29,2,1,9,421,2室1厅1厨1卫,中楼层 (共24层),84.49㎡,平层,68.14㎡,板楼,南,2011,精装,钢混结构,集中供暖,两梯四户,有,商品房,2022-02-20,普通住宅,满五年,非共有,"120.22877273461,35.973682157647",黄岛,薛家岛,青岛
奥林匹克花园玉兰苑,2021.12.21 成交,244.0,17552.0,248.0,279,6,87,88,11567,3室2厅1厨2卫,高楼层 (共18层),138.85㎡,平层,暂无数据,塔楼,东 南 北,未知,精装,钢混结构,集中供暖,两梯四户,有,商品房,2021-03-18,普通住宅,满五年,非共有,"117.125077,39.204399",北辰,瑞景居住区,天津
升龙国际A区,2021.04.03 成交,269.0,14666.0,273.0,355,5,16,11,3676,4室2厅1厨2卫,低楼层 (共31层),183.42㎡,平层,暂无数据,塔楼,南 北,2011,简装,钢混结构,集中供暖,两梯六户,有,商品房,2020-04-14,普通住宅,满两年,共有,"113.646458,34.732132",二七,市财政局,郑州
鑫境界,2021.01.16 成交,58.0,10158.0,60.0,98,2,10,5,1634,1室1厅1厨1卫,中楼层 (共11层),56.61㎡,平层,43.92㎡,板楼,南,2010,简装,钢混结构,集中供暖,三梯三十九户,有,商品房,2020-10-11,商住两用,满两年,非共有,"121.552318,38.960706",甘井子,机场,大连
香洲心城,2021.08.07 成交,258.0,22736.0,270.0,87,3,31,15,3118,3室2厅1厨1卫,高楼层 (共11层),113.48㎡,平层,暂无数据,板楼,南 北,2012,精装,钢混结构,集中供暖,一梯两户,有,商品房,2021-05-13,普通住宅,满五年,非共有,"121.592681,38.943735",沙河口,侯家沟,大连
银城花园南片,2021.06.03 成交,518.0,83589.0,530.0,3,0,2,7,721,2室1厅1厨1卫,低楼层 (共7层),61.97㎡,平层,暂无数据,板楼,南 北,1996,其他,混合结构,暂无数据,一梯两户,无,商品房,2021-05-31,普通住宅,暂无数据,非共有,"118.737915,32.057491",鼓楼,龙江,南京
天玺国际广场,2021.12.25 成交,410.0,99106.0,420.0,160,4,5,0,9,1室1厅1厨1卫,中楼层 (共29层),41.37㎡,平层,暂无数据,塔楼,北,2014,其他,钢混结构,暂无数据,六梯二十六户,有,商品房,2021-07-18,普通住宅,满两年,非共有,"118.736455,32.04944",鼓楼,凤凰西街,南京
阳光帝景,2021.06.19 成交,306.0,23431.0,315.0,73,2,26,7,1740,3室2厅1厨2卫,高楼层 (共18层),130.6㎡,平层,暂无数据,板楼,南,2014,毛坯,钢混结构,暂无数据,两梯三户,有,商品房,2021-04-08,普通住宅,暂无数据,非共有,"118.689956,32.108329",浦口,顶山街道,南京
春江花城,2021.04.21 成交,575.0,35429.0,580.0,60,5,14,7,1885,4室2厅1厨2卫,中楼层 (共11层),162.3㎡,平层,暂无数据,板楼,南,2007,精装,钢混结构,暂无数据,一梯两户,有,商品房,2021-02-20,普通住宅,满五年,非共有,"121.580184,29.83127",鄞州区,中河,宁波
大禹城邦小区,2021.10.14 成交,80.0,8729.0,80.0,109,3,3,12,1084,2室1厅1厨1卫,高楼层 (共5层),91.65㎡,平层,暂无数据,板塔结合,南 北,未知,毛坯,钢混结构,暂无数据,一梯两户,无,商品房,2021-06-28,普通住宅,暂无数据,非共有,"125.30647800109,43.843256664751",朝阳区,南湖,长春
教育局家属院,2021.04.10 成交,88.0,10603.0,91.0,244,3,11,9,4800,3室1厅1厨1卫,高楼层 (共7层),83㎡,平层,暂无数据,板楼,南,1997,简装,砖混结构,自供暖,一梯两户,无,商品房,2020-08-10,普通住宅,暂无数据,非共有,"113.69406960646,34.7285221163",管城回族区,二里岗,郑州
沿海赛洛城,2021.07.01 成交,83.0,11364.0,83.5,18,0,5,8,645,2室2厅1厨1卫,高楼层 (共33层),73.04㎡,平层,暂无数据,板塔结合,南,2012,其他,钢混结构,集中供暖,两梯五户,有,商品房,2021-06-14,普通住宅,满五年,非共有,"123.466728,41.736552",浑南,奥体,沈阳
尚源佳苑,2022.03.09 成交,166.0,14026.0,170.0,97,3,10,4,1332,3室2厅1厨2卫,低楼层 (共16层),118.21㎡,平层,93.14㎡,平房,南,2016,精装,框架结构,暂无数据,两梯三户,有,商品房,2021-12-03,普通住宅,暂无数据,非共有,"121.22373747266,30.1848788463",慈溪市,城西,宁波
丰泽社区,2021.08.23 成交,53.0,10318.0,53.0,2,2,2,1,36,2室1厅1厨1卫,中楼层 (共8层),51.37㎡,平层,暂无数据,暂无数据,南 北,未知,其他,混合结构,暂无数据,一梯两户,暂无数据,商品房,2021-08-22,普通住宅,满五年,共有,"123.39380811228,41.77399440075",和平,砂山,沈阳
光华里,2021.12.29 成交,124.0,15964.0,127.5,105,5,8,7,1661,2室1厅1厨1卫,低楼层 (共32层),77.55㎡,平层,暂无数据,板楼,南,2016,精装,钢混结构,集中供暖,一梯四户,无,商品房,2021-09-15,普通住宅,满两年,共有,"114.52838,38.066169",长安,建北,石家庄
恒大江湾一二期,2021.02.15 成交,112.0,8960.0,115.0,174,1,25,7,1992,3室2厅1厨2卫,低楼层 (共24层),125㎡,平层,暂无数据,板楼,南,2017,精装,钢混结构,集中供暖,一梯三户,有,商品房,2020-08-25,普通住宅,暂无数据,非共有,"123.55632527142,41.778501159197",浑南,东湖,沈阳
威尼斯水城第十六街区,2022.02.19 成交,230.0,20443.0,248.0,164,0,2,6,1041,3室2厅1厨1卫,中楼层 (共33层),112.51㎡,平层,暂无数据,塔楼,南 北,2014,精装,钢混结构,暂无数据,两梯三户,有,商品房,2021-09-09,普通住宅,满两年,共有,"118.767201,32.153821",浦口,桥北,南京
